Geneid	Br39_28
DDX11L1	0
WASH7P	1
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	0
LOC100996442	0
LOC102723897	1
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	0
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	13
LOC101928706	0
LOC101060494	0
LOC100288069	4
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	0
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	56
NOC2L	282
KLHL17	21
PLEKHN1	85
PERM1	51
HES4	191
ISG15	58
AGRN	986
LOC100288175	48
RNF223	127
C1orf159	550
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	12
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	258
B3GALT6	139
FAM132A	0
UBE2J2	417
LOC101928895	0
SCNN1D	0
ACAP3	272
MIR6726	5
PUSL1	56
CPSF3L	218
MIR6727	0
GLTPD1	131
TAS1R3	0
DVL1	200
MIR6808	0
MXRA8	7
AURKAIP1	230
CCNL2	2259
LOC148413	50
MRPL20	234
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	52
ATAD3C	85
ATAD3B	88
ATAD3A	9
TMEM240	0
SSU72	146
C1orf233	0
MIB2	0
MMP23B	0
CDK11B	128
SLC35E2B	334
MMP23A	0
CDK11A	57
SLC35E2	54
NADK	128
GNB1	510
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	101
LOC101929017	20
LOC100506504	0
C1orf86	59
SKI	122
MORN1	23
LOC100129534	0
RER1	341
PEX10	0
PLCH2	0
PANK4	139
HES5	0
LOC115110	0
LOC100133445	71
TNFRSF14	512
RP3-395M20.9	0
FAM213B	0
MMEL1	0
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	439
MEGF6	21
MIR551A	0
TPRG1L	100
WRAP73	112
TP73	0
TP73-AS1	12
CCDC27	0
SMIM1	0
LRRC47	164
CEP104	175
DFFB	0
C1orf174	15
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	0
KCNAB2	0
CHD5	0
RPL22	61
LOC102724450	90
RNF207	54
ICMT	79
LINC00337	0
HES3	0
GPR153	0
ACOT7	0
