Geneid	Br53_CTC_1
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	13
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	0
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	1
LOC101928706	1
LOC101060494	0
LOC100288069	0
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	22
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	6
NOC2L	55
KLHL17	2
PLEKHN1	7
PERM1	0
HES4	42
ISG15	85
AGRN	160
LOC100288175	44
RNF223	8
C1orf159	3
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	5
TNFRSF18	55
TNFRSF4	0
SDF4	150
B3GALT6	0
FAM132A	0
UBE2J2	70
LOC101928895	0
SCNN1D	24
ACAP3	71
MIR6726	1
PUSL1	21
CPSF3L	192
MIR6727	0
GLTPD1	29
TAS1R3	0
DVL1	0
MIR6808	0
MXRA8	50
AURKAIP1	98
CCNL2	213
LOC148413	41
MRPL20	57
ANKRD65	1
TMEM88B	0
LOC102724312	18
VWA1	89
ATAD3C	0
ATAD3B	0
ATAD3A	0
TMEM240	0
SSU72	200
C1orf233	0
MIB2	0
MMP23B	0
CDK11B	1
SLC35E2B	95
MMP23A	0
CDK11A	0
SLC35E2	37
NADK	95
GNB1	115
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	0
LOC101929017	0
LOC100506504	0
C1orf86	14
SKI	0
MORN1	24
LOC100129534	0
RER1	340
PEX10	59
PLCH2	0
PANK4	2
HES5	0
LOC115110	0
LOC100133445	2
TNFRSF14	91
RP3-395M20.9	0
FAM213B	39
MMEL1	11
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	48
MEGF6	3
MIR551A	0
TPRG1L	4
WRAP73	83
TP73	0
TP73-AS1	41
CCDC27	0
SMIM1	2
LRRC47	7
CEP104	4
DFFB	0
C1orf174	0
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	43
KCNAB2	1
CHD5	0
RPL22	31
LOC102724450	0
RNF207	38
ICMT	46
LINC00337	0
HES3	0
GPR153	0
ACOT7	0
HES2	0
ESPN	4
MIR4252	0
TNFRSF25	4
PLEKHG5	7
NOL9	49
TAS1R1	0
ZBTB48	0
KLHL21	29
PHF13	60
THAP3	48
DNAJC11	127
LOC100505887	0
CAMTA1	27
LOC100129476	0
LOC101928836	0
VAMP3	174
PER3	0
UTS2	0
TNFRSF9	0
PARK7	208
ERRFI1	173
LOC102724539	0
SLC45A1	0
RERE	23
LOC102724552	3
ENO1	2393
MIR6728	17
ENO1-AS1	9
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	17
MIR34A	0
LOC102724571	0
H6PD	7
SPSB1	0
LOC100506022	0
SLC25A33	4
TMEM201	0
PIK3CD	3
C1orf200	0
LOC101929074	0
CLSTN1	116
CTNNBIP1	4
LZIC	40
NMNAT1	37
MIR5697	0
