Geneid	Br57_CTC__8
DDX11L1	0
WASH7P	2
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	2
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	0
RP5-857K21.5	0
MIR6723	1
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	0
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	4
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	27
NOC2L	163
KLHL17	6
PLEKHN1	113
PERM1	13
HES4	173
ISG15	13
AGRN	46
LOC100288175	12
RNF223	21
C1orf159	81
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	116
B3GALT6	0
FAM132A	0
UBE2J2	164
LOC101928895	0
SCNN1D	0
ACAP3	118
MIR6726	2
PUSL1	155
CPSF3L	244
MIR6727	0
GLTPD1	8
TAS1R3	0
DVL1	23
MIR6808	0
MXRA8	1
AURKAIP1	179
CCNL2	335
LOC148413	120
MRPL20	234
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	0
ATAD3C	0
ATAD3B	80
ATAD3A	83
TMEM240	0
SSU72	366
C1orf233	12
MIB2	5
MMP23B	0
CDK11B	5
SLC35E2B	51
MMP23A	0
CDK11A	11
SLC35E2	8
NADK	26
GNB1	203
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	37
LOC101929017	3
LOC100506504	0
C1orf86	49
SKI	0
MORN1	0
LOC100129534	0
RER1	496
PEX10	69
PLCH2	0
PANK4	157
HES5	0
LOC115110	0
LOC100133445	5
TNFRSF14	34
RP3-395M20.9	0
FAM213B	78
MMEL1	78
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	0
MEGF6	2
MIR551A	0
TPRG1L	4
WRAP73	76
TP73	12
TP73-AS1	0
CCDC27	0
SMIM1	16
LRRC47	304
CEP104	8
DFFB	0
C1orf174	175
LINC01134	4
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	0
KCNAB2	0
CHD5	0
RPL22	204
LOC102724450	0
RNF207	1
ICMT	337
LINC00337	0
HES3	0
GPR153	0
ACOT7	1
HES2	0
ESPN	0
MIR4252	0
TNFRSF25	0
PLEKHG5	0
NOL9	77
TAS1R1	0
ZBTB48	0
KLHL21	54
PHF13	3
THAP3	24
DNAJC11	94
LOC100505887	0
CAMTA1	63
LOC100129476	0
LOC101928836	0
VAMP3	296
PER3	0
UTS2	0
TNFRSF9	0
PARK7	1041
ERRFI1	591
LOC102724539	0
SLC45A1	0
RERE	93
LOC102724552	0
ENO1	3520
MIR6728	20
ENO1-AS1	9
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	102
MIR34A	0
LOC102724571	0
H6PD	31
SPSB1	28
LOC100506022	0
SLC25A33	3
TMEM201	0
PIK3CD	7
C1orf200	0
LOC101929074	0
CLSTN1	129
CTNNBIP1	92
LZIC	159
NMNAT1	0
MIR5697	0
LOC102724647	0
RBP7	0
UBE4B	160
KIF1B	77
MIR1273D	0
PGD	714
APITD1-CORT	0
APITD1	0
CORT	0
DFFA	61
PEX14	14
CASZ1	176
C1orf127	0
TARDBP	451
MASP2	45
SRM	254
EXOSC10	278
MTOR	27
MTOR-AS1	2
ANGPTL7	0
UBIAD1	265
PTCHD2	0
RP1-69M21.2	0
FBXO2	0
FBXO44	51
FBXO6	95
MAD2L2	3
DRAXIN	0
AGTRAP	149
C1orf167	38
LOC102724659	0
MTHFR	70
CLCN6	0
NPPA-AS1	0
NPPA	0
NPPB	0
RNU5E-1	0
KIAA2013	28
PLOD1	238
MFN2	106
MIIP	45
MIR6729	0
TNFRSF8	0
MIR7846	0
TNFRSF1B	0
MIR4632	0
VPS13D	177
SNORA59A	0
DHRS3	0
MIR6730	0
AADACL4	0
AADACL3	0
C1orf158	0
PRAMEF12	0
PRAMEF1	0
PRAMEF11	0
HNRNPCL1	1
PRAMEF2	0
PRAMEF4	0
PRAMEF10	0
PRAMEF7	0
PRAMEF6	0
LOC102724742	0
LOC101929983	0
LOC649330	0
PRAMEF25	0
HNRNPCP5	0
PRAMEF26	0
LOC101060301	0
PRAMEF9	0
PRAMEF13	0
PRAMEF18	0
