Geneid	Br61_CTC___25
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	6
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	2
LOC100134822	3
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	2
LOC101928706	0
LOC101060494	0
LOC100288069	0
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	0
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	1
NOC2L	33
KLHL17	0
PLEKHN1	1
PERM1	5
HES4	51
ISG15	0
AGRN	20
LOC100288175	1
RNF223	0
C1orf159	9
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	41
B3GALT6	0
FAM132A	0
UBE2J2	82
LOC101928895	4
SCNN1D	19
ACAP3	2
MIR6726	0
PUSL1	0
CPSF3L	2
MIR6727	0
GLTPD1	78
TAS1R3	0
DVL1	38
MIR6808	0
MXRA8	1
AURKAIP1	62
CCNL2	93
LOC148413	13
MRPL20	76
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	0
ATAD3C	0
ATAD3B	23
ATAD3A	25
TMEM240	0
SSU72	144
C1orf233	15
MIB2	12
MMP23B	0
CDK11B	19
SLC35E2B	5
MMP23A	0
CDK11A	6
SLC35E2	7
NADK	14
GNB1	45
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	0
PRKCZ	64
LOC101929017	10
LOC100506504	0
C1orf86	34
SKI	34
MORN1	0
LOC100129534	11
RER1	28
PEX10	4
PLCH2	0
PANK4	0
HES5	0
LOC115110	0
LOC100133445	0
TNFRSF14	0
RP3-395M20.9	0
FAM213B	28
MMEL1	12
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	0
MEGF6	4
MIR551A	0
TPRG1L	1
WRAP73	62
TP73	0
TP73-AS1	0
CCDC27	0
SMIM1	0
LRRC47	81
CEP104	0
DFFB	0
C1orf174	0
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	0
KCNAB2	0
CHD5	0
RPL22	208
LOC102724450	0
RNF207	0
ICMT	2
LINC00337	0
HES3	0
GPR153	0
ACOT7	0
HES2	0
ESPN	0
MIR4252	0
TNFRSF25	0
PLEKHG5	101
NOL9	47
TAS1R1	0
ZBTB48	0
KLHL21	15
PHF13	27
THAP3	25
DNAJC11	78
LOC100505887	0
CAMTA1	39
LOC100129476	0
LOC101928836	0
VAMP3	93
PER3	31
UTS2	0
TNFRSF9	0
PARK7	136
ERRFI1	1230
LOC102724539	0
SLC45A1	0
RERE	27
LOC102724552	0
ENO1	500
MIR6728	2
ENO1-AS1	2
CA6	0
SLC2A7	0
SLC2A5	0
GPR157	15
MIR34A	0
LOC102724571	0
H6PD	77
SPSB1	0
LOC100506022	0
SLC25A33	20
TMEM201	25
PIK3CD	2
C1orf200	0
LOC101929074	0
CLSTN1	65
CTNNBIP1	2
LZIC	5
NMNAT1	0
MIR5697	0
