Geneid	Br7_7_12
DDX11L1	0
WASH7P	1
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	12
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	0
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	0
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	62
FAM41C	0
LOC284600	0
LOC100130417	0
LOC101928801	0
SAMD11	0
NOC2L	0
KLHL17	0
PLEKHN1	52
PERM1	22
HES4	38
ISG15	212
AGRN	182
LOC100288175	122
RNF223	6
C1orf159	89
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	322
B3GALT6	1
FAM132A	0
UBE2J2	76
LOC101928895	0
SCNN1D	0
ACAP3	108
MIR6726	0
PUSL1	68
CPSF3L	152
MIR6727	1
GLTPD1	0
TAS1R3	0
DVL1	30
MIR6808	0
MXRA8	0
AURKAIP1	130
CCNL2	363
LOC148413	20
MRPL20	116
ANKRD65	0
TMEM88B	0
LOC102724312	0
VWA1	29
ATAD3C	0
ATAD3B	39
ATAD3A	34
TMEM240	0
SSU72	169
C1orf233	0
MIB2	6
MMP23B	0
CDK11B	4
SLC35E2B	28
MMP23A	0
CDK11A	11
SLC35E2	7
NADK	37
GNB1	135
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	1
PRKCZ	9
LOC101929017	0
LOC100506504	0
C1orf86	24
SKI	27
MORN1	22
LOC100129534	0
RER1	361
PEX10	12
PLCH2	0
PANK4	28
HES5	0
LOC115110	0
LOC100133445	18
TNFRSF14	79
RP3-395M20.9	0
FAM213B	87
MMEL1	24
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	0
MIR4251	0
ARHGEF16	81
MEGF6	269
MIR551A	0
TPRG1L	41
WRAP73	19
TP73	14
TP73-AS1	6
CCDC27	0
SMIM1	0
LRRC47	23
CEP104	8
DFFB	0
C1orf174	36
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	33
KCNAB2	0
CHD5	27
RPL22	37
LOC102724450	0
RNF207	30
ICMT	10
LINC00337	0
HES3	0
GPR153	32
