Geneid	Br7_1_SG
DDX11L1	0
WASH7P	0
MIR6859-1	0
MIR1302-2	0
FAM138A	0
OR4F5	0
LOC101927589	0
LOC729737	0
LOC100996442	0
LOC102723897	0
LOC102723917	0
LOC101929192	0
OR4F29	0
RP4-669L17.10	0
LOC100134822	1
RP5-857K21.5	0
MIR6723	0
OR4F16	0
LOC100133331	0
LOC101928706	0
LOC101060494	0
LOC100288069	1
LOC100287934	0
FAM87B	0
LINC00115	0
LINC01128	21
FAM41C	0
LOC284600	1
LOC100130417	0
LOC101928801	0
SAMD11	3
NOC2L	54
KLHL17	21
PLEKHN1	0
PERM1	0
HES4	13
ISG15	98
AGRN	27
LOC100288175	7
RNF223	5
C1orf159	49
RP11-465B22.5	0
MIR200B	0
MIR200A	0
MIR429	0
TTLL10-AS1	0
TTLL10	0
TNFRSF18	0
TNFRSF4	0
SDF4	112
B3GALT6	0
FAM132A	0
UBE2J2	27
LOC101928895	0
SCNN1D	44
ACAP3	64
MIR6726	0
PUSL1	38
CPSF3L	107
MIR6727	0
GLTPD1	0
TAS1R3	0
DVL1	14
MIR6808	0
MXRA8	0
AURKAIP1	75
CCNL2	383
LOC148413	56
MRPL20	98
ANKRD65	26
TMEM88B	0
LOC102724312	0
VWA1	48
ATAD3C	11
ATAD3B	28
ATAD3A	20
TMEM240	0
SSU72	87
C1orf233	0
MIB2	32
MMP23B	0
CDK11B	4
SLC35E2B	24
MMP23A	0
CDK11A	16
SLC35E2	6
NADK	95
GNB1	101
CALML6	0
TMEM52	0
KIAA1751	0
GABRD	46
PRKCZ	15
LOC101929017	6
LOC100506504	0
C1orf86	20
SKI	2
MORN1	0
LOC100129534	51
RER1	193
PEX10	15
PLCH2	2
PANK4	10
HES5	0
LOC115110	1
LOC100133445	4
TNFRSF14	43
RP3-395M20.9	0
FAM213B	151
MMEL1	43
TTC34	0
LOC101929067	0
ACTRT2	0
LINC00982	0
PRDM16	1
MIR4251	0
ARHGEF16	66
MEGF6	95
MIR551A	0
TPRG1L	36
WRAP73	42
TP73	0
TP73-AS1	0
CCDC27	0
SMIM1	0
LRRC47	15
CEP104	42
DFFB	3
C1orf174	15
LINC01134	0
RP13-614K11.1	0
LOC102724415	0
RP5-1166F10.1	0
AJAP1	0
LOC102724429	0
MIR4417	0
LOC100287877	0
MIR4689	0
NPHP4	30
KCNAB2	40
CHD5	0
RPL22	100
LOC102724450	0
RNF207	13
ICMT	45
LINC00337	0
HES3	0
GPR153	0
ACOT7	0
HES2	3
ESPN	2
MIR4252	0
TNFRSF25	0
PLEKHG5	6
NOL9	23
TAS1R1	0
ZBTB48	38
KLHL21	75
PHF13	0
THAP3	36
DNAJC11	62
LOC100505887	0
CAMTA1	78
LOC100129476	0
LOC101928836	0
VAMP3	65
PER3	0
UTS2	0
TNFRSF9	2
PARK7	180
ERRFI1	41
LOC102724539	0
SLC45A1	0
RERE	62
LOC102724552	0
ENO1	1507
MIR6728	10
ENO1-AS1	0
CA6	0
SLC2A7	0
SLC2A5	3
GPR157	0
MIR34A	0
LOC102724571	0
H6PD	0
SPSB1	0
LOC100506022	0
SLC25A33	2
TMEM201	45
PIK3CD	246
C1orf200	0
LOC101929074	0
CLSTN1	46
CTNNBIP1	21
LZIC	50
NMNAT1	0
MIR5697	0
