,Br11.10,Br11.18,Br11.1,Br11.2,Br11.3,Br11.4,Br11.6,Br11.8,Br11.9
DDX11L1,0,0,0,0,0,0,0,0,0
WASH7P,0.843307622681109,0.90705921075679,1.11884864333125,0,0,0,0,1.35949233011302,0
MIR6859-1,0,0,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0
LOC101927589,0,0,0,0,0,0,0,0,0
LOC729737,0,2.17020601574214,1.11884864333125,1.64294184445923,3.93897398056954,0,0,0,2.55926093499899
LOC100996442,0,0,0,0,0,0,0,0,0
LOC102723897,0,1.85824263088808,0,1.04370148673221,1.95138744474997,0,0,0,0
LOC102723917,0,0,0,0,0,0,0,0,0
LOC101929192,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0
RP4-669L17.10,0,0,0,0,0,0,0,0,0
LOC100134822,0,0,1.11884864333125,0,0,0,0,0.834285950287708,0
RP5-857K21.5,0,0,0,0,0,0,0,0,0
MIR6723,0.843307622681109,0,0,1.04370148673221,0,0,0,0,0
OR4F16,0,0,0,0,0,0,0,0,0
LOC100133331,0,0,2.50765345445563,1.64294184445923,0,0,0,0,0
LOC101928706,0,0,0,0,0,0,0,0,0
LOC101060494,0,0,0,0,0,0,0,0,0
LOC100288069,1.37201470237603,0,0,0,0,0,0,0,0
LOC100287934,0,0,0,0,0,0,0,0.834285950287708,0
FAM87B,0,0,0,0,0,0,0,0,0
LINC00115,0,0,0,0,0,0,4.52546856046124,0,0
LINC01128,2.31347637875414,3.72825448429138,0,5.57611217872611,4.3303016176561,0,2.62845336166009,6.43202743932497,0
FAM41C,0,0,0,0,0,0,0,0,0
LOC284600,0,0,0,0,0,0,0,0,0
LOC100130417,0,0,0,0,0,0,0,0,0
LOC101928801,0,0,0,0,0,0,0,0,0
SAMD11,3.8580506738477,0,6.52974907492083,3.98742461116933,3.52532104143033,3.81954945185343,4.60444634799238,3.48267620502123,4.42995320548937
NOC2L,5.31881512905322,2.83320060573328,7.92111248588711,6.42493557335843,6.45909889746037,5.85420260742349,5.75841457232562,5.17926603625191,5.82762206783712
KLHL17,0,0,0,0,1.54183294072644,0,0,0,0
PLEKHN1,2.06234119915064,0,0,0,0,0,0,0,0
PERM1,0,0,0,0,0,0,0,0,0
HES4,5.88199725099046,0,5.89692069590663,4.16865492083614,6.29317729085369,6.41858839898004,0,6.02688628416634,6.66984269634042
ISG15,6.24128593674496,0,8.52259457030062,7.5368513444556,7.85989920224672,7.59551577363994,0,6.30920229959073,5.46164965689992
AGRN,6.0119586493746,0,4.74298648385483,6.89272633243738,7.45873662707721,5.48315343552474,0,7.48798592216312,6.49300409427641
LOC100288175,0,0,2.50765345445563,0,0,0,2.62845336166009,4.18788140320874,4.82816022366801
RNF223,2.31347637875414,0,0,0,0,0,0,0,0
C1orf159,5.80211462080868,0,4.67843552156071,2.65707978202499,4.3972717881004,6.39379326525253,0,4.24856596241825,5.32741623947319
RP11-465B22.5,0,0,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0,0,0
MIR429,0,0,1.11884864333125,0,0,0,0,0,0
TTLL10-AS1,0,0,0,0,0,0,0,0,0
TTLL10,0,0,0,0,0,0,0,0,0
TNFRSF18,0,0,3.79588063492644,0,0,5.334729653805,5.22053856246496,0,5.42924394452343
TNFRSF4,0,0,0,0,0,0,0,0,0
