,Br61.CTC.18,Br61.CTC.22,Br61.CTC.23,Br61.CTC.34,Br61.CTC.38,Br61.CTC.45,Br61.CTC.10,Br61.CTC.13,Br61.CTC.20,Br61.CTC.35,Br61.CTC.4,Br61.CTC.6
DDX11L1,0,0,0,0,0,0,0,0,0,0,0,0
WASH7P,0.977188561206484,0,1.50241916096267,0,0,0,0,0,1.04933488767123,0,0,0
MIR6859-1,0,0,0,0,0,0,0,0,0,0,0,0
MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0
LOC101927589,0,0,0,0,0,0,0,0,0,0,0,0
LOC729737,2.95984011779028,0,2.89066238575048,6.33440673444082,2.51277920607895,4.55141773929247,5.2421068835457,3.43972875942138,3.89767429553537,4.25118874686842,0.855319487273501,5.34120021117074
LOC100996442,0,0,0,0,0,0,0,0,0,0,0,0
LOC102723897,0,0,0,0,1.74570729082727,1.60443379015114,0,0,1.04933488767123,2.32468250927375,2.33508209733235,0
LOC102723917,0,0,0,0,0,0,0,0,0,0,0,0
LOC101929192,0,0,0,0,0,0,0,0,0,0,0,0
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0
RP4-669L17.10,0,0,1.90679859175466,0,1.3612414293702,0,0,0,0,1.00172212515525,0,0
LOC100134822,1.55446638600676,0,1.50241916096267,3.74383746375936,0,0,3.19978560427549,0,3.54791310330226,1.58725821108045,0,2.98534308181042
RP5-857K21.5,0,0,0,0,0,0,0,0,0,0,0,0
MIR6723,0,0,0,0,1.3612414293702,1.01462804851359,1.01687257116206,0,0,1.58725821108045,0.855319487273501,0
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0
LOC100133331,0,0,1.90679859175466,3.74383746375936,1.74570729082727,2.345262304423,0,0,1.6503744370058,0,0.855319487273501,0
LOC101928706,1.55446638600676,0,0,0,1.3612414293702,0,0,0,1.6503744370058,1.58725821108045,0,0
LOC101060494,0,0,0,0,0,0,0,0,0,0,0,0
LOC100288069,3.12911856065082,0,1.90679859175466,0,2.69859972289714,0,3.48996374015425,0,1.6503744370058,1.58725821108045,1.38864071425221,2.30853333503458
LOC100287934,3.12911856065082,0,0,0,0,0,0,1.57054010331741,0,0,0,0
FAM87B,0,0,0,0,2.86319432286341,0,0,3.88665862565631,0,4.17317618066493,0,0
LINC00115,0.977188561206484,0,0.938539453487952,0,0,0,0,0,0,2.00258241746694,0,0
LINC01128,0,0,0,0,3.38050352859419,0,0,0,5.76762237231037,6.23221504559978,2.08291966138848,0
FAM41C,0,0,0,0,0,0,0,0,0,0,0,0
LOC284600,0,0,0,0,0.835544763064257,0,0,4.06705964685785,4.79386404108991,0,0,6.49121693879327
LOC100130417,0,0,0,0,0,0,0,0,0,0,0,0
LOC101928801,0,0,0,0,0,0,0,0,0,0,0,0
SAMD11,3.28060419852085,3.70909606671907,3.88252609429898,4.87459963534536,5.3579414220863,3.9340774096171,5.64758298310603,5.86132534654727,4.67808524667181,5.00333475264908,5.53334293174915,4.44343483994217
NOC2L,5.62735196269227,6.39814219123221,6.14283426805781,7.60020218976439,8.23589589128346,6.58339151436949,8.53330436727559,8.24984571832248,7.06207165309816,6.34324975374072,7.85050726492364,6.85374584891726
KLHL17,0,0,2.48102369995585,0,5.67835275643098,1.01462804851359,3.61574636118298,6.42150661898076,1.04933488767123,0,0,0
PLEKHN1,5.20316736507029,6.10093817648107,5.80723170127738,0,7.18342357288191,7.79716139314295,6.20301442434629,6.79868430292713,4.7371357636319,4.70374967478414,0,4.93797713029431
PERM1,4.2043955376972,3.04385920024338,0,0,2.048976531023,3.34815272185581,4.49147351534777,4.06705964685785,0,2.00258241746694,0,0
HES4,7.06287367445532,6.45882982068518,6.89772104688141,7.58697420885142,6.96527473691412,6.36860345171862,7.09939177778099,7.90321440031419,7.77606057585873,7.16328949104754,6.46579836068128,5.65599293444944
ISG15,0,4.72051355606615,0,0,0.835544763064257,4.61287053411608,0,5.59346770575335,0,0,0,6.21228051047549
AGRN,6.08396106980693,5.91129267230757,4.83276895524329,4.63856561265205,5.70028708660877,5.64323087578424,5.58743317704291,8.26840063365026,6.8643614261968,5.17327169275712,6.38429600302379,6.34099463637752
LOC100288175,2.54674055750149,4.42847751628819,0,0.914946843824564,1.74570729082727,0,3.35215807167605,0,0,6.15314089191846,3.52595253708092,0
RNF223,3.4176842114365,4.1626556138888,5.40075694464995,4.8303814721066,5.67835275643098,4.93503895536655,5.12003722279245,3.88665862565631,0,0,4.40796340842102,3.68497314292479
C1orf159,5.86167985517506,5.62389448967958,6.06596560183856,8.13349095226748,7.0273263048933,0,7.20324477807216,5.10821919500095,7.18381096442739,6.7176549706273,6.75233427199485,6.26885539363139
RP11-465B22.5,0,0,0,0,0,0,0,0,0,0,0,0
MIR200B,0,0,0,0,0,0,0,0,0,0,0,0
MIR200A,0,0,0,0,0,0,0,0,0,0,0,0
MIR429,0,0,0,0,0,0,0,0,0,0,0,1.98744606600347
TTLL10-AS1,0,0,0,0,0,0,0,0,0,0,0,0
TTLL10,0.977188561206484,0,0,0,2.51277920607895,0,0,0,0,0,0,0
TNFRSF18,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF4,0,0,0,0,0,0,0,0,0,0,0,0
SDF4,7.6052947937123,7.50916962840728,6.82959837683422,4.5863437956225,8.19785542017139,6.48821337424849,7.26214768050977,7.98402154754125,8.27163925481279,7.38712590202271,7.56014150454453,8.4386122834611
B3GALT6,4.54091891343743,6.02269296544354,4.78560399346551,1.47040629349847,3.01091886951416,5.55204461634582,0,0,5.30395307155802,0,6.09085821892113,0
FAM132A,0,0,0,0,0,0,0,3.88665862565631,0,0,0,0
UBE2J2,6.62689404130874,7.77088353934472,7.76971295724997,7.69572527693503,6.58388339741507,7.01756702406484,7.8081857160392,7.57088222906318,6.71079024398971,7.0478102700416,7.49692067842583,6.37575515954322
LOC101928895,0.977188561206484,0,1.90679859175466,0,1.74570729082727,0,0,0,0,0,0,0
SCNN1D,0.977188561206484,0,3.34566171652143,0,4.12723258702923,0,0,0,0,2.81030587924663,3.05005483153942,0
ACAP3,5.34744025103568,5.47513839618365,5.87639362091154,4.00481535204413,0,4.78292905514699,4.20163152906875,7.49413121657993,5.22363752315493,6.21284910123665,7.61476434071582,4.73874886645451
MIR6726,0.977188561206484,0,0.938539453487952,0,0,0,0,1.57054010331741,0,0,0,0
