,logFC,logCPM,PValue
APOD,12.1269126403466,9.63790282516888,4.46700467129746e-05
RRM2,11.8986663476275,9.41068704959533,0.00319742304019054
GLYATL2,11.1511621082739,8.66821288244023,5.70665124538985e-05
CRISP3,10.0399915253185,7.57207247086199,0.0204862496476971
ABCC11,9.98193517729366,7.5149639499781,0.00149707149647599
NARF,9.53529648487843,7.07857067080862,0.0049209525433117
ZNF121,9.50623365234741,7.04998778013128,0.00623309446225616
RASD1,9.35643716638782,6.90438460136873,0.0537299697090123
AGR2,9.32940614188294,6.87744224890257,0.0396273807955105
RPA1,9.31420375544035,6.86345197803854,0.008342466612416
EPHA2,9.31264813695105,6.86191340907875,0.0221469369054492
NNMT,9.2331013600678,6.78595447667146,0.0533526667090483
UBE2T,9.19783119389587,6.75089255834638,0.0116249064947307
TCTN3,9.15740354754006,6.71167114016512,0.0223903041114279
RNF20,9.10672831139241,6.66318164069334,0.00364532954673724
CA2,9.08666687933956,6.64337278763893,0.0216811395555002
CRTAP,8.9735292501912,6.53464702103993,0.012343463511456
DDHD2,8.95796750556808,6.51974094656777,0.029443209728959
ZNF93,8.94780244769655,6.50999299364191,0.0240717497090754
SLC31A2,8.93131722572019,6.49417928486884,0.0224024461377371
EXO1,8.9283821820924,6.49215070332528,0.0512236375118475
LGALS12,8.91354745798126,6.47719338502755,0.0547072325138658
CDC45,8.91029607183195,6.47456052532887,0.0426905693211491
PEX11A,8.90178124997133,6.46569395312984,0.0178689961790033
KIAA0101,8.88812703498791,6.45352098649915,0.054738920560358
ESAM,8.8769912855667,6.44173253126732,0.0297671861586092
ELP6,8.87274638124036,6.43785604301435,0.0192432449039455
FBXO22,8.84131621993564,6.40763560537215,0.0223720400460447
AIF1L,8.82527568189725,6.39236163168508,0.0237399075889581
TMEM213,8.7992875869697,6.36854128006025,0.139611089947874
EFEMP1,8.79508967580149,6.36359840983675,0.0674065410082736
EVA1C,8.76090759762272,6.33086349375179,0.0453725383936659
KRT5,8.73387269073999,6.30664224392095,0.150216880118415
DMBT1,8.71179754252916,6.28503988362899,0.154099933749575
APAF1,8.70681457876962,6.27900185403256,0.0320399613851131
C21orf2,8.67578571246195,6.24942328687293,0.024733601691181
ALAS1,8.65944942849726,6.2340060164946,0.0300202119536512
RECQL4,8.63955299856796,6.21535604881586,0.0392694457143294
HELLS,8.63414193593263,6.21066460062049,0.0524206045120579
VIPAS39,8.63153713362325,6.20745891686248,0.0244402911269178
ZNF613,8.5936116568273,6.17192008877365,0.0992734476383122
OXSM,8.55200678927894,6.1326276379273,0.076130136874242
EAF2,8.53894529087647,6.11939383474149,0.0704619097726535
TMOD1,8.53845561689062,6.11872846564469,0.0403883339300291
FBXO3,8.53355197450985,6.11450124709543,0.0495353838495984
KLF10,8.52158173541854,6.1034148253703,0.0464008650651891
NR4A3,8.51377744028072,6.09316503397025,0.163351283586242
SPOCK1,8.50071576642798,6.08194411773226,0.116866350598561
KIAA2022,8.49443282960923,6.07742565857605,0.0491051901140032
PAXIP1,8.48534936719028,6.06842746996344,0.114092842800784
PIGU,8.46386290776424,6.04838809927493,0.0552524130646455
CCNE1,8.46090012356109,6.04716223726411,0.103904894933776
ZP2,8.45589739728546,6.04066849717721,0.0557201434823643
C14orf169,8.42617704815807,6.01278596583436,0.0719636367186296
PIM1,8.41733293940337,6.00492437869677,0.0497795847998117
AUH,8.40718118403838,5.99471619621641,0.0628595353380035
GALNT12,8.40352197550582,5.99101693528719,0.0678332242757212
ATP6V0A4,8.40081163800361,5.98870031729427,0.062639820290759
NECAB3,8.40010007630212,5.98768909282281,0.0787698221564321
COG2,8.39859420133954,5.98508953204313,0.116885304737048
CSRP2,8.39288447997751,5.98188774556962,0.066907198185734
TAPBPL,8.38487031681368,5.97570146411615,0.174976771291335
ALDH1A3,8.37031206225517,8.87034277261374,0.00310616700373464
TDRD1,8.36543593275813,5.95552805681196,0.0645442792132474
PGM2,8.3556319190265,5.9462826954084,0.0971076587786547
TSPYL2,8.35537008775514,5.94478057486575,0.104538970047342
CERS5,8.35112299232547,5.94188977854181,0.0979170718988082
ANO1,8.32206940140693,5.91556247250643,0.114624414988782
KIAA1161,8.31745895250072,5.91081104401573,0.0847252306912092
ZNF440,8.30283376234502,5.89796095438437,0.108212723182522
GJB1,8.2949206775967,5.88793944683555,0.113203606706511
NTN4,8.26196669135504,5.85936122067953,0.200274200518372
DMD,8.24493996459573,5.84010232765953,0.176062353754015
STK38L,8.24486674650635,5.84133158633464,0.0674398477571994
SUGP1,8.24073691360097,5.83763652934191,0.0900896373631712
MFHAS1,8.24037127457145,5.83724090658683,0.0651071025201879
CAMK2B,8.20114775331159,5.80230286765514,0.136381252686363
TP73,8.19722576169205,5.79785946681113,0.0749078226920894
