Row.names,logFC,logCPM,PValue
ALDH1A3,11.1071412745816,8.63476661963547,0.00164073806517342
COL5A1,9.74561991318442,7.29305042873117,0.00828778643333249
IGFBP3,9.67624328628996,7.22501439510264,0.0093113596365717
TGFB2,9.16313675191939,6.72656141496542,0.0240337194493151
AGR2,9.07720340531855,6.64380952845793,0.0278932011248678
NNMT,8.97828106775751,6.54811637664149,0.0328870963647266
IFITM1,5.27197350280588,8.03060967203654,0.0380128301182884
UGDH,5.16359750600347,8.19226473205881,0.0402665326609237
CDKN1A,-2.72051616047547,8.64633057819983,0.0358540034003683
ITGB5,-2.93280484298841,8.26196453273704,0.024673075175997
MBNL1,-2.99381536631079,9.26535478334118,0.0209206147502335
ADAM9,-3.24911363620141,6.28987691999324,0.0467399049465139
NEXN,-3.41242905838216,7.73819767707134,0.0107643161286234
TPM1,-3.49189194962133,7.71489665613842,0.00915292429816572
CA2,-3.49749657410215,8.4280730446009,0.00793794388156559
SERPINB1,-3.61129166340395,7.27904163845848,0.00957472782611838
CLU,-3.8312092380627,9.34202177454055,0.00359876561604963
LYST,-3.83292803374787,7.18295426267376,0.00680875295913256
LCN2,-3.88287344628166,6.03858432719867,0.0279349052995837
ZNF185,-3.97256648765828,8.0163368379377,0.00298137867908578
SMPD1,-4.21468199386114,5.9718020070046,0.0207899248682487
SOCS2,-4.32173167857908,6.3471144015783,0.00936702847022476
FADS2,-4.44289753532414,5.56867087519311,0.0327934140478248
TNS3,-4.45016681429337,6.93691002191857,0.00293561446265461
PHTF2,-4.51474886596104,8.09411548289748,0.000847916028183683
FUT8,-4.53773512874029,7.04965087212645,0.00204975214318548
FAM214B,-4.58935492038999,6.63547458433852,0.0037497090606483
ILK,-4.68337120631251,9.04443433110387,0.000488732000627889
FURIN,-4.7971774460122,7.28537738605693,0.000799765847725611
CTSC,-4.85045137554999,6.68835878845271,0.00212279112327643
ST3GAL6,-4.94171175690271,5.81326979513978,0.0116684690656142
ALDH1A1,-5.47138912569207,7.53541601789484,0.000121355199084481
TMEM40,-5.64866850389034,9.6304802895138,3.88944845785784e-05
COTL1,-5.65868363797182,7.8933069191771,5.47769345207077e-05
LYN,-5.74886845023589,6.61546436938413,0.000481791686087169
PAG1,-5.80078231422323,7.13705790906177,0.000109452856501327
HHEX,-6.10393918155576,6.65406136319151,0.000206079464095038
LIMS1,-6.34004889911466,9.18210751305509,6.63348294304059e-06
LTBP1,-6.48796613207326,9.63648276988996,4.14842441142035e-06
ICAM1,-7.62910872313666,4.83275544951702,0.0148069971196818
TMEM158,-7.72366439287058,3.84198210458915,0.0458109804388762
CDH1,-7.77785212736769,6.8266366290924,6.58265827819206e-06
CHST2,-7.96880937924263,4.02987547828436,0.036269695942967
ELK3,-8.11751529577723,5.97531254296188,0.000147365422347445
MYL9,-8.12225182397864,6.06892812664788,8.34947239471945e-05
PDGFRA,-8.20245777210641,4.21565254261122,0.0285536256699493
TGFB1I1,-8.3175797832152,4.30940204122122,0.0252433693734222
TGFBI,-8.60931255078164,4.55823069561782,0.0170772274244282
AP1S2,-8.68276473320432,5.50804003396964,0.000723048716608009
ARHGAP25,-8.8758385356191,4.78220409840749,0.00907181059115058
TSPAN2,-8.95186821803499,4.848602771574,0.00744967433605743
ITGA5,-9.00779001568476,4.89775659641814,0.0061406066153143
LDHB,-9.01878520742799,4.90748632627949,0.00590702429235867
ELMO1,-9.14938988161109,6.06583648733043,2.30608235841673e-05
SRGN,-9.19625462128309,9.0995426179237,2.91883886049454e-09
TCF4,-9.4526629079973,5.29639272107415,0.00099035340542776
ACSL4,-9.47073176202004,5.31286418317499,0.000904579591038686
TGFB1,-9.51187539718876,5.3503705026213,0.000731777757851778
NID1,-9.5310849195755,5.36792366180465,0.000658614824254604
EMILIN1,-9.68479700463717,5.5090880818691,0.00028333077144908
SNCA,-9.68876359972972,7.07461741284426,6.8192662476437e-08
DKK1,-9.80803624577118,5.62312146081351,0.000141560584101295
LRRC32,-9.86213306349378,5.67340276751569,0.000102160590136054
IGF2BP3,-10.0589744362293,5.85744653791574,2.931739652776e-05
SMAD2,-10.1746261682101,5.96629326429321,1.42993789889374e-05
STX11,-10.4597428411231,6.23671289005119,2.08726074310993e-06
CDH3,-10.8300715037006,6.59296805861123,1.6577376014794e-07
FHL1,-11.0596655521931,6.81341171438035,3.74848359526193e-08
ZEB2,-11.1783997810892,6.92855951018152,1.67619578405156e-08
SPARC,-11.301009399779,9.64326289877722,1.16593571698309e-11
TFPI,-11.3303119416862,7.0762706569036,5.69003372352052e-09
GNG11,-12.0807801922778,7.8112898666241,6.64496089448465e-11
PECAM1,-12.8646629443132,8.58558284927838,4.18791033728053e-12
ABCC4,-12.9662479198875,8.68625997423022,3.07088927006459e-12
SLC2A3,-13.3058737816754,9.02327517404184,1.08120916439844e-12
SERPINE1,-13.9322818482545,9.64621201715113,1.54395285525135e-13
