,logFC,logCPM,PValue
ALDH3A1,-11.4229625529347,6.77786543966061,1.21034823788694e-07
GDF15,-11.2479403960693,6.60906306917885,2.61008739072972e-07
CDH3,-10.7436260110519,6.1252354757862,3.48020531172342e-06
AHNAK2,-9.64426997691761,5.10527105362476,0.00122347336298927
PNMA3,-9.61458998441203,5.07878462182149,0.00250972763720406
NPR3,-9.34221130633159,4.83653153496335,0.00530920134679388
COL16A1,-9.31872183960399,5.63247898531744,0.0002624872791428
IGFBP5,-8.97570688374772,5.92296310419183,3.04311965706835e-05
UGT1A6,-8.96001499172773,4.50388854223926,0.0130868699436201
TGM1,-8.59206410436579,4.1997542009196,0.0205471640697512
AK9,-8.49016433199449,4.11736827022302,0.0223845918038575
UGT1A8,-8.48001222658633,4.10671466341841,0.0224949730369513
UGT1A10,-8.48001222658633,4.10671466341841,0.0224949730369513
UGT1A9,-8.48001222658633,4.10671466341841,0.0224949730369513
UGT1A7,-8.48001222658633,4.10671466341841,0.0224949730369513
UGT1A5,-8.48001222658633,4.10671466341841,0.0224949730369513
UGT1A4,-8.48001222658633,4.10671466341841,0.0224949730369513
UGT1A3,-8.48001222658633,4.10671466341841,0.0224949730369513
UGT1A1,-8.48001222658633,4.10671466341841,0.0224949730369513
KLK10,-8.40871948783881,4.05232992778833,0.0239018240794622
TMEM42,-8.36620533543476,4.01867468278336,0.0246316018886463
ZNF549,-8.35712738422936,4.01002586884742,0.0169346439186454
ZNF514,-8.34313831179235,3.99850895200472,0.0171561382671157
AIM1L,-8.30378698685125,3.9679677524353,0.0177730600605196
CYP4F11,-8.27928009645021,3.94869858339292,0.0181307625888568
TMEM45A,-8.27722319088349,3.94890733391171,0.0264111834611833
FAM110B,-8.26184424539326,3.93694341419588,0.0267638565895763
LONRF2,-8.21469860010031,3.90044303572227,0.027642810565293
KCNMB2,-8.21469860010031,3.90044303572227,0.027642810565293
ZNF618,-8.19968051582359,3.88608097221185,0.0280489979771161
CSTF2T,-8.18136353983431,3.87198747106367,0.0284585236080193
CFL2,-8.14934098231308,3.85028934634279,0.028971331705333
ZBTB37,-8.14401680427504,3.84337999709312,0.0293079295413777
FRAS1,-8.13252822342944,3.83747290353223,0.0293822831440052
SGCE,-8.11551721747603,3.82454125210483,0.029803129029596
EZH1,-8.08766224446607,3.80115258708148,0.021358631774877
ABCG2,-7.97168691882271,3.71667631105503,0.0326662012995625
CDH1,-7.96288149561881,6.35778139425594,0.000167176049556482
SLC26A9,-7.94123860547597,3.69114478514247,0.0334441172000832
MISP,-7.87439715980558,3.64214927780395,0.0347458751164256
ZNF223,-7.8328808409566,3.61516382129154,0.0352655633624327
C21orf91,-7.75677054466824,3.55913183634945,0.02631503913079
HYAL1,-7.75561544263411,3.55659290895418,0.0367679970621652
CCNB1,-7.73063877877861,3.53885418967326,0.0372830304611737
LOC400891,-7.70225322105228,3.52205476349331,0.0378038483733266
LINC00673,-7.65895963332497,3.49165325121986,0.0295067533891289
FAM229B,-7.655943146773,3.48962737781038,0.0388862125432004
ZNF727,-7.63221845297652,3.47313494066464,0.0389956069164564
DSC3,-7.50736413200957,3.38770569317726,0.041504964314154
PRMT9,-7.48104221054869,3.36999237762788,0.0421552985190722
AMZ1,-7.45423110255124,3.35205770086243,0.0428282058996614
ZEB1-AS1,-7.42691228025287,3.3338960318125,0.0435249841728663
C5orf55,-7.37067193245488,3.29686808768414,0.0449958938902567
RP11-26J3.1,-7.37067193245488,3.29686808768414,0.0449958938902567
NRARP,-7.37067193245488,3.29686808768414,0.0449958938902567
TMC4,-7.35947492831487,4.65406230824498,0.0289981715117649
WNT5A,-7.34170764026209,3.27798941022793,0.0451330179415167
ZNF229,-7.28197389895026,3.23946974020451,0.0467244377948204
MTUS2,-7.25115320340752,3.21981476753076,0.0475676942044317
LOC100630918,-7.25115320340752,3.21981476753076,0.0475676942044317
SEZ6L,-7.25115320340752,3.21981476753076,0.0475676942044317
SMIM2-AS1,-7.18746326164773,3.17967736389879,0.0485987587975674
FAM84A,-7.18746326164773,3.17967736389879,0.0485987587975674
