,logFC,logCPM,PValue
RRM2,12.34189213956,8.47185994186929,7.63645583162135e-06
CDK1,11.3145051261571,7.45489222759758,2.38963856006636e-05
MKI67,10.1304434682471,6.29662495827936,0.000380778170459095
MYBL2,9.66224420022,5.84540844824012,0.000100719752261874
AURKB,9.43703890210214,5.6307934479644,0.00155233469768135
NDC80,9.09541589112865,5.30864722995603,0.0116964490652448
TNF,9.04377835459906,5.25339093093562,0.0138226748752638
POLR1E,8.56145548401908,4.808727969731,0.00233241264817095
NOD2,8.245968246152,4.52890046110725,0.00641424735644966
IQGAP3,8.22320690818323,5.69047611608939,0.00232103799354029
ZNF30,8.21060280665944,4.49663684294792,0.0140560823512098
BLMH,7.8668883901773,4.19131878128284,0.0112188165260269
ESPL1,7.83123221723863,4.16173734996293,0.00796086349184748
MSH5,7.73221146879935,4.07567554643072,0.025434991448288
KIF20A,7.67424357372552,4.02685597290222,0.0270898785704468
FFAR2,7.49785560794711,3.87875599467764,0.0326328370463679
ELAVL2,7.39104197858208,3.78904772232451,0.0353179292120494
SNX24,7.38252905461004,3.78359387077699,0.036370015891799
CLSPN,7.15998128803593,5.03112112056095,0.0182834094768976
KIF4A,6.98812295432334,3.4659065707928,0.0208775344966547
MECOM,6.92721850179037,3.42133448864467,0.0497400780005235
S100A7,6.84802320004906,6.23765444663266,0.00193402120258251
CHAF1B,6.61786425994974,5.78435198982753,0.000476748765270381
ZNF367,6.61357657191682,4.21442359295334,0.0168690442444345
RASGRP3,6.59367271046651,3.16878537608534,0.0333390795389604
BRCA1,6.54806933032202,4.74011333381788,0.0123874670901599
NUSAP1,6.54306243404031,6.9247104973086,0.00564362286855384
PAXIP1,6.46527267806261,4.08977608892997,0.0172485141335031
DSCC1,6.27181249058733,4.4941790426773,0.0157829725778758
GINS1,6.09987118433439,5.18663218511415,0.00796322029766929
ZC3H12C,6.04958268457598,2.77670230756529,0.0379677013246939
ALDH1A1,6.04648165823378,4.84327483601025,0.0495212132836379
SLC43A3,6.03799233993875,6.3062112929621,0.0190550234895106
TMEM38B,5.54375953137984,3.35009604309838,0.0220899047843988
CKAP2,5.46450930337943,4.46195735081956,0.0262881905664165
IL17RB,5.45024973595471,4.17193275511282,0.0480882066985196
E2F2,5.41116473884862,6.13241829041341,0.0344853442760418
ZNF516,5.36489921738562,4.81125852217781,0.0384801872291056
KIFC1,5.32125943702872,6.1106210424315,0.0297916438354323
TCF19,5.27513303268617,5.13658375992517,0.0338571450835033
ZNF512B,5.05179873612758,4.72548478559857,0.0222277861248888
WDR62,4.98423855221641,4.50689971752357,0.0236877785923374
TOP2A,4.88056755327606,7.4173334368631,0.0401088205085782
OAS3,4.78539788215508,4.51442932034819,0.0390880880282153
PLIN2,4.65652656950207,6.26450803526872,0.00248894339239432
ARID5A,4.3838601553258,5.80941453059121,0.0308541696973841
SLC6A9,4.21906356069099,5.65740211733363,0.0104391297828855
CDC6,4.09767651956131,7.51191911892247,0.0377954048104008
ARHGEF10L,3.94745361034068,5.61148409412759,0.026451399746164
TTC33,3.94443950506482,4.89823801918113,0.0227657204883216
TYMS,3.93307474211554,6.85872923210698,0.00174725885944787
CHAF1A,3.88669425922065,5.97015829106072,0.0317066501216562
ZNF646,3.88646199335788,5.37980217007358,0.0242820258973055
FEN1,3.86683693738606,7.08402027711465,0.00017647369275511
ATAD2,3.85436841407341,7.36232707451897,0.0172082612870883
CDCA2,3.8539011334727,6.74687393769039,0.0474867492180702
SMAD4,3.67589679707133,5.21194218089061,0.0151775667182767
ASMTL,3.59616694697327,5.4965239912391,0.0496836122285617
YOD1,3.0964464964533,5.54296704286765,0.0342324253148995
HMGB2,3.04410373427125,6.278197891253,0.0386258960434204
PYCRL,3.02643588076522,5.68881290835782,0.0343704185026492
POLE,2.96799973002055,6.31707546619024,0.0308430604634472
MTMR3,2.89531492391797,6.54133219393009,0.0307834868384206
DCLRE1C,2.77503473476975,6.04800417726163,0.0128733897971409
C6orf132,2.74248185348318,5.56516377104554,0.0355888423736348
LRRFIP2,2.73849404990283,6.85699805502593,0.00338629962303756
PIDD,2.64737574491816,6.22493247692519,0.0474456288934217
SLFN13,2.62847924599089,7.48903359070873,0.0281628195452861
FOXJ2,2.58366256950521,6.13976539202476,0.0291703763540961
PCNA,2.54608903693697,7.60064900129804,0.0443736338375999
TUBG1,2.52644854979603,6.60656701046763,0.00668997343594382
HTT,2.33319186887391,5.84325453357683,0.0389883180365353
NASP,2.31284571162514,8.09760032728013,0.0171034596754754
CENPU,2.21192170604044,7.10371219952781,0.0454587216436958
CDCA4,2.21025055746273,8.03567246349288,0.0480946157416541
MAST2,2.13713084030047,6.42504136540823,0.04272115251685
MAGEF1,1.96369971710943,6.69916568853332,0.0300020036418205
NDE1,1.90141630238801,6.94366051710506,0.04365107009627
RFC2,1.85725084228106,7.22782934264906,0.0383722779059846
PKMYT1,1.80115895000055,7.73173312640917,0.0202363931221143
ENOSF1,1.76557595345313,7.33162125466884,0.0181738157251271
MASTL,1.74243372599549,6.80409160613375,0.023565431489887
MYO19,1.73244547830415,8.36172491800235,0.02055214362796
LMNB2,1.60861011549211,6.69470195577322,0.0451123259423505
MAP3K8,1.60811104619984,7.2473311258919,0.0415537131932606
ODF2L,1.58579887436236,7.06926972162948,0.0449133850935321
LMO4,1.55556408640421,7.30697502112588,0.0463286818494497
NUP153,1.54792995486158,8.25653282832941,0.00458119244773852
SYNE2,1.54526216517903,7.94180465712494,0.0454119076277138
DSG2,1.52519325490376,7.85265809318359,0.0392616969598877
MRPL37,1.52461144547325,7.84545385231416,0.0281875733759927
PFKP,1.51953895176483,7.73958966706766,0.0219736552848775
CCL28,1.50401389273421,8.3193552863506,0.033676982424085
STAG3L5P-PVRIG2P-PILRB,1.50222084786332,7.58553807450029,0.0125358676340094
UBXN1,1.4903867249808,7.10072321366085,0.0395739609753862
HSD3B7,1.47491838459711,7.61255312860899,0.0432771402655176
RAD21,1.4461623633947,8.24409222277467,0.0427992295222535
EMC4,1.40331419825471,8.28783742221175,0.014704500796213
TBC1D1,1.36296251337526,7.01638129482452,0.0492153951924668
PPM1G,1.35503858434819,8.42789297577309,0.0330751707163406
TOM1L2,1.30157979905511,8.02716527341379,0.0255246520498729
