,logFC,logCPM,PValue
RRM2,12.0959487122643,9.46825153423717,1.6974161980207e-06
CDK1,11.0553951493592,8.43973463892572,5.19192318481665e-05
LBP,10.0665911693811,7.47362237455433,0.000808915057823788
MKI67,9.84018202944797,7.2551149622262,0.00148505232367529
MYBL2,9.47662221404473,6.90656233046053,0.00393910767141824
AURKB,9.17639594621476,6.62200955281363,0.00876815242655686
ESCO2,9.13694434120099,6.58485538649236,0.00967529463902302
NDC80,8.79778891620321,6.26809283056773,0.0211792245023566
SPRR1B,8.65166585839391,6.13191843245648,0.0288576766326606
TNF,8.61803976424283,6.10131641587486,0.0309249364612888
STAC2,8.55976263671458,6.04872021222679,0.0346786780547065
NOD2,8.42884610748891,5.9281107182308,0.0443904088813026
POLR1E,8.37670622964834,5.88089393852701,0.0485438646463861
ZNF337,8.20219583507026,5.72453640986926,0.0651322105613452
NCAPG,8.1766309724185,5.70232931935621,0.0678391627555475
EIF4E3,8.11876214919394,5.64989224136708,0.074647869509447
SAMD4A,8.04429359489602,5.58366856888341,0.0839695371530744
ZNF30,7.97098359595404,5.52015362440104,0.0933391106166884
BLMH,7.93896411920892,5.49018686538429,0.0969232291424271
IQGAP3,7.90918516527499,6.74698620398219,0.0119729242131572
SHCBP1,7.89203034837695,5.45001500704904,0.102276841137542
TMEM186,7.88254105061689,5.44173857335613,0.103409260835297
FAM86EP,7.87570512920588,5.43535536106642,0.104368275761719
MSH5-SAPCD1,7.82682567674135,5.39237849512557,0.110106323244785
MSH5,7.82682567674135,5.39237849512557,0.110106323244785
SPATA5,7.81448405376542,5.38152679623093,0.111603760536377
GTSE1,7.78133726980387,5.35557676253631,0.115501274273637
ESPL1,7.67888698924198,5.26615596712661,0.129940966728173
ROR2,7.65283284817244,5.24240514720847,0.133793477685495
NEIL3,7.64163252388423,5.23580621960836,0.135088304124403
SPC25,7.60089156443216,5.20122903747696,0.14101245343301
ZSCAN20,7.57859227333381,5.18108687388539,0.144712611671572
KIF20A,7.53174388857027,5.14116854034347,0.151840326425775
LRRC29,7.53005206081874,5.14047132965529,0.152468310403198
PRDM1,7.52375964950921,5.13335809145098,0.153495916956518
FBXO43,7.44608336494418,5.07115341022742,0.165076308331935
KDM8,7.44536576600187,5.0687746242771,0.165250230183077
PLA2G4F,7.41082984388493,5.03873744197237,0.168668906493074
LAMB3,7.40052366245658,5.03105575953288,0.169857652650353
IVL,7.36306467078574,5.00049082069944,0.174088275705521
OLFM1,7.342458458133,4.98302686105743,0.176106162987965
KIF15,7.33516731225843,4.97871524061454,0.177105946492662
FFAR2,7.29831974756753,4.94791888269575,0.180933258591782
NPTN-IT1,7.29650220539493,4.94428414980202,0.181230286945876
E2F7,7.28664744034174,4.93953616077097,0.182310747866401
ELAVL2,7.25042505400035,4.90800903376033,0.186356526148304
NEK10,7.24181744902252,4.9010271492751,0.18767495021375
PEG10,7.22932956823171,4.89284646678187,0.188373937573015
PRSS3,7.20491482469056,4.8710670136306,0.191749446282936
CLDN19,7.18981176685552,4.86085669811772,0.193410376110117
FLJ38717,7.17976078924142,4.85274689487719,0.194905733804683
SNX24,7.1751477895303,4.84782891776786,0.195344262263185
FAM222A,7.17170218985652,4.8440325172588,0.195683991314493
AC010524.2,7.15061580583092,4.82695535372915,0.198017092365165
TMEM194B,7.13842831589431,4.81662494576143,0.199766522976256
SERPINA1,7.1302229062277,4.80966916368017,0.200407405188848
PLAC1,7.09672723353521,4.78616844925098,0.204256446675974
NEURL4,7.08947185555828,4.77844040493348,0.205837823273866
ENDOU,7.07460753728914,4.76644440576746,0.207849390509071
UAP1L1,7.04346028985487,4.73981021816685,0.211321635028133
ZCCHC11,7.03007767597616,4.7297368654578,0.213215455065257
GABPB2,7.01407949911935,4.71709211713353,0.215393422316652
PIGR,7.01407949911935,4.71709211713353,0.215393422316652
RP11-28G8.1,7.01086300592162,4.71545837167796,0.215557768656677
CD36,6.99721803168551,4.70738928860512,0.217304522264798
LTF,6.98154095810904,4.69146476090416,0.219880640999519
ZNF569,6.97600451820505,4.68923980458242,0.220109828722284
LOC100507642,6.97335076197268,4.6868014439175,0.220361490933995
GPR156,6.96618782665654,4.6792104898256,0.221148260543174
PRELID2,6.95841481306793,4.67416063660718,0.222642939562956
LINC01128,6.94199922881113,4.66121356205515,0.224990863941991
FAM64A,6.9360209748662,6.15529085465986,0.0617812743466817
ZNF818P,6.93361444147752,4.65488226322711,0.225662292398731
CDKN2D,6.92684727441391,4.65236558011604,0.226936420749588
OTX1,6.91417619393348,4.63880059439249,0.228391550817151
CFI,6.91417619393348,4.63880059439249,0.228391550817151
GSG2,6.90260608487009,4.63354627939901,0.229986438048235
DCHS1,6.88544538024198,4.61797436701456,0.231523089032674
A1BG-AS1,6.88544538024198,4.61797436701456,0.231523089032674
CNGA2,6.87795547637082,4.61447736654566,0.231629017394438
CLSPN,6.87063422660537,6.09844752297518,0.0685948321645999
LRRC14B,6.86981336033566,4.60589334276533,0.231889511960478
TNFAIP8L1,6.85346085630144,4.59276396293065,0.233356328022799
MECOM,6.83140036552663,4.57700681872119,0.234926700082644
CKAP2L,6.82735354445273,4.57556349145377,0.23497102844367
KIF4A,6.81725067798391,4.56609838381826,0.236371919483902
LOC100996873,6.80268439580921,4.55381988405173,0.237883319562739
MYBL1,6.77737020977858,4.53327578544868,0.239677148843632
EFNB1,6.7734990905145,4.53104167121814,0.239746865235203
KRT40,6.77228792842227,4.53119690091829,0.239742019710074
APOD,6.753492233649,4.51600606505813,0.241396894221037
ZDHHC15,6.74577854006546,4.5123785641399,0.241510804459218
LOC100996634,6.72861997813151,4.49721418826223,0.243192982091644
NUF2,6.68251723715012,4.46505398160227,0.246702092437735
STX11,6.67675700922867,4.45863100078267,0.246907512581579
PIK3AP1,6.66763090759799,4.45479200496887,0.248315457104161
IFIT2,6.6639376442678,4.45206960399712,0.248402816590673
TRIM22,6.65001658876483,4.43765279667285,0.248866643222165
CLEC2B,6.6448272992597,4.43761571257645,0.250181725319114
SDR42E1,6.62916017766597,4.42215024969413,0.250681944356308
MX2,6.6272760841515,4.42237413449406,0.250674686208417
TMEM37,6.61240039720186,4.41133685243209,0.252377237935162
JAKMIP3,6.59953428715019,4.40127020481747,0.252705424317296
TEX19,6.54370940248381,4.36341741748529,0.258174301029301
RNF157,6.53642377377037,4.35328755318533,0.258510124885314
SYNDIG1L,6.52010070350973,4.34203045798794,0.258884534477071
KIAA1107,6.51890603990172,4.34276860120136,0.260336767081927
S100A7,6.51585307452979,7.35534492171986,0.0120844696450286
C3orf70,6.5128250382225,4.33610622848519,0.26055906349545
IL32,6.5037328874615,4.33146512460727,0.260714184845666
ACPT,6.4972634544589,4.32545723284703,0.26091531467195
ACTL7A,6.47450543335811,4.31067675787708,0.26292554688276
ZNF878,6.46443705332911,4.30111620074839,0.264799987029223
MIR17HG,6.46090110445296,4.2994880609263,0.2648550339192
PIM1,6.43534469458093,4.28258438148538,0.267020105026804
SELPLG,6.42649922092358,4.27456102370765,0.267293340843867
ZNF367,6.41618908169943,5.38257528344073,0.160985506956488
NXPH1,6.41254213703518,4.2689279414923,0.267485575495966
BRCA1,6.41206656493095,5.99796050240604,0.0823980369660442
C16orf95,6.41028854441341,4.26425690275133,0.269278956530904
ZNF620,6.38866915933453,4.24698364488484,0.269871674279697
CHAF1B,6.38404737984105,6.92644496064134,0.0226409941860666
