,logFC,logCPM,PValue
LBP,10.7690620825956,8.03027517532706,0.000116511521435533
SPRR1B,9.48393799910507,6.78721793061909,0.00316328712456076
NOD2,9.26333956498646,6.57826102077865,0.00571805427493227
FAM86EP,8.67855719605688,6.03385143116651,0.0222751184471787
ZNF30,8.4720148370989,5.84904190611053,0.0307280760224861
TMEM186,8.47131510546039,5.84620720920725,0.030833381895152
TNF,8.40558487655665,5.79103650410443,0.0339590875930319
PRDM1,8.38535777842579,5.76659743974396,0.0352122787699887
ZSCAN20,8.23186274291125,5.63168938066422,0.0442468822744629
ALDH1A1,7.51588802052455,6.90815744534297,0.00713322640189248
S100A7,7.44846619026309,7.76756781135455,0.0022253016561879
SERPINA3,7.42266600893647,8.06978628931778,0.00180111561286506
STAC2,7.4189841697707,6.38710579431196,0.0250084382480484
ZNF516,6.5000024687884,6.47565569735589,0.0325555514418112
CHAF1B,5.71383851455368,6.94778458614816,0.0292748857525672
