Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PBK human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
GSG2 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
CHEK1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
CHEK2 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
SRPK1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
AURKA human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
VRK1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
PKMYT1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
TTK human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
PLK1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
CDK1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
BUB1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
NEK2 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
BUB1B human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
PLK4 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
CDC7 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
WEE1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
MASTL human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
CSNK2A1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
MELK human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
CSNK2A2 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	AURKB
