Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Metaphase/Anaphase Phase Transition	1/8	3.999883241497325E-4	0.002099950749855064	0	0	19992.0	156418.91141655247	AURKB
Microtubule Cytoskeleton	1/12	5.999842544083076E-4	0.002099950749855064	0	0	19988.0	148283.11962915692	AURKB
Chromosome Condensation	1/15	7.499814841592997E-4	0.002099950749855064	0	0	19985.0	143801.30885993244	AURKB
Spindle Assembly	1/16	7.999806025552998E-4	0.002099950749855064	0	0	19984.0	142504.36677868527	AURKB
Histone Phosphorylation	1/17	8.499797390404818E-4	0.002099950749855064	0	0	19983.0	141285.76583697114	AURKB
Sister Chromatid Cohesion	1/18	8.999788927950273E-4	0.002099950749855064	0	0	19982.0	140136.54844084635	AURKB
APC/C-FZR1 Complex	1/23	0.0011499748819949903	0.0022999497639899806	0	0	19977.0	135204.63922267244	AURKB
APC/C-CDC20 Complex	1/33	0.001649967703211374	0.0026443931638494684	0	0	19967.0	127928.56031580272	AURKB
SCF/BTRC Complex	1/34	0.0016999670339032298	0.0026443931638494684	0	0	19966.0	127326.1054203148	AURKB
Kinetochore Assembly	1/40	0.001999963168059245	0.0027999484352829425	0	0	19960.0	124043.94523066044	AURKB
Proteins Involved in Hodgkin Lymphoma	1/50	0.002499957206903733	0.003181763717877478	0	0	19950.0	119530.05920663517	AURKB
Cell Cycle Overiew	1/107	0.005349930202692585	0.006241585236474683	0	0	19893.0	104053.753408911	AURKB
Proteins Involved in Glioblastoma	1/178	0.008899905385709648	0.009584513492302698	0	0	19822.0	93593.82745769853	AURKB
Proteins Involved in Glioma	1/290	0.014499876075476977	0.014499876075476977	0	0	19710.0	83444.555121147	AURKB
