Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Barasertib	1/5	2.499917995416556E-4	0.009399725617518714	0	0	19995.0	165840.17843725558	AURKB
Tozasertib	1/8	3.999883241497325E-4	0.009399725617518714	0	0	19992.0	156418.91141655247	AURKB
Lapatinib	1/19	9.4997806231055E-4	0.013078101740124299	0	0	19981.0	139049.2109571672	AURKB
XMD11-50	1/47	0.002349958939238154	0.013078101740124299	0	0	19953.0	120782.64067395544	AURKB
GSK429286A	1/48	0.002399958356798814	0.013078101740124299	0	0	19952.0	120356.5272753826	AURKB
SCH772984	1/52	0.0025999560757154674	0.013078101740124299	0	0	19948.0	118735.69700320113	AURKB
XMD-12	1/59	0.0029499522555206784	0.013078101740124299	0	0	19941.0	116175.59385530633	AURKB
XMD13-2	1/77	0.0038499432547502445	0.013078101740124299	0	0	19923.0	110765.8407373636	AURKB
Barasertib	1/85	0.004249939567045091	0.013078101740124299	0	0	19915.0	108752.83801948265	AURKB
GW843682X	1/89	0.004449937783809842	0.013078101740124299	0	0	19911.0	107815.380281759	AURKB
Vemurafenib	1/89	0.004449937783809842	0.013078101740124299	0	0	19911.0	107815.380281759	AURKB
ZM-447439	1/91	0.0045499369072032085	0.013078101740124299	0	0	19909.0	107362.10783923086	AURKB
WZ4003	1/92	0.0045999364719865625	0.013078101740124299	0	0	19908.0	107139.13814408929	AURKB
MLN8054	1/96	0.004799934753870669	0.013078101740124299	0	0	19904.0	106270.50039849174	AURKB
WZ4002	1/98	0.004899933908107966	0.013078101740124299	0	0	19902.0	105849.45495286949	AURKB
ZG-10	1/100	0.004999933071055651	0.013078101740124299	0	0	19900.0	105436.78197328729	AURKB
GW-5074	1/101	0.005049932654680363	0.013078101740124299	0	0	19899.0	105233.48101229242	AURKB
Sorafenib	1/106	0.005299930607652593	0.013078101740124299	0	0	19894.0	104245.78450366123	AURKB
PLX-4720	1/106	0.005299930607652593	0.013078101740124299	0	0	19894.0	104245.78450366123	AURKB
KIN001-111	1/121	0.006049924737935865	0.013078101740124299	0	0	19879.0	101536.15609745699	AURKB
RO-3306	1/122	0.006099924360537953	0.013078101740124299	0	0	19878.0	101367.44172908067	AURKB
AG1478	1/123	0.006149923984296181	0.013078101740124299	0	0	19877.0	101200.07933676826	AURKB
JWE-035	1/128	0.006399922128145933	0.013078101740124299	0	0	19872.0	100382.80103296519	AURKB
HG-5-113-01	1/157	0.007849912051478345	0.013172238833171432	0	0	19843.0	96184.04030438949	AURKB
XMD16-144	1/160	0.007999911068844165	0.013172238833171432	0	0	19840.0	95793.96509856998	AURKB
BI-D1870	1/164	0.008199909776560387	0.013172238833171432	0	0	19836.0	95284.84688368754	AURKB
GSK1059615	1/165	0.008249909455347768	0.013172238833171432	0	0	19835.0	95159.46482222488	AURKB
MRT67307	1/172	0.008599907242820785	0.013172238833171432	0	0	19828.0	94302.04456580919	AURKB
Palbociclib	1/184	0.009199903564844769	0.013172238833171432	0	0	19816.0	92908.5500823036	AURKB
BMS-536924	1/184	0.009199903564844769	0.013172238833171432	0	0	19816.0	92908.5500823036	AURKB
KIN001-220	1/190	0.009499901779199581	0.013172238833171432	0	0	19810.0	92244.74636351672	AURKB
Dabrafenib	1/195	0.00974990031449891	0.013172238833171432	0	0	19805.0	91707.0172110273	AURKB
WH-4-023	1/198	0.009899899448881415	0.013172238833171432	0	0	19802.0	91390.79789707912	AURKB
Crizotinib	1/200	0.009999898875429635	0.013172238833171432	0	0	19800.0	91182.56991022592	AURKB
Baricitinib	1/203	0.010149898020491144	0.013172238833171432	0	0	19797.0	90874.00321672155	AURKB
AZD4547	1/209	0.010449896334017453	0.013172238833171432	0	0	19791.0	90269.98130305547	AURKB
HG-6-64-01	1/210	0.01049989605597755	0.013172238833171432	0	0	19790.0	90170.9565424947	AURKB
HG-9-91-01	1/213	0.010649895226819455	0.013172238833171432	0	0	19787.0	89876.61478178046	AURKB
CP466722	1/228	0.011399891183604715	0.013641335690485906	0	0	19772.0	88462.9228435866	AURKB
R406	1/234	0.011699889612488298	0.013641335690485906	0	0	19766.0	87922.64428699951	AURKB
NVP-TAE684	1/238	0.011899888581062173	0.013641335690485906	0	0	19762.0	87569.89299132978	AURKB
AZD 5438	1/258	0.012899883576599226	0.014435584002384849	0	0	19742.0	85888.30131037821	AURKB
HG-14-10-04	1/268	0.013399881167914128	0.01464638174167358	0	0	19732.0	85094.43627265903	AURKB
BX-912	1/285	0.014249877208842734	0.015092093024504784	0	0	19715.0	83808.60279262844	AURKB
THZ1	1/289	0.01444987630005777	0.015092093024504784	0	0	19711.0	83516.87543637157	AURKB
OTSSP167	1/298	0.014899874288964566	0.015099873408185865	0	0	19702.0	82874.54211506271	AURKB
AZD7762	1/302	0.015099873408185865	0.015099873408185865	0	0	19698.0	82595.07156173942	AURKB
