Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
IGF1R knockout 151 GSE32936	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
RET knockout 270 GSE32093	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
BRD4 knockdown 223 GSE50865	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
MAP2K1 knockdown 134 GSE31534	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
ERBB3 knockdown 65 GSE19921	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
FGFR1 knockdown 94 GSE27869	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
AURKA druginhibition 196 GSE57810	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
KSR1 knockout 126 GSE28228	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
EPHA4 knockout 227 GSE34430	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
CDK8 knockdown 161 GSE38061	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
SYK knockdown 190 GSE54065	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
AURKB knockdown 92 GSE27869	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
