Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CAMK1 knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
ERBB4 knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
CSK knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
INSR knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
MET knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
GPR128 knockdown 96h HA1E	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
CDK10 knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
AKT2 knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
TAAR9 knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
CDK2 knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
MAP3K5 knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
PXK knockdown 96h HA1E	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
GPRC5A knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
ATM knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
FZD3 knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
MAPK13 knockdown 96h HCC515	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
NPBWR1 knockdown 96h HA1E	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
GPR158 knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
NPFFR2 knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
BTK knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
EPHA6 knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
GABRA5 knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
NR0B1 knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	AURKB
