Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SUMOylation of DNA replication proteins Homo sapiens R-HSA-4615885	1/44	0.002199960717942337	0.014249818569597528	0	0	19956.0	122117.06559109333	AURKB
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1 Homo sapiens R-HSA-174178	1/71	0.0035499461386618763	0.014249818569597528	0	0	19929.0	112415.9585341616	AURKB
APC/C-mediated degradation of cell cycle proteins Homo sapiens R-HSA-174143	1/85	0.004249939567045091	0.014249818569597528	0	0	19915.0	108752.83801948265	AURKB
Regulation of mitotic cell cycle Homo sapiens R-HSA-453276	1/85	0.004249939567045091	0.014249818569597528	0	0	19915.0	108752.83801948265	AURKB
Regulation of TP53 Activity through Phosphorylation Homo sapiens R-HSA-6804756	1/89	0.004449937783809842	0.014249818569597528	0	0	19911.0	107815.380281759	AURKB
SUMO E3 ligases SUMOylate target proteins Homo sapiens R-HSA-3108232	1/96	0.004799934753870669	0.014249818569597528	0	0	19904.0	106270.50039849174	AURKB
Resolution of Sister Chromatid Cohesion Homo sapiens R-HSA-2500257	1/99	0.004949933488406853	0.014249818569597528	0	0	19901.0	105642.09305076735	AURKB
SUMOylation Homo sapiens R-HSA-2990846	1/101	0.005049932654680363	0.014249818569597528	0	0	19899.0	105233.48101229242	AURKB
Mitotic Prometaphase Homo sapiens R-HSA-68877	1/107	0.005349930202692585	0.014249818569597528	0	0	19893.0	104053.753408911	AURKB
RHO GTPases Activate Formins Homo sapiens R-HSA-5663220	1/114	0.005699927427839011	0.014249818569597528	0	0	19886.0	102756.96431429045	AURKB
Regulation of TP53 Activity Homo sapiens R-HSA-5633007	1/151	0.007549914047129308	0.015535547534739003	0	0	19849.0	96986.56292130274	AURKB
Separation of Sister Chromatids Homo sapiens R-HSA-2467813	1/162	0.008099910420261848	0.015535547534739003	0	0	19838.0	95537.86936302872	AURKB
Mitotic Anaphase Homo sapiens R-HSA-68882	1/173	0.008649906930054132	0.015535547534739003	0	0	19827.0	94182.3485904014	AURKB
Mitotic Metaphase and Anaphase Homo sapiens R-HSA-2555396	1/174	0.008699906619453841	0.015535547534739003	0	0	19826.0	94063.32665580734	AURKB
RHO GTPase Effectors Homo sapiens R-HSA-195258	1/255	0.012749884310693061	0.020937314324865824	0	0	19745.0	86132.29218612205	AURKB
M Phase Homo sapiens R-HSA-68886	1/268	0.013399881167914128	0.020937314324865824	0	0	19732.0	85094.43627265903	AURKB
Transcriptional Regulation by TP53 Homo sapiens R-HSA-3700989	1/348	0.01739986382221608	0.025485916850100196	0	0	19652.0	79616.00805314661	AURKB
Signaling by Rho GTPases Homo sapiens R-HSA-194315	1/367	0.01834986013207214	0.025485916850100196	0	0	19633.0	78495.35160390621	AURKB
Cell Cycle, Mitotic Homo sapiens R-HSA-69278	1/462	0.023099843618041526	0.03039453107637043	0	0	19538.0	73617.80522793945	AURKB
Post-translational protein modification Homo sapiens R-HSA-597592	1/521	0.026049834719769197	0.03256229339971149	0	0	19479.0	71054.40256193584	AURKB
Cell Cycle Homo sapiens R-HSA-1640170	1/566	0.028299828506441586	0.03369027203147808	0	0	19434.0	69280.25754753318	AURKB
Generic Transcription Pathway Homo sapiens R-HSA-212436	1/812	0.04059980126266133	0.046136137798478784	0	0	19188.0	61478.2005566909	AURKB
Metabolism of proteins Homo sapiens R-HSA-392499	1/1074	0.0536997810219746	0.05836932719779847	0	0	18926.0	55346.17912000491	AURKB
Gene Expression Homo sapiens R-HSA-74160	1/1631	0.08154975568823711	0.08494766217524699	0	0	18369.0	46042.66900188582	AURKB
Signal Transduction Homo sapiens R-HSA-162582	1/2465	0.1232497424200041	0.1232497424200041	0	0	17535.0	36710.2687187598	AURKB
