Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
AURKA human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	CDK1
VRK1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	CDK1
MAP3K7 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	CDK1
AURKB human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	CDK1
TGFBR1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	CDK1
TTK human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	CDK1
PLK1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	CDK1
BUB1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	CDK1
NEK2 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	CDK1
BUB1B human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	CDK1
PLK4 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	CDK1
NEK4 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	CDK1
CDC7 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	CDK1
WEE1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	CDK1
MASTL human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	CDK1
MELK human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	CDK1
CSNK2A2 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	CDK1
