Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CyclinB1-Cdc2 complex (mouse)	1/2	9.999595501977438E-5	2.333247077508198E-4	0	0	19998.0	184189.19569028588	CDK1
CCNB2-CDC2 complex (human)	1/2	9.999595501977438E-5	2.333247077508198E-4	0	0	19998.0	184189.19569028588	CDK1
CCNB1-CDC2 complex (human)	1/2	9.999595501977438E-5	2.333247077508198E-4	0	0	19998.0	184189.19569028588	CDK1
ESPL1-CDC2 complex (human)	1/2	9.999595501977438E-5	2.333247077508198E-4	0	0	19998.0	184189.19569028588	CDK1
CDC2-CCNA2 complex (human)	1/2	9.999595501977438E-5	2.333247077508198E-4	0	0	19998.0	184189.19569028588	CDK1
RalBP1-CDC2-CCNB1 complex (human)	1/3	1.4999445498266987E-4	2.333247077508198E-4	0	0	19997.0	176071.82988997613	CDK1
CDC2-CCNB1-CCNF complex (human)	1/3	1.4999445498266987E-4	2.333247077508198E-4	0	0	19997.0	176071.82988997613	CDK1
CDC2-CCNB1-PTCH1 complex (human)	1/3	1.4999445498266987E-4	2.333247077508198E-4	0	0	19997.0	176071.82988997613	CDK1
CDC2-CCNA2-CDK2 complex (human)	1/3	1.4999445498266987E-4	2.333247077508198E-4	0	0	19997.0	176071.82988997613	CDK1
CDC2-PCNA-CCNB1-GADD45A complex (human)	1/4	1.9999308187758735E-4	2.3332526219051858E-4	0	0	19996.0	170310.48674140088	CDK1
CDC2-PCNA-CCNB1-GADD45B complex (human)	1/4	1.9999308187758735E-4	2.3332526219051858E-4	0	0	19996.0	170310.48674140088	CDK1
CDC2-PCNA-CCNB1-GADD45G complex (human)	1/4	1.9999308187758735E-4	2.3332526219051858E-4	0	0	19996.0	170310.48674140088	CDK1
Cell cycle kinase complex CDC2 (human)	1/6	2.999905873105514E-4	3.2306678633443994E-4	0	0	19994.0	162186.51863187927	CDK1
RC complex during G2/M-phase of cell cycle (human)	1/13	6.499833083207112E-4	6.499833083207112E-4	0	0	19987.0	146675.87616784443	CDK1
