Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GPR3 in Oocyte Meiotic Arrest	1/7	3.4998943191536045E-4	0.0024352409265776267	0	0	19993.0	159096.44871609515	CDK1
Metaphase/Anaphase Phase Transition	1/8	3.999883241497325E-4	0.0024352409265776267	0	0	19992.0	156418.91141655247	CDK1
HPV E4 Contribution to Life Cycle of Virus and Cell	1/8	3.999883241497325E-4	0.0024352409265776267	0	0	19992.0	156418.91141655247	CDK1
FOXM1 Signaling in Prostate Cancer	1/11	5.499852259717758E-4	0.0024352409265776267	0	0	19989.0	150029.8210287992	CDK1
SCF/FBXO7 Complex	1/14	6.999823856154149E-4	0.0024352409265776267	0	0	19986.0	145187.40535746745	CDK1
Chromosome Condensation	1/15	7.499814841592997E-4	0.0024352409265776267	0	0	19985.0	143801.30885993244	CDK1
Spindle Assembly	1/16	7.999806025552998E-4	0.0024352409265776267	0	0	19984.0	142504.36677868527	CDK1
G2/M Damage Checkpoint	1/17	8.499797390404818E-4	0.0024352409265776267	0	0	19983.0	141285.76583697114	CDK1
Histone Phosphorylation	1/17	8.499797390404818E-4	0.0024352409265776267	0	0	19983.0	141285.76583697114	CDK1
Androgen Receptor and Cell Cycle in Prostate Cancer	1/17	8.499797390404818E-4	0.0024352409265776267	0	0	19983.0	141285.76583697114	CDK1
SIRT7 Signaling in Aging	1/17	8.499797390404818E-4	0.0024352409265776267	0	0	19983.0	141285.76583697114	CDK1
rRNA Transcription and Processing	1/19	9.4997806231055E-4	0.0024352409265776267	0	0	19981.0	139049.2109571672	CDK1
SIRT6 Signaling in Aging	1/20	9.999772468562472E-4	0.0024352409265776267	0	0	19980.0	138017.40508704726	CDK1
OPTN Associated Glaucoma	1/22	0.001099975657412352	0.0024352409265776267	0	0	19978.0	136099.47030191717	CDK1
IL4R -> ELK/SRF/HMGY Signaling	1/22	0.001099975657412352	0.0024352409265776267	0	0	19978.0	136099.47030191717	CDK1
Estrogens/ESR1 Genomic Canonical Signaling	1/22	0.001099975657412352	0.0024352409265776267	0	0	19978.0	136099.47030191717	CDK1
APC/C-FZR1 Complex	1/23	0.0011499748819949903	0.0024352409265776267	0	0	19977.0	135204.63922267244	CDK1
DREAM Complex and FOXM1/MYBL2 Promote Cell Cycle Progression in Cancer	1/28	0.0013999711732997815	0.002652576959936428	0	0	19972.0	131242.0761597353	CDK1
EZH2 Methyltransferase Role in Cancer	1/28	0.0013999711732997815	0.002652576959936428	0	0	19972.0	131242.0761597353	CDK1
G2/M Phase Transition	1/30	0.0014999697593334861	0.002660817966109403	0	0	19970.0	129851.13732048514	CDK1
DNA Damage Checkpoint Impairment in Cancer	1/32	0.001599968380446728	0.002660817966109403	0	0	19968.0	128549.41955786056	CDK1
APC/C-CDC20 Complex	1/33	0.001649967703211374	0.002660817966109403	0	0	19967.0	127928.56031580272	CDK1
SCF/BTRC Complex	1/34	0.0016999670339032298	0.002660817966109403	0	0	19966.0	127326.1054203148	CDK1
Ras-GRF Regulation Signaling	1/44	0.002199960717942337	0.0032999410769135058	0	0	19956.0	122117.06559109333	CDK1
Oncogene Induced Cellular Senescence	1/46	0.0022999595269283277	0.0033119417187767917	0	0	19954.0	121217.83133114419	CDK1
Proteins Involved in Female Infertility	1/60	0.002999951725986083	0.00398565087210568	0	0	19940.0	115834.63209072244	CDK1
Proteins Involved in Diffuse Large-B-Cell Lymphoma	1/61	0.0030499512001654393	0.00398565087210568	0	0	19939.0	115499.24335773686	CDK1
TGF-beta Signaling	1/62	0.0030999506783044176	0.00398565087210568	0	0	19938.0	115169.24667401354	CDK1
Chronic Myeloid Leukemia	1/70	0.0034999466296654295	0.004344761333377775	0	0	19930.0	112704.30065625212	CDK1
TGFB Signaling activation by Blocking of Tumor Suppressors	1/73	0.0036499451652557326	0.004379934198306879	0	0	19927.0	111851.11054552946	CDK1
Follicular Lymphoma	1/97	0.004849934330470697	0.005632181803127262	0	0	19903.0	106058.9096435903	CDK1
Cell Cycle Overiew	1/107	0.005349930202692585	0.0060186714780291585	0	0	19893.0	104053.753408911	CDK1
Proteins Involved in Hepatocellular Carcinoma	1/130	0.006499921395252789	0.00709082334027577	0	0	19870.0	100064.62842845907	CDK1
Proteins with Altered Expression in Cancer-Associated Sustaining of Proliferative Signaling	1/175	0.008749906308884345	0.009264606679995189	0	0	19825.0	93944.97107443075	CDK1
Proteins Involved in Neuroblastoma	1/216	0.010799894402986133	0.01110846281450002	0	0	19784.0	89586.28316078232	CDK1
Proteins Involved in Glioma	1/290	0.014499876075476977	0.014499876075476977	0	0	19710.0	83444.555121147	CDK1
