Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PKMYT1	1/1	4.999766165280931E-5	3.7498246239606983E-4	0	0	19999.0	198060.7828771504	CDK1
WEE2	1/1	4.999766165280931E-5	3.7498246239606983E-4	0	0	19999.0	198060.7828771504	CDK1
WEE1	1/4	1.9999308187758735E-4	9.999654093879368E-4	0	0	19996.0	170310.48674140088	CDK1
EIF2AK2	1/11	5.499852259717758E-4	0.0020624445973941594	0	0	19989.0	150029.8210287992	CDK1
ERBB2	1/17	8.499797390404818E-4	0.0022499495261567833	0	0	19983.0	141285.76583697114	CDK1
MAP3K8	1/19	9.4997806231055E-4	0.0022499495261567833	0	0	19981.0	139049.2109571672	CDK1
CDK7	1/21	0.0010499764455398322	0.0022499495261567833	0	0	19979.0	137035.71221916509	CDK1
LYN	1/82	0.004099940929819	0.007166565195644409	0	0	19918.0	109484.9180722932	CDK1
IGF1R	1/86	0.0042999391173866456	0.007166565195644409	0	0	19914.0	108514.46102290177	CDK1
CHEK1	1/137	0.006849918879765162	0.010274878319647743	0	0	19863.0	98987.62735269018	CDK1
CSNK2A2	1/229	0.011449890919180231	0.01561348761706395	0	0	19771.0	88371.92302238473	CDK1
SRC	1/259	0.012949883332197818	0.016187354165247272	0	0	19741.0	85807.58285798409	CDK1
CSNK2A1	1/286	0.014299876981611122	0.016499858055705138	0	0	19714.0	83735.3006462471	CDK1
RPS6KA3	1/332	0.016599867047928138	0.01778557183706586	0	0	19668.0	80606.55613943956	CDK1
CDK1	1/494	0.0246998386768087	0.0246998386768087	0	0	19506.0	72190.89780152014	CDK1
