Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BCL2	1/121	0.006049924737935865	0.015631426109585192	0	0	19879.0	101536.15609745699	CDK1
GNAI2	1/124	0.006199923609750122	0.015631426109585192	0	0	19876.0	101034.04709010695	CDK1
TNFRSF1B	1/124	0.006199923609750122	0.015631426109585192	0	0	19876.0	101034.04709010695	CDK1
ATN1	1/124	0.006199923609750122	0.015631426109585192	0	0	19876.0	101034.04709010695	CDK1
TUBB	1/125	0.0062499232373748196	0.015631426109585192	0	0	19875.0	100869.32368441945	CDK1
KAT5	1/126	0.006299922865580704	0.015631426109585192	0	0	19874.0	100705.88833032292	CDK1
RFC1	1/128	0.006399922128145933	0.015631426109585192	0	0	19872.0	100382.80103296519	CDK1
DNM1	1/129	0.006449921761047041	0.015631426109585192	0	0	19871.0	100223.10990746199	CDK1
CASP8	1/130	0.006499921395252789	0.015631426109585192	0	0	19870.0	100064.62842845907	CDK1
HNRNPA1	1/130	0.006499921395252789	0.015631426109585192	0	0	19870.0	100064.62842845907	CDK1
FLNA	1/135	0.006749919591983201	0.015631426109585192	0	0	19865.0	99289.7333966756	CDK1
TOP1	1/136	0.00679991923461567	0.015631426109585192	0	0	19864.0	99138.13602465816	CDK1
NPM1	1/144	0.007199916431853661	0.015631426109585192	0	0	19856.0	97963.26643049065	CDK1
UBA1	1/144	0.007199916431853661	0.015631426109585192	0	0	19856.0	97963.26643049065	CDK1
PIN1	1/145	0.0072499160871101805	0.015631426109585192	0	0	19855.0	97820.92670675043	CDK1
PCNA	1/146	0.007299915744034045	0.015631426109585192	0	0	19854.0	97679.54515512098	CDK1
PPP2R1A	1/146	0.007299915744034045	0.015631426109585192	0	0	19854.0	97679.54515512098	CDK1
CDK5	1/146	0.007299915744034045	0.015631426109585192	0	0	19854.0	97679.54515512098	CDK1
IRS1	1/157	0.007849912051478345	0.015631426109585192	0	0	19843.0	96184.04030438949	CDK1
RPA2	1/162	0.008099910420261848	0.015631426109585192	0	0	19838.0	95537.86936302872	CDK1
POLR2A	1/165	0.008249909455347768	0.015631426109585192	0	0	19835.0	95159.46482222488	CDK1
SQSTM1	1/165	0.008249909455347768	0.015631426109585192	0	0	19835.0	95159.46482222488	CDK1
SRRM2	1/166	0.008299909136373285	0.015631426109585192	0	0	19834.0	95034.82345515197	CDK1
IKBKB	1/169	0.00844990818466259	0.015631426109585192	0	0	19831.0	94665.25571797648	CDK1
EPB41	1/172	0.008599907242820785	0.015631426109585192	0	0	19828.0	94302.04456580919	CDK1
SFN	1/173	0.008649906930054132	0.015631426109585192	0	0	19827.0	94182.3485904014	CDK1
ERBB2	1/175	0.008749906308884345	0.015631426109585192	0	0	19825.0	93944.97107443075	CDK1
PAK1	1/176	0.008799906001252198	0.015631426109585192	0	0	19824.0	93827.2742785136	CDK1
TAF2	1/180	0.008999904774535104	0.015631426109585192	0	0	19820.0	93362.92821536642	CDK1
MAPK10	1/182	0.009099904167512541	0.015631426109585192	0	0	19818.0	93134.5204969738	CDK1
PPP1CA	1/184	0.009199903564844769	0.015631426109585192	0	0	19816.0	92908.5500823036	CDK1
HNRNPK	1/188	0.009399902370135061	0.015631426109585192	0	0	19812.0	92463.712994847	CDK1
SKP1	1/190	0.009499901779199581	0.015631426109585192	0	0	19810.0	92244.74636351672	CDK1
LYN	1/197	0.009849899736522881	0.015631426109585192	0	0	19803.0	91495.68213909514	CDK1
VIM	1/199	0.009949899161015963	0.015631426109585192	0	0	19801.0	91286.4288690606	CDK1
RB1	1/209	0.010449896334017453	0.015631426109585192	0	0	19791.0	90269.98130305547	CDK1
IGF1R	1/215	0.010749894677765881	0.015631426109585192	0	0	19785.0	89682.62168326892	CDK1
BRCA1	1/216	0.010799894402986133	0.015631426109585192	0	0	19784.0	89586.28316078232	CDK1
PRKAB1	1/223	0.011149892511555107	0.015724207388090536	0	0	19777.0	88923.82785787579	CDK1
AR	1/243	0.012149887304625896	0.01656692064152228	0	0	19757.0	87136.97189310812	CDK1
APP	1/247	0.012349886296407516	0.01656692064152228	0	0	19753.0	86796.82367397148	CDK1
CSNK2A2	1/289	0.01444987630005777	0.01892245705959946	0	0	19711.0	83516.87543637157	CDK1
PRKCB	1/338	0.016899865826559616	0.021510943707637994	0	0	19662.0	80229.79996326564	CDK1
ABL1	1/351	0.01754986322948791	0.021510943707637994	0	0	19649.0	79435.19154391947	CDK1
MAPK8	1/352	0.017599863033521995	0.021510943707637994	0	0	19648.0	79375.25099906886	CDK1
RPS6KA3	1/375	0.018749858620663404	0.022418309220358416	0	0	19625.0	78040.16793644907	CDK1
FYN	1/433	0.02164984834816479	0.025334928918065183	0	0	19567.0	74995.55287816713	CDK1
EGFR	1/467	0.023349842829445917	0.026755028242073445	0	0	19533.0	73388.70445213263	CDK1
MYC	1/498	0.02489983808063008	0.027609821233812306	0	0	19502.0	72018.81836516854	CDK1
TP53	1/502	0.025099837485283914	0.027609821233812306	0	0	19498.0	71848.06140951214	CDK1
SRC	1/513	0.025649835871478226	0.02766158770453534	0	0	19487.0	71385.13123471283	CDK1
UBC	1/540	0.026999832038189772	0.028557514655777643	0	0	19460.0	70288.0533738442	CDK1
CSNK2A1	1/564	0.02819982877260108	0.029263973254586025	0	0	19436.0	69356.1876526578	CDK1
ESR1	1/591	0.029549825248565365	0.03009704423464991	0	0	19409.0	68352.23760573211	CDK1
CDK1	1/659	0.032949817004723575	0.032949817004723575	0	0	19341.0	66006.37628770388	CDK1
