Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cyclin B2 mediated events Homo sapiens R-HSA-157881	1/5	2.499917995416556E-4	0.0038398992282131688	0	0	19995.0	165840.17843725558	CDK1
G2/M DNA replication checkpoint Homo sapiens R-HSA-69478	1/5	2.499917995416556E-4	0.0038398992282131688	0	0	19995.0	165840.17843725558	CDK1
Phosphorylation of Emi1 Homo sapiens R-HSA-176417	1/6	2.999905873105514E-4	0.0038398992282131688	0	0	19994.0	162186.51863187927	CDK1
Activation of NIMA Kinases NEK9, NEK6, NEK7 Homo sapiens R-HSA-2980767	1/7	3.4998943191536045E-4	0.0038398992282131688	0	0	19993.0	159096.44871609515	CDK1
MASTL Facilitates Mitotic Progression Homo sapiens R-HSA-2465910	1/10	4.999862257578379E-4	0.0038398992282131688	0	0	19990.0	151942.5908680334	CDK1
E2F-enabled inhibition of pre-replication complex formation Homo sapiens R-HSA-113507	1/10	4.999862257578379E-4	0.0038398992282131688	0	0	19990.0	151942.5908680334	CDK1
MAPK3 (ERK1) activation Homo sapiens R-HSA-110056	1/10	4.999862257578379E-4	0.0038398992282131688	0	0	19990.0	151942.5908680334	CDK1
Recruitment of NuMA to mitotic centrosomes Homo sapiens R-HSA-380320	1/11	5.499852259717758E-4	0.0038398992282131688	0	0	19989.0	150029.8210287992	CDK1
Condensation of Prometaphase Chromosomes Homo sapiens R-HSA-2514853	1/11	5.499852259717758E-4	0.0038398992282131688	0	0	19989.0	150029.8210287992	CDK1
Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex Homo sapiens R-HSA-75035	1/12	5.999842544083076E-4	0.0038398992282131688	0	0	19988.0	148283.11962915692	CDK1
Golgi Cisternae Pericentriolar Stack Reorganization Homo sapiens R-HSA-162658	1/14	6.999823856154149E-4	0.003999901248849598	0	0	19986.0	145187.40535746745	CDK1
Depolymerisation of the Nuclear Lamina Homo sapiens R-HSA-4419969	1/15	7.499814841592997E-4	0.003999901248849598	0	0	19985.0	143801.30885993244	CDK1
G1/S-Specific Transcription Homo sapiens R-HSA-69205	1/17	8.499797390404818E-4	0.004053239732525013	0	0	19983.0	141285.76583697114	CDK1
TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest Homo sapiens R-HSA-6804114	1/18	8.999788927950273E-4	0.004053239732525013	0	0	19982.0	140136.54844084635	CDK1
Phosphorylation of the APC/C Homo sapiens R-HSA-176412	1/19	9.4997806231055E-4	0.004053239732525013	0	0	19981.0	139049.2109571672	CDK1
Cyclin A/B1 associated events during G2/M transition Homo sapiens R-HSA-69273	1/22	0.001099975657412352	0.004088799580426632	0	0	19978.0	136099.47030191717	CDK1
RAF-independent MAPK1/3 activation Homo sapiens R-HSA-112409	1/23	0.0011499748819949903	0.004088799580426632	0	0	19977.0	135204.63922267244	CDK1
APC/C:Cdc20 mediated degradation of Cyclin B Homo sapiens R-HSA-174048	1/23	0.0011499748819949903	0.004088799580426632	0	0	19977.0	135204.63922267244	CDK1
G0 and Early G1 Homo sapiens R-HSA-1538133	1/25	0.001249973366379199	0.00421043660254046	0	0	19975.0	133525.54486996148	CDK1
E2F mediated regulation of DNA replication Homo sapiens R-HSA-113510	1/33	0.001649967703211374	0.0050086002583018445	0	0	19967.0	127928.56031580272	CDK1
Nuclear Pore Complex (NPC) Disassembly Homo sapiens R-HSA-3301854	1/34	0.0016999670339032298	0.0050086002583018445	0	0	19966.0	127326.1054203148	CDK1
Regulation of TP53 Degradation Homo sapiens R-HSA-6804757	1/35	0.0017499663721595958	0.0050086002583018445	0	0	19965.0	126740.98858805298	CDK1
Regulation of TP53 Expression and Degradation Homo sapiens R-HSA-6806003	1/36	0.0017999657178272253	0.0050086002583018445	0	0	19964.0	126172.23364250173	CDK1
Condensation of Prophase Chromosomes Homo sapiens R-HSA-2299718	1/41	0.00204996254668666	0.0054665667911644265	0	0	19959.0	123544.88783416105	CDK1
TP53 Regulates Transcription of Cell Cycle Genes Homo sapiens R-HSA-6791312	1/48	0.002399958356798814	0.006143893393404963	0	0	19952.0	120356.5272753826	CDK1
Nuclear Envelope Breakdown Homo sapiens R-HSA-2980766	1/51	0.002549956639017985	0.006276816342198117	0	0	19949.0	119129.02286012359	CDK1
The role of GTSE1 in G2/M progression after G2 checkpoint Homo sapiens R-HSA-8852276	1/59	0.0029499522555206784	0.006652534428183139	0	0	19941.0	116175.59385530633	CDK1
Loss of Nlp from mitotic centrosomes Homo sapiens R-HSA-380259	1/69	0.0034499471238370336	0.006652534428183139	0	0	19931.0	112996.73913976821	CDK1
Loss of proteins required for interphase microtubule organization?from the centrosome Homo sapiens R-HSA-380284	1/69	0.0034499471238370336	0.006652534428183139	0	0	19931.0	112996.73913976821	CDK1
Cdc20:Phospho-APC/C mediated degradation of Cyclin A Homo sapiens R-HSA-174184	1/71	0.0035499461386618763	0.006652534428183139	0	0	19929.0	112415.9585341616	CDK1
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint Homo sapiens R-HSA-179419	1/72	0.0035999456502131206	0.006652534428183139	0	0	19928.0	112131.59838572377	CDK1
AURKA Activation by TPX2 Homo sapiens R-HSA-8854518	1/72	0.0035999456502131206	0.006652534428183139	0	0	19928.0	112131.59838572377	CDK1
APC/C:Cdc20 mediated degradation of mitotic proteins Homo sapiens R-HSA-176409	1/74	0.0036999446830449922	0.006652534428183139	0	0	19926.0	111574.38983110404	CDK1
