Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Melaka orthoreovirus sigma C	1/46	0.0022999595269283277	0.03176607559042641	0	0	19954.0	121217.83133114419	CDK1
Variola virus hypothetical protein (gene: B12R)	1/50	0.002499957206903733	0.03176607559042641	0	0	19950.0	119530.05920663517	CDK1
Human betaherpesvirus 6 U45 (gene: U45)	1/52	0.0025999560757154674	0.03176607559042641	0	0	19948.0	118735.69700320113	CDK1
Human betaherpesvirus 6A deoxyuridine triphosphatase (gene: U45)	1/52	0.0025999560757154674	0.03176607559042641	0	0	19948.0	118735.69700320113	CDK1
Human betaherpesvirus 6B putative dUTPase (gene: U45)	1/53	0.0026499555173137906	0.03176607559042641	0	0	19947.0	118349.78824235698	CDK1
Human papillomavirus 17 early protein (gene: E1)	1/73	0.0036499451652557326	0.03176607559042641	0	0	19927.0	111851.11054552946	CDK1
Vaccinia virus Ankara serine/threonine-protein kinase-like	1/82	0.004099940929819	0.03176607559042641	0	0	19918.0	109484.9180722932	CDK1
Monkeypox virus Zaire-96-I-16 B11R (gene: B11R)	1/118	0.005899925880887175	0.03176607559042641	0	0	19882.0	102050.63758631349	CDK1
Yaba-like disease virus 142R protein (gene: 142R)	1/127	0.006349922496224762	0.03176607559042641	0	0	19873.0	100543.72072014233	CDK1
Vaccinia virus Ankara 78.7k Ankyrin repeat protein f3	1/131	0.006549921031660341	0.03176607559042641	0	0	19869.0	99907.33811343512	CDK1
Horsepox virus HSPV189 (Serine/threonine protein kinase)	1/139	0.006949918172816034	0.03176607559042641	0	0	19861.0	98689.81333375497	CDK1
Orf virus ORF130 putative serine/threonine protein kinase	1/160	0.007999911068844165	0.03176607559042641	0	0	19840.0	95793.96509856998	CDK1
Variola virus hypothetical protein (gene: B1R)	1/161	0.008049910744704642	0.03176607559042641	0	0	19839.0	95665.52832623763	CDK1
Vaccinia virus ser/thr protein kinase-like protein (gene: B12R)	1/167	0.0083499088182494	0.03176607559042641	0	0	19833.0	94910.91392473764	CDK1
Monkeypox virus Zaire-96-I-16 B3R (gene: B3R)	1/181	0.009049904470786355	0.03176607559042641	0	0	19819.0	93248.41634586031	CDK1
Vaccinia virus ser/thr kinase (gene: B1R)	1/193	0.009649900897259636	0.03176607559042641	0	0	19807.0	91920.47679471427	CDK1
Vaccinia virus Ankara Serine/threonine-protein kinase	1/193	0.009649900897259636	0.03176607559042641	0	0	19807.0	91920.47679471427	CDK1
Horsepox virus HSPV179 (Serine/Threonine protein kinase, Vaccinia Related Kinase)	1/197	0.009849899736522881	0.03176607559042641	0	0	19803.0	91495.68213909514	CDK1
Vaccinia virus Ankara CP77 host range protein f3	1/225	0.011249891979033914	0.03176607559042641	0	0	19775.0	88738.27077557483	CDK1
Cowpox virus CPXV041 protein (gene: CPXV041 CDS)	1/241	0.012049887812373218	0.03176607559042641	0	0	19759.0	87309.09190235325	CDK1
Horsepox virus HSPV011b (ankyrin repeats)	1/247	0.012349886296407516	0.03176607559042641	0	0	19753.0	86796.82367397148	CDK1
Horsepox virus HSPV035 (ankyrin repeats)	1/250	0.01249988554691829	0.03176607559042641	0	0	19750.0	86545.20687150615	CDK1
Monkeypox virus Zaire-96-I-16 Ser/Thr kinase (gene: C16L)	1/250	0.01249988554691829	0.03176607559042641	0	0	19750.0	86545.20687150615	CDK1
Vaccinia virus ankyrin-like protein (gene: K1L)	1/252	0.012599885050373533	0.03176607559042641	0	0	19748.0	86379.0867288617	CDK1
Vaccinia virus Ankara CP77 host range protein f2	1/255	0.012749884310693061	0.03176607559042641	0	0	19745.0	86132.29218612205	CDK1
Vaccinia virus Ankara Host range protein	1/259	0.012949883332197818	0.03176607559042641	0	0	19741.0	85807.58285798409	CDK1
Molluscum contagiosum virus subtype 1 MC017L (gene: MC017L)	1/260	0.01299988308912259	0.03176607559042641	0	0	19740.0	85727.16641628569	CDK1
Cowpox virus CPXV206 protein (gene: CPXV206 CDS)	1/271	0.013549880458238952	0.03176607559042641	0	0	19729.0	84861.87776218598	CDK1
Cowpox virus CPXV194 protein (gene: CPXV194 CDS)	1/276	0.01379987928420428	0.03176607559042641	0	0	19724.0	84479.77434768483	CDK1
Cowpox virus CPXV011 protein (gene: CPXV011 CDS)	1/279	0.013949878586794216	0.03176607559042641	0	0	19721.0	84253.72211586089	CDK1
Horsepox virus HSPV020b (ankyrin repeats)	1/285	0.014249877208842734	0.03176607559042641	0	0	19715.0	83808.60279262844	CDK1
Vaccinia virus Ankara CP77 host range protein f4	1/306	0.01529987253329565	0.03176607559042641	0	0	19694.0	82319.16293628863	CDK1
Horsepox virus HSPV011a	1/307	0.015349872317254534	0.03176607559042641	0	0	19693.0	82250.73148776902	CDK1
Horsepox virus HSPV014b (ankyrin repeats)	1/314	0.015699870812481937	0.03176607559042641	0	0	19686.0	81777.66762563915	CDK1
Vaccinia virus Ankara CP77 Host range protein f1	1/316	0.01579987038598433	0.03176607559042641	0	0	19684.0	81644.38072863265	CDK1
Yaba-like disease virus 146R protein (gene: 146R)	1/320	0.015999869539880668	0.03176607559042641	0	0	19680.0	81380.23830329055	CDK1
Cowpox virus VHR1 or CPXV025 protein (gene: VHR1)	1/328	0.01639986787212697	0.03176607559042641	0	0	19672.0	80861.4019189913	CDK1
Vaccinia virus Ankara 72.4k ankyrin repeat protein f1	1/331	0.016549867254174438	0.03176607559042641	0	0	19669.0	80669.98810917392	CDK1
Human gammaherpesvirus 8 ORF72	1/337	0.01684986602837211	0.03176607559042641	0	0	19663.0	80292.14142395736	CDK1
Cowpox virus CPXV017 protein (gene: CPXV017 CDS)	1/341	0.0170498652201941	0.03176607559042641	0	0	19659.0	80043.83957888828	CDK1
Monkeypox virus Zaire-96-I-16 B17R (gene: B17R)	1/343	0.017149864818840645	0.03176607559042641	0	0	19657.0	79920.74236291613	CDK1
Horsepox virus HSPV194 (ankyrin repeats)	1/348	0.01739986382221608	0.03176607559042641	0	0	19652.0	79616.00805314661	CDK1
Horsepox virus HSPV005b (ankyrin repeats)	1/352	0.017599863033521995	0.03176607559042641	0	0	19648.0	79375.25099906886	CDK1
Monkeypox virus Zaire-96-I-16 ankyrin-like protein (gene: D9L)	1/355	0.017749862448138753	0.03176607559042641	0	0	19645.0	79196.41123289302	CDK1
Cowpox virus CPXV019 protein (gene: CPXV019 CDS)	1/356	0.01779986224969608	0.03176607559042641	0	0	19644.0	79137.12222636696	CDK1
Cowpox virus CPXV196 protein (gene: CPXV196 CDS)	1/356	0.01779986224969608	0.03176607559042641	0	0	19644.0	79137.12222636696	CDK1
Monkeypox virus Zaire-96-I-16 ankyrin-like protein (gene: D1L)	1/356	0.01779986224969608	0.03176607559042641	0	0	19644.0	79137.12222636696	CDK1
Yaba monkey tumor virus 142R	1/357	0.01784986205686075	0.03176607559042641	0	0	19643.0	79077.9938328327	CDK1
Variola virus hypothetical protein (gene: B19R)	1/371	0.01854985937308411	0.03176607559042641	0	0	19629.0	78266.57568915238	CDK1
Cowpox virus CPXV008 protein (gene: CPXV008 CDS)	1/372	0.018599859183613086	0.03176607559042641	0	0	19628.0	78209.75370921037	CDK1
Vaccinia virus Ankara 67.9k ankyrin repeat protein	1/372	0.018599859183613086	0.03176607559042641	0	0	19628.0	78209.75370921037	CDK1
Cercopithecine alphaherpesvirus 2 tegument serine/threonine protein kinase (gene: UL13)	1/377	0.018849858246725755	0.03176607559042641	0	0	19623.0	77927.83649696548	CDK1
Horsepox virus HSPV014c (ankyrin repeats)	1/381	0.019049857503028067	0.03176607559042641	0	0	19619.0	77704.88810632512	CDK1
Cowpox virus CPXV057 protein (gene: CPXV057 CDS)	1/387	0.01934985639963889	0.03176607559042641	0	0	19613.0	77374.66341617669	CDK1
Vaccinia virus ankyrin-like protein (gene: B18R)	1/389	0.01944985603126183	0.03176607559042641	0	0	19611.0	77265.68504608073	CDK1
Vaccinia virus Ankara 72.4k ankyrin repeat protein f2	1/389	0.01944985603126183	0.03176607559042641	0	0	19611.0	77265.68504608073	CDK1
Cowpox virus CPXV211 protein (gene: CPXV211 CDS)	1/391	0.01954985566989739	0.03176607559042641	0	0	19609.0	77157.24564013911	CDK1
Horsepox virus HSPV033b (Ankyrin repeats)	1/394	0.019699855126716473	0.03176607559042641	0	0	19606.0	76995.5852098682	CDK1
Horsepox virus HSPV033c (ankyrin repeats)	1/396	0.019799854768399648	0.03176607559042641	0	0	19604.0	76888.46957696698	CDK1
Variola virus hypothetical protein (gene: J9R)	1/398	0.01989985440856039	0.03176607559042641	0	0	19602.0	76781.87420897835	CDK1
Variola virus hypothetical protein (gene: G3R)	1/399	0.01994985422838285	0.03176607559042641	0	0	19601.0	76728.7700068529	CDK1
Variola virus hypothetical protein (gene: D6L)	1/399	0.01994985422838285	0.03176607559042641	0	0	19601.0	76728.7700068529	CDK1
Vaccinia virus Ankara 54.4k ankyrin repeat protein f1	1/401	0.0200498538712941	0.03176607559042641	0	0	19599.0	76622.94537061571	CDK1
Horsepox virus HSPV201a (ankyrin repeats)	1/403	0.02014985351724219	0.03176607559042641	0	0	19597.0	76517.62822575947	CDK1
Human herpesvirus 4 type 2 BGLF4	1/404	0.020199853339566032	0.03176607559042641	0	0	19596.0	76465.15840662955	CDK1
Vaccinia virus ankyrin-like protein	1/404	0.020199853339566032	0.03176607559042641	0	0	19596.0	76465.15840662955	CDK1
Human gammaherpesvirus 4 BGLF4 protein (gene: BGLF4)	1/404	0.020199853339566032	0.03176607559042641	0	0	19596.0	76465.15840662955	CDK1
Yaba-like disease virus 147R protein (gene: 147R)	1/406	0.02029985298515339	0.03176607559042641	0	0	19594.0	76360.59319758686	CDK1
Variola virus ankyin-like protein (gene: O1L)	1/408	0.02039985263464498	0.03176607559042641	0	0	19592.0	76256.52317740383	CDK1
Horsepox virus HSPV005c (Ankyrin repeats)	1/413	0.020649851758709023	0.03176607559042641	0	0	19587.0	75998.4832989765	CDK1
