Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PPAR-alpha pathway WP2878	1/26	0.0012999726251831402	0.006089914138598121	0	0	19974.0	132735.46073187632	CDK1
ATM Signaling Pathway WP2516	1/40	0.001999963168059245	0.006089914138598121	0	0	19960.0	124043.94523066044	CDK1
Integrated Cancer Pathway WP1971	1/44	0.002199960717942337	0.006089914138598121	0	0	19956.0	122117.06559109333	CDK1
ATM Signaling Network in Development and Disease  WP3878	1/45	0.002249960119709436	0.006089914138598121	0	0	19955.0	121662.49782449215	CDK1
Regulation of Microtubule Cytoskeleton WP2038	1/46	0.0022999595269283277	0.006089914138598121	0	0	19954.0	121217.83133114419	CDK1
G1 to S cell cycle control WP45	1/64	0.003199949645554796	0.006089914138598121	0	0	19936.0	114524.7484081637	CDK1
DNA damage response WP707	1/68	0.0033999476216189342	0.006089914138598121	0	0	19932.0	113293.39338050145	CDK1
miRNA regulation of DNA damage response WP1530	1/71	0.0035499461386618763	0.006089914138598121	0	0	19929.0	112415.9585341616	CDK1
DNA IR-damage and cellular response via ATR WP4016	1/80	0.0039999418516560555	0.006089914138598121	0	0	19920.0	109987.79106467364	CDK1
Retinoblastoma gene in cancer WP2446	1/87	0.00434993867042723	0.006089914138598121	0	0	19913.0	108278.80001731808	CDK1
Spinal Cord Injury WP2431	1/118	0.005899925880887175	0.00699991263776683	0	0	19882.0	102050.63758631349	CDK1
Cell cycle WP179	1/120	0.005999925118085854	0.00699991263776683	0	0	19880.0	101706.24480820159	CDK1
TGF-beta Signaling Pathway WP366	1/132	0.006599920669899381	0.007107606875276257	0	0	19868.0	99751.22090491928	CDK1
Nuclear Receptors Meta-Pathway WP2882	1/319	0.015949869750681873	0.015949869750681873	0	0	19681.0	81445.97314525387	CDK1
