Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PRKDC knockdown 96h MCF7	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
PRPF4B knockdown 96h MCF7	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
CHEK1 knockdown 96h A549	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
NR3C1 knockdown 96h HT29	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
CHEK2 knockdown 96h A549	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
PTGFR knockdown 96h MCF7	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
PTK2 knockdown 96h MCF7	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
SNRK knockdown 96h PC3	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
SRC knockdown 96h PC3	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
ADRB2 knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
RAF1 knockdown 96h MCF7	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
CSK knockdown 96h A549	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
NUAK1 knockdown 96h HT29	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
CSNK1D knockdown 96h A549	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
CSNK1E knockdown 96h A549	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
RIOK2 knockdown 96h MCF7	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
ARAF knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
ATM knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
ATR knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
OXSR1 knockdown 96h HT29	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
RORC knockdown 96h MCF7	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
GPBAR1 knockdown 96h HA1E	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
DDR1 knockdown 96h A549	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
BTK knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
MASTL knockdown 96h HEPG2	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
EGFR knockdown 96h A549	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
EIF2AK3 knockdown 96h A549	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
MERTK knockdown 96h HEPG2	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
PBK knockdown 96h HT29	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
TESK1 knockdown 96h PC3	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
CAMK2D knockdown 96h A375	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
GPR115 knockdown 96h HA1E	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
EPHB4 knockdown 96h A549	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
TRIB1 knockdown 96h PC3	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
SCYL3 knockdown 96h MCF7	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
ESR1 knockdown 96h A549	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
MRGPRX4 knockdown 96h HEPG2	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
SGK3 knockdown 96h MCF7	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
TTK knockdown 96h PC3	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
NEK6 knockdown 96h HEPG2	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
SRC knockdown 96h MCF7	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
STK16 knockdown 96h MCF7	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
FYN knockdown 96h A549	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
VRK3 knockdown 96h PC3	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
KISS1R knockdown 96h HCC515	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	CHAF1B
