Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BL2844 (MED12)	1/101	0.005049932654680363	0.0195720495507896	0	0	19899.0	105233.48101229242	CHAF1B
BL1760 (CTBP1)	1/144	0.007199916431853661	0.0195720495507896	0	0	19856.0	97963.26643049065	CHAF1B
BL443 (EP300)	1/179	0.008949905080056155	0.0195720495507896	0	0	19821.0	93478.0629355712	CHAF1B
BL4650 (KIF22)	1/201	0.010049898587798992	0.0195720495507896	0	0	19799.0	91079.21596609055	CHAF1B
BL1476 (PNKP)	1/203	0.010149898020491144	0.0195720495507896	0	0	19797.0	90874.00321672155	CHAF1B
BL1012 (ZHX1)	1/221	0.01104989304922977	0.0195720495507896	0	0	19779.0	89111.0116662582	CHAF1B
SC-28236 (BAP1)	1/225	0.011249891979033914	0.0195720495507896	0	0	19775.0	88738.27077557483	CHAF1B
BL2593 (RPL7A)	1/251	0.012549885297699227	0.0195720495507896	0	0	19749.0	86461.98607941243	CHAF1B
BL4588 (CHAF1B)	1/271	0.013549880458238952	0.0195720495507896	0	0	19729.0	84861.87776218598	CHAF1B
BL2986 (RBBP4)	1/388	0.019399856216759877	0.02421233320096607	0	0	19612.0	77320.10651466521	CHAF1B
BL2291 (BTBD12)	1/435	0.02174984801377362	0.02421233320096607	0	0	19565.0	74897.72558532194	CHAF1B
BL117 (ATR)	1/447	0.02234984603166099	0.02421233320096607	0	0	19553.0	74319.69861463128	CHAF1B
BL1739 (CARM1)	1/636	0.03179981969528517	0.03179981969528517	0	0	19364.0	66772.77778020014	CHAF1B
