Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
down 5nM dasatinib vs ctrl K562 (Human) [19651622]	1/352	0.017599863033521995	0.07211894201552826	0	0	19648.0	79375.25099906886	CHAF1B
down 50nM dasatinib vs ctrl K562 (Human) [19651622]	1/451	0.02254984538146041	0.07211894201552826	0	0	19549.0	74130.33718663939	CHAF1B
down 30min BMP4 vs ctrl hESC (Human) [19664995]	1/488	0.024399839582054564	0.07211894201552826	0	0	19512.0	72451.54320826032	CHAF1B
down 60min BMP4 vs ctrl hESC (Human) [19664995]	1/561	0.028049829173667787	0.07211894201552826	0	0	19439.0	69470.56823643432	CHAF1B
down 240min BMP4 vs ctrl hESC (Human) [19664995]	1/610	0.030499822857083657	0.07211894201552826	0	0	19390.0	67671.76708095858	CHAF1B
up 1min EGF vs ctrl HeLa (Human) [17081983]	1/787	0.039349803606123376	0.07211894201552826	0	0	19213.0	62159.13290139184	CHAF1B
up Rapamycin vs Ctrl Exp2 MEFs (Mouse) [21659605]	1/844	0.04219979838186749	0.07211894201552826	0	0	19156.0	60635.2498913752	CHAF1B
up 0min EGF vs ctrl HeLa (Human) [17081983]	1/876	0.04379979563336754	0.07211894201552826	0	0	19124.0	59822.284062605904	CHAF1B
up 20min EGF vs ctrl HeLa (Human) [17081983]	1/948	0.0473997898657303	0.07211894201552826	0	0	19052.0	58092.167335706275	CHAF1B
down M-phase HeLa (Human) [18669648]	1/1001	0.050049785957278506	0.07211894201552826	0	0	18999.0	56897.00920930037	CHAF1B
up 10min PPase inhibitors vs ctrl Hepa1-6 (Mouse) [18846507]	1/1098	0.05489977949699085	0.07211894201552826	0	0	18902.0	54858.25288873802	CHAF1B
down 10min EGF vs ctrl HeLa (Human) [17081983]	1/1102	0.05509977924703936	0.07211894201552826	0	0	18898.0	54777.92363944296	CHAF1B
down 20min EGF vs ctrl HeLa (Human) [17081983]	1/1103	0.05514977918834515	0.07211894201552826	0	0	18897.0	54757.88484411621	CHAF1B
down 1min EGF vs ctrl HeLa (Human) [17081983]	1/1209	0.06044977305799412	0.07340329585613571	0	0	18791.0	52726.46469329989	CHAF1B
down G1-phase HeLa (Human) [18669648]	1/1439	0.07194976237237485	0.08154306402202484	0	0	18561.0	48848.60126017953	CHAF1B
up G1-phase HeLa (Human) [18669648]	1/1554	0.07769975815845695	0.0825559930433605	0	0	18446.0	47127.743211924964	CHAF1B
up M-phase HeLa (Human) [18669648]	1/2252	0.11259974390922778	0.11259974390922778	0	0	17748.0	38760.13828607828	CHAF1B
