Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CDK1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	TOP2A
PBK human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	TOP2A
BUB1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	TOP2A
BUB1B human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	TOP2A
PLK4 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	TOP2A
WEE1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	TOP2A
MELK human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	TOP2A
AURKA human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	TOP2A
AURKB human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	TOP2A
TGFBR1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	TOP2A
TTK human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	TOP2A
PLK1 human kinase ARCHS4 coexpression	1/299	0.014949874067051446	0.014949874067051446	0	0	19701.0	82804.33538735632	TOP2A
