Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SYK druginhibition 289 GSE43510	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	TOP2A
JAK1 druginhibition 165 GSE38335	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	TOP2A
JAK2 druginhibition 167 GSE38335	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	TOP2A
JAK1 druginhibition 166 GSE38335	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	TOP2A
GSK3A knockdown 201 GDS4305	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	TOP2A
JAK2 druginhibition 168 GSE38335	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	TOP2A
MAP2K1 druginhibition 172 GSE39984	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	TOP2A
SYK druginhibition 281 GSE43510	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	TOP2A
TGFBR2 knockout 293 GSE46211	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	TOP2A
EGFR drugactivation 30 GDS4361	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	TOP2A
SYK druginhibition 288 GSE43510	1/300	0.014999873846650823	0.014999873846650823	0	0	19700.0	82734.35571632985	TOP2A
