Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SC-7300 (CREBBP)	1/10	4.999862257578379E-4	0.014418168577227672	0	0	19990.0	151942.5908680334	TOP2A
BL940 (POLR2B)	1/12	5.999842544083076E-4	0.014418168577227672	0	0	19988.0	148283.11962915692	TOP2A
BL4520 (SMARCA1)	1/16	7.999806025552998E-4	0.014418168577227672	0	0	19984.0	142504.36677868527	TOP2A
SC-7230 (ATM)	1/17	8.499797390404818E-4	0.014418168577227672	0	0	19983.0	141285.76583697114	TOP2A
BL3029 (HIST4H4)	1/17	8.499797390404818E-4	0.014418168577227672	0	0	19983.0	141285.76583697114	TOP2A
BL6579 (SOX2)	1/18	8.999788927950273E-4	0.014418168577227672	0	0	19982.0	140136.54844084635	TOP2A
BL7304 (TRIM25)	1/18	8.999788927950273E-4	0.014418168577227672	0	0	19982.0	140136.54844084635	TOP2A
SC-242 (ATF2)	1/19	9.4997806231055E-4	0.014418168577227672	0	0	19981.0	139049.2109571672	TOP2A
BL6193 (CASP8AP2)	1/19	9.4997806231055E-4	0.014418168577227672	0	0	19981.0	139049.2109571672	TOP2A
BL5978 (ZFP106)	1/23	0.0011499748819949903	0.014418168577227672	0	0	19977.0	135204.63922267244	TOP2A
BL3015 (DDX18)	1/24	0.0011999741185782279	0.014418168577227672	0	0	19976.0	134347.69487847842	TOP2A
BL8669 (MLLT6)	1/25	0.001249973366379199	0.014418168577227672	0	0	19975.0	133525.54486996148	TOP2A
BL3591 (HIST1H3A)	1/27	0.0013499718942362672	0.014418168577227672	0	0	19973.0	131975.02298599784	TOP2A
BL2856 (GNL3)	1/28	0.0013999711732997815	0.014418168577227672	0	0	19972.0	131242.0761597353	TOP2A
BL5752 (FKBP5)	1/28	0.0013999711732997815	0.014418168577227672	0	0	19972.0	131242.0761597353	TOP2A
BL8037 (SKP2)	1/29	0.0014499704617910874	0.014418168577227672	0	0	19971.0	130534.69172799007	TOP2A
EPI-1006-1 (CASP8)	1/30	0.0014999697593334861	0.014418168577227672	0	0	19970.0	129851.13732048514	TOP2A
BL625 (PUM2)	1/30	0.0014999697593334861	0.014418168577227672	0	0	19970.0	129851.13732048514	TOP2A
BL5445 (GTF2IRD1)	1/30	0.0014999697593334861	0.014418168577227672	0	0	19970.0	129851.13732048514	TOP2A
BL7222 (GCN1L1)	1/30	0.0014999697593334861	0.014418168577227672	0	0	19970.0	129851.13732048514	TOP2A
BL896 (EIF4G1)	1/30	0.0014999697593334861	0.014418168577227672	0	0	19970.0	129851.13732048514	TOP2A
BL6854 (NCBP2)	1/31	0.0015499690656704042	0.014418168577227672	0	0	19969.0	129189.85098816035	TOP2A
BL2417 (UBAP2L)	1/31	0.0015499690656704042	0.014418168577227672	0	0	19969.0	129189.85098816035	TOP2A
BL2391 (CUL4A)	1/31	0.0015499690656704042	0.014418168577227672	0	0	19969.0	129189.85098816035	TOP2A
BL9197 (BRCC3)	1/31	0.0015499690656704042	0.014418168577227672	0	0	19969.0	129189.85098816035	TOP2A
BL4374 (PAPOLA)	1/31	0.0015499690656704042	0.014418168577227672	0	0	19969.0	129189.85098816035	TOP2A
BL4148 (USP36)	1/31	0.0015499690656704042	0.014418168577227672	0	0	19969.0	129189.85098816035	TOP2A
BL9124 (ELL2)	1/31	0.0015499690656704042	0.014418168577227672	0	0	19969.0	129189.85098816035	TOP2A
BL2606 (PPARGC1B)	1/31	0.0015499690656704042	0.014418168577227672	0	0	19969.0	129189.85098816035	TOP2A
BL4907 (SUB1)	1/33	0.001649967703211374	0.014418168577227672	0	0	19967.0	127928.56031580272	TOP2A
MTMR3 (MTMR3)	1/33	0.001649967703211374	0.014418168577227672	0	0	19967.0	127928.56031580272	TOP2A
BL8125 (EPHA2)	1/33	0.001649967703211374	0.014418168577227672	0	0	19967.0	127928.56031580272	TOP2A
BL1581 (E4F1)	1/33	0.001649967703211374	0.014418168577227672	0	0	19967.0	127928.56031580272	TOP2A
BL444 (NRIP1)	1/33	0.001649967703211374	0.014418168577227672	0	0	19967.0	127928.56031580272	TOP2A
