Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
XPO1	1/124	0.006199923609750122	0.022319781766171345	0	0	19876.0	101034.04709010695	TOP2A
TOP1	1/136	0.00679991923461567	0.022319781766171345	0	0	19864.0	99138.13602465816	TOP2A
PARP1	1/140	0.006999917822024454	0.022319781766171345	0	0	19860.0	98542.47743237163	TOP2A
NPM1	1/144	0.007199916431853661	0.022319781766171345	0	0	19856.0	97963.26643049065	TOP2A
PIN1	1/145	0.0072499160871101805	0.022319781766171345	0	0	19855.0	97820.92670675043	TOP2A
SUMO2	1/162	0.008099910420261848	0.022319781766171345	0	0	19838.0	95537.86936302872	TOP2A
PLK1	1/166	0.008299909136373285	0.022319781766171345	0	0	19834.0	95034.82345515197	TOP2A
H2AFX	1/172	0.008599907242820785	0.022319781766171345	0	0	19828.0	94302.04456580919	TOP2A
RPL7A	1/193	0.009649900897259636	0.022319781766171345	0	0	19807.0	91920.47679471427	TOP2A
SUMO1	1/198	0.009899899448881415	0.022319781766171345	0	0	19802.0	91390.79789707912	TOP2A
RB1	1/209	0.010449896334017453	0.022319781766171345	0	0	19791.0	90269.98130305547	TOP2A
JUN	1/211	0.010549895778641065	0.022319781766171345	0	0	19789.0	90072.3900663539	TOP2A
HDAC2	1/214	0.010699894951406781	0.022319781766171345	0	0	19786.0	89779.39753374986	TOP2A
YWHAE	1/215	0.010749894677765881	0.022319781766171345	0	0	19785.0	89682.62168326892	TOP2A
BRCA1	1/216	0.010799894402986133	0.022319781766171345	0	0	19784.0	89586.28316078232	TOP2A
ARRB1	1/263	0.013149882364806324	0.024377081401066408	0	0	19737.0	85487.70625224095	TOP2A
CSNK2A2	1/289	0.01444987630005777	0.024377081401066408	0	0	19711.0	83516.87543637157	TOP2A
PRKDC	1/296	0.014799874732696224	0.024377081401066408	0	0	19704.0	83015.64282267053	TOP2A
MAPK3	1/326	0.016299868286559785	0.024377081401066408	0	0	19674.0	80989.95400554378	TOP2A
CTNNB1	1/337	0.01684986602837211	0.024377081401066408	0	0	19663.0	80292.14142395736	TOP2A
PRKCB	1/338	0.016899865826559616	0.024377081401066408	0	0	19662.0	80229.79996326564	TOP2A
HDAC1	1/346	0.017299864220111642	0.024377081401066408	0	0	19654.0	79737.39092853732	TOP2A
MAPK1	1/406	0.02029985298515339	0.02736067141477196	0	0	19594.0	76360.59319758686	TOP2A
MYC	1/498	0.02489983808063008	0.031123798481752053	0	0	19502.0	72018.81836516854	TOP2A
TP53	1/502	0.025099837485283914	0.031123798481752053	0	0	19498.0	71848.06140951214	TOP2A
UBC	1/540	0.026999832038189772	0.03122123899823691	0	0	19460.0	70288.0533738442	TOP2A
PRKCA	1/547	0.027349831071811954	0.03122123899823691	0	0	19453.0	70012.22095844547	TOP2A
CSNK2A1	1/564	0.02819982877260108	0.03122123899823691	0	0	19436.0	69356.1876526578	TOP2A
ESR1	1/591	0.029549825248565365	0.03158774423122504	0	0	19409.0	68352.23760573211	TOP2A
CDK1	1/659	0.032949817004723575	0.03404814423821437	0	0	19341.0	66006.37628770388	TOP2A
GSK3B	1/696	0.034799812869297196	0.034799812869297196	0	0	19304.0	64825.59767510774	TOP2A
