Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
up metaphase anaphase telophase 60min noscapine release vs ctrl HeLa (Human) [19691289]	1/229	0.011449890919180231	0.056621901471227705	0	0	19771.0	88371.92302238473	TOP2A
up metaphase anaphase telophase 15min noscapine release vs ctrl HeLa (Human) [19691289]	1/359	0.017949861668733882	0.056621901471227705	0	0	19641.0	78960.21535056616	TOP2A
down metaphase anaphase telophase 15min noscapine release vs ctrl HeLa (Human) [19691289]	1/429	0.021449849020886726	0.056621901471227705	0	0	19571.0	75192.51928431286	TOP2A
down 50nM dasatinib vs ctrl K562 (Human) [19651622]	1/451	0.02254984538146041	0.056621901471227705	0	0	19549.0	74130.33718663939	TOP2A
down 30min BMP4 vs ctrl hESC (Human) [19664995]	1/488	0.024399839582054564	0.056621901471227705	0	0	19512.0	72451.54320826032	TOP2A
down metaphase anaphase telophase 60min noscapine release vs ctrl HeLa (Human) [19691289]	1/517	0.025849835294077868	0.056621901471227705	0	0	19483.0	71219.15280033876	TOP2A
down 60min BMP4 vs ctrl hESC (Human) [19664995]	1/561	0.028049829173667787	0.056621901471227705	0	0	19439.0	69470.56823643432	TOP2A
down 240min BMP4 vs ctrl hESC (Human) [19664995]	1/610	0.030499822857083657	0.056621901471227705	0	0	19390.0	67671.76708095858	TOP2A
down Rapamycin vs Ctrl Exp1 MEFs (Mouse) [21659605]	1/637	0.03184981957756559	0.056621901471227705	0	0	19363.0	66738.9083258675	TOP2A
up Rapamycin vs Ctrl Exp1 MEFs (Mouse) [21659605]	1/837	0.0418497990035271	0.06138152491907999	0	0	19163.0	60817.005342413635	TOP2A
up Rapamycin vs Ctrl Exp2 MEFs (Mouse) [21659605]	1/844	0.04219979838186749	0.06138152491907999	0	0	19156.0	60635.2498913752	TOP2A
down 10min PPase inhibitors vs ctrl Hepa1-6 (Mouse) [18846507]	1/958	0.047899789106063746	0.06386638547475165	0	0	19042.0	57861.862425500934	TOP2A
up 10min PPase inhibitors vs ctrl Hepa1-6 (Mouse) [18846507]	1/1098	0.05489977949699085	0.06756895938091181	0	0	18902.0	54858.25288873802	TOP2A
down G1-phase HeLa (Human) [18669648]	1/1439	0.07194976237237485	0.08222829985414269	0	0	18561.0	48848.60126017953	TOP2A
up G1-phase HeLa (Human) [18669648]	1/1554	0.07769975815845695	0.08287974203568742	0	0	18446.0	47127.743211924964	TOP2A
up M-phase HeLa (Human) [18669648]	1/2252	0.11259974390922778	0.11259974390922778	0	0	17748.0	38760.13828607828	TOP2A
