Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ACVR1 human kinase ARCHS4 coexpression	18/299	5.4146916112556E-18	1.7218719323792808E-15	0	0	25.175658362989324	1000.9191162138998	CDKN1A;SPARC;ZNF185;ITGB5;TGFB1I1;ILK;LRRC32;LTBP1;GNG11;ELK3;SMPD1;ADAM9;EMILIN1;ITGA5;TGFBI;TNS3;MYL9;LIMS1
GRK5 human kinase ARCHS4 coexpression	17/299	1.3360489832768043E-16	2.1243178834101187E-14	0	0	23.22695035460993	848.9832379720973	ZNF185;TGFB1;TGFB1I1;ILK;TMEM40;LRRC32;FAM214B;NID1;LTBP1;GNG11;STX11;PECAM1;EMILIN1;ITGA5;MYL9;PAG1;LIMS1
ILK human kinase ARCHS4 coexpression	14/299	1.2280522714449208E-12	1.301735407731616E-10	0	0	17.87251461988304	490.16428898869634	SPARC;ZNF185;ITGB5;TGFB1I1;TMEM40;LRRC32;LTBP1;GNG11;ELK3;CA2;ADAM9;ITGA5;MYL9;LIMS1
MYLK human kinase ARCHS4 coexpression	13/299	2.1587271376003757E-11	1.7161880743922986E-9	0	0	16.236363636363638	398.747511198815	PDGFRA;ABCC4;SPARC;ITGB5;TGFB1I1;ILK;LRRC32;NID1;LTBP1;ADAM9;EMILIN1;ITGA5;TNS3
LATS2 human kinase ARCHS4 coexpression	12/299	3.4513272388976983E-10	1.371902577461835E-8	0	0	14.667745146839223	319.56751391409296	SPARC;ITGB5;AP1S2;PECAM1;ADAM9;EMILIN1;ITGA5;LRRC32;NID1;TNS3;MYL9;LTBP1
NEK7 human kinase ARCHS4 coexpression	12/299	3.4513272388976983E-10	1.371902577461835E-8	0	0	14.667745146839223	319.56751391409296	MBNL1;SPARC;ITGB5;TGFB1I1;ADAM9;NEXN;EMILIN1;ITGA5;TGFBI;DKK1;MYL9;LTBP1
DDR2 human kinase ARCHS4 coexpression	12/299	3.4513272388976983E-10	1.371902577461835E-8	0	0	14.667745146839223	319.56751391409296	PDGFRA;SPARC;ITGB5;TGFB1I1;ADAM9;EMILIN1;ITGA5;LRRC32;NID1;TNS3;MYL9;LTBP1
PDGFRB human kinase ARCHS4 coexpression	12/299	3.4513272388976983E-10	1.371902577461835E-8	0	0	14.667745146839223	319.56751391409296	PDGFRA;SPARC;ITGB5;TGFB1I1;SMPD1;EMILIN1;ITGA5;LRRC32;NID1;TNS3;MYL9;LTBP1
RPS6KA2 human kinase ARCHS4 coexpression	11/299	4.991610673701769E-9	1.4430292674883296E-7	0	0	13.163011695906432	251.6176448331518	PDGFRA;SPARC;ITGB5;SMPD1;EMILIN1;ITGA5;LRRC32;NID1;TNS3;MYL9;LTBP1
TGFBR2 human kinase ARCHS4 coexpression	11/299	4.991610673701769E-9	1.4430292674883296E-7	0	0	13.163011695906432	251.6176448331518	MBNL1;TGFB1;ITGB5;PECAM1;ACSL4;FURIN;ITGA5;LRRC32;NID1;TNS3;ELK3
TEK human kinase ARCHS4 coexpression	11/299	4.991610673701769E-9	1.4430292674883296E-7	0	0	13.163011695906432	251.6176448331518	SPARC;SERPINE1;PECAM1;ITGA5;LRRC32;NID1;TFPI;MYL9;LTBP1;GNG11;ELK3
NEK6 human kinase ARCHS4 coexpression	8/299	7.715825222445485E-6	1.6357549471584428E-4	0	0	8.999312714776632	105.94204314582555	CDKN1A;TGFB1;ITGB5;ADAM9;FURIN;TGFBI;TNS3;ICAM1
PDGFRA human kinase ARCHS4 coexpression	8/299	7.715825222445485E-6	1.6357549471584428E-4	0	0	8.999312714776632	105.94204314582555	SPARC;TGFB1I1;ADAM9;EMILIN1;LRRC32;NID1;MYL9;LTBP1
TIE1 human kinase ARCHS4 coexpression	8/299	7.715825222445485E-6	1.6357549471584428E-4	0	0	8.999312714776632	105.94204314582555	HHEX;SERPINE1;PECAM1;ITGA5;LRRC32;NID1;GNG11;ELK3
RIOK3 human kinase ARCHS4 coexpression	8/299	7.715825222445485E-6	1.6357549471584428E-4	0	0	8.999312714776632	105.94204314582555	LYN;MBNL1;ZNF185;CA2;TMEM40;LYST;GNG11;LIMS1
CLK1 human kinase ARCHS4 coexpression	7/299	6.914293726084279E-5	9.161439187061669E-4	0	0	7.718392095216708	73.93706077494822	SRGN;MBNL1;ZEB2;ELMO1;LYST;ARHGAP25;STX11
MAP2K3 human kinase ARCHS4 coexpression	7/299	6.914293726084279E-5	9.161439187061669E-4	0	0	7.718392095216708	73.93706077494822	LYN;TGFB1;COTL1;FURIN;FAM214B;STX11;ICAM1
IRAK3 human kinase ARCHS4 coexpression	7/299	6.914293726084279E-5	9.161439187061669E-4	0	0	7.718392095216708	73.93706077494822	SRGN;LYN;MBNL1;PECAM1;LYST;ARHGAP25;STX11
LRRK2 human kinase ARCHS4 coexpression	7/299	6.914293726084279E-5	9.161439187061669E-4	0	0	7.718392095216708	73.93706077494822	LYN;MBNL1;PECAM1;LYST;ARHGAP25;STX11;SNCA
BMX human kinase ARCHS4 coexpression	7/299	6.914293726084279E-5	9.161439187061669E-4	0	0	7.718392095216708	73.93706077494822	HHEX;SERPINE1;PECAM1;ITGA5;TFPI;GNG11;ELK3
FLT1 human kinase ARCHS4 coexpression	7/299	6.914293726084279E-5	9.161439187061669E-4	0	0	7.718392095216708	73.93706077494822	SERPINE1;PECAM1;ITGA5;LRRC32;NID1;TFPI;GNG11
FLT3 human kinase ARCHS4 coexpression	7/299	6.914293726084279E-5	9.161439187061669E-4	0	0	7.718392095216708	73.93706077494822	SRGN;SOCS2;HHEX;MBNL1;SERPINB1;ELMO1;TSPAN2
KDR human kinase ARCHS4 coexpression	7/299	6.914293726084279E-5	9.161439187061669E-4	0	0	7.718392095216708	73.93706077494822	PECAM1;IGF2BP3;ITGA5;LRRC32;NID1;TFPI;GNG11
ALPK2 human kinase ARCHS4 coexpression	7/299	6.914293726084279E-5	9.161439187061669E-4	0	0	7.718392095216708	73.93706077494822	SPARC;FHL1;TPM1;ADAM9;NEXN;MYL9;LTBP1
DAPK1 human kinase ARCHS4 coexpression	6/299	5.340301410452955E-4	0.004852045281497255	0	0	6.486513266541891	48.87625547592848	LYN;HHEX;ZEB2;FURIN;TNS3;ICAM1
STK17B human kinase ARCHS4 coexpression	6/299	5.340301410452955E-4	0.004852045281497255	0	0	6.486513266541891	48.87625547592848	SRGN;MBNL1;LYST;ARHGAP25;STX11;PAG1
MAP3K3 human kinase ARCHS4 coexpression	6/299	5.340301410452955E-4	0.004852045281497255	0	0	6.486513266541891	48.87625547592848	LYN;TGFB1;COTL1;PECAM1;ARHGAP25;STX11
MAP3K5 human kinase ARCHS4 coexpression	6/299	5.340301410452955E-4	0.004852045281497255	0	0	6.486513266541891	48.87625547592848	LYN;MBNL1;ST3GAL6;LYST;ARHGAP25;STX11
ACVRL1 human kinase ARCHS4 coexpression	6/299	5.340301410452955E-4	0.004852045281497255	0	0	6.486513266541891	48.87625547592848	SERPINE1;PECAM1;ITGA5;LRRC32;NID1;GNG11
RIPK1 human kinase ARCHS4 coexpression	6/299	5.340301410452955E-4	0.004852045281497255	0	0	6.486513266541891	48.87625547592848	LYN;CDKN1A;TGFB1;FURIN;STX11;ICAM1
BTK human kinase ARCHS4 coexpression	6/299	5.340301410452955E-4	0.004852045281497255	0	0	6.486513266541891	48.87625547592848	LYN;HHEX;MBNL1;TGFB1;ARHGAP25;STX11
JAK1 human kinase ARCHS4 coexpression	6/299	5.340301410452955E-4	0.004852045281497255	0	0	6.486513266541891	48.87625547592848	LYN;MBNL1;TGFB1;PECAM1;LYST;ARHGAP25
