Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TGF beta signaling pathway Homo sapiens h tgfbPathway	3/20	4.1113387043807226E-5	0.0014389685465332528	0	0	54.067873303167424	546.0410101028511	SMAD2;TGFB1;CDH1
Cell to Cell Adhesion Signaling Homo sapiens h cell2cellPathway	2/12	7.353984087050349E-4	0.01286947215233811	0	0	60.36969696969697	435.57328910015156	CDH1;PECAM1
Cell Cycle: G1/S Check Point  Homo sapiens h g1Pathway	2/26	0.0035117758263918473	0.04097071797457155	0	0	25.136363636363637	142.0615131867415	CDKN1A;TGFB1
Phospholipids as signalling intermediaries Homo sapiens h edg1Pathway	2/33	0.005618568554412981	0.04916247485111358	0	0	19.453567937438905	100.80213187276532	PDGFRA;SMPD1
Proteolysis and Signaling Pathway of Notch  Homo sapiens h notchpathway	1/6	0.02022973917450602	0.11320610269592626	0	0	59.483582089552236	232.02175076653654	FURIN
Wnt/LRP6 Signalling Homo sapiens h wnt-lrp6Pathway	1/7	0.023561944474411695	0.11320610269592626	0	0	49.56716417910448	185.78379790492124	DKK1
SUMOylation as a mechanism to modulate CtBP-dependent gene responses Homo sapiens h ctbp1Pathway	1/8	0.026882984076400464	0.11320610269592626	0	0	42.48400852878465	153.63329523076956	CDH1
Extrinsic Prothrombin Activation Pathway Homo sapiens h extrinsicPathway	1/13	0.0433219771034119	0.11320610269592626	0	0	24.776119402985074	77.77459794803441	TFPI
p53 Signaling Pathway Homo sapiens h p53Pathway	1/13	0.0433219771034119	0.11320610269592626	0	0	24.776119402985074	77.77459794803441	CDKN1A
Effects of calcineurin in Keratinocyte Differentiation Homo sapiens h calcineurinPathway	1/13	0.0433219771034119	0.11320610269592626	0	0	24.776119402985074	77.77459794803441	CDKN1A
RB Tumor Suppressor/Checkpoint Signaling in response to DNA damage Homo sapiens h rbPathway	1/13	0.0433219771034119	0.11320610269592626	0	0	24.776119402985074	77.77459794803441	CDKN1A
Erythropoietin mediated neuroprotection through NF-kB Homo sapiens h eponfkbPathway	1/13	0.0433219771034119	0.11320610269592626	0	0	24.776119402985074	77.77459794803441	CDKN1A
Platelet Amyloid Precursor Protein Pathway Homo sapiens h plateletAppPathway	1/14	0.046576789586793774	0.11320610269592626	0	0	22.869115958668196	70.13164167770657	SERPINE1
Fibrinolysis Pathway Homo sapiens h fibrinolysisPathway	1/15	0.049820691179205345	0.11320610269592626	0	0	21.23454157782516	63.6892892034775	SERPINE1
PTEN dependent cell cycle arrest and apoptosis Homo sapiens h ptenPathway	1/15	0.049820691179205345	0.11320610269592626	0	0	21.23454157782516	63.6892892034775	ILK
Role of PI3K subunit p85 in regulation of Actin Organization and Cell Migration Homo sapiens h cdc42racPathway	1/16	0.053053717875186444	0.11320610269592626	0	0	19.817910447761193	58.19430975162623	PDGFRA
Downregulated of MTA-3 in ER-negative Breast Tumors Homo sapiens h mta3Pathway	1/20	0.06587779162640937	0.11320610269592626	0	0	15.642576590730558	42.547087131862945	CDH1
Hypoxia and p53 in the Cardiovascular system Homo sapiens h p53hypoxiaPathway	1/21	0.0690569798213239	0.11320610269592626	0	0	14.859701492537313	39.71735668720526	CDKN1A
Phosphoinositides and their downstream targets. Homo sapiens h ptdinsPathway	1/21	0.0690569798213239	0.11320610269592626	0	0	14.859701492537313	39.71735668720526	LYN
Cell Cycle: G2/M Checkpoint Homo sapiens h g2Pathway	1/22	0.07222550672020589	0.11320610269592626	0	0	14.15138592750533	37.18930470253887	CDKN1A
Cyclins and Cell Cycle Regulation Homo sapiens h cellcyclePathway	1/23	0.07538340752257526	0.11320610269592626	0	0	13.507462686567164	34.919061481317286	CDKN1A
CTCF: First Multivalent Nuclear Factor Homo sapiens h ctcfPathway	1/23	0.07538340752257526	0.11320610269592626	0	0	13.507462686567164	34.919061481317286	TGFB1
Segmentation Clock Homo sapiens h hesPathway	1/24	0.07853071734192812	0.11320610269592626	0	0	12.919532770927969	32.870720562250014	DKK1
PDGF Signaling Pathway Homo sapiens h pdgfPathway	1/26	0.08479370378776746	0.11320610269592626	0	0	11.884776119402986	29.326088999262875	PDGFRA
Multi-step Regulation of Transcription by Pitx2 Homo sapiens h pitx2Pathway	1/27	0.08790945005341633	0.11320610269592626	0	0	11.427095292766934	27.784387663217135	DKK1
ALK in cardiac myocytes Homo sapiens h alkPathway	1/27	0.08790945005341633	0.11320610269592626	0	0	11.427095292766934	27.784387663217135	TGFB1
Influence of Ras and Rho proteins on G1 to S Transition Homo sapiens h RacCycDPathway	1/28	0.09101474458249931	0.11320610269592626	0	0	11.003316749585407	26.372020695020453	CDKN1A
Fc Epsilon Receptor I Signaling in Mast Cells Homo sapiens h fcer1Pathway	1/29	0.09410962188270577	0.11320610269592626	0	0	10.609808102345415	25.074106290081968	LYN
NFkB activation by Nontypeable Hemophilus influenzae Homo sapiens h nthiPathway	1/29	0.09410962188270577	0.11320610269592626	0	0	10.609808102345415	25.074106290081968	TGFB1
WNT Signaling Pathway Homo sapiens h wntPathway	1/30	0.09719411637551117	0.11320610269592626	0	0	10.243437982501286	23.87791592101611	DKK1
BCR Signaling Pathway Homo sapiens h bcrPathway	1/31	0.1002682623878204	0.11320610269592626	0	0	9.901492537313432	22.772502698810975	LYN
Ceramide Signaling Pathway Homo sapiens h ceramidePathway	1/33	0.10638564563751896	0.11635929991603636	0	0	9.281716417910447	20.797399230359275	SMPD1
Signal transduction through IL1R Homo sapiens h il1rPathway	1/36	0.11548495817986322	0.118881574596918	0	0	8.484861407249467	18.315549019302413	TGFB1
