Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Response to elevated platelet cytosolic calcium	7/83	1.2946129055050414E-8	5.799865816662585E-6	0	0	29.981018119068164	544.5293124204395	SRGN;ABCC4;SPARC;TGFB1;SERPINE1;PECAM1;CLU
Platelet activation, signaling and aggregation	9/205	3.06034187292435E-8	6.855165795350544E-6	0	0	15.36008301625735	265.76252350581797	SRGN;LYN;ABCC4;SPARC;TGFB1;SERPINE1;PECAM1;CLU;GNG11
BDNF signaling pathway	9/261	2.4077457724833607E-7	3.595567020241819E-5	0	0	11.912832929782082	181.54448220353257	PDGFRA;CDKN1A;ITGB5;SERPINE1;TGFBI;CLU;DKK1;GNG11;LIMS1
Hemostasis pathway	11/468	4.7207766927482163E-7	5.287269895878002E-5	0	0	8.223924142961343	119.79068494563877	SRGN;LYN;ABCC4;SPARC;TGFB1;SERPINE1;PECAM1;ITGA5;TFPI;CLU;GNG11
Oncostatin M	9/311	1.043530107106159E-6	9.350029759671184E-5	0	0	9.915254237288135	136.56181756609803	LYN;CDKN1A;SERPINB1;CDH3;SERPINE1;TPM1;LCN2;STX11;ICAM1
TGF-beta signaling pathway	7/185	3.1145010700999243E-6	2.325494132341277E-4	0	0	12.735126174249402	161.4742884506848	SMAD2;ZEB2;TGFB1;CDH1;TGFB1I1;SERPINE1;LTBP1
Interleukin-2 signaling pathway	13/847	4.653802140619012E-6	2.9784333699961674E-4	0	0	5.412557226945716	66.45443588981571	SRGN;LYN;SERPINE1;SLC2A3;FURIN;FAM214B;LYST;ICAM1;SOCS2;LDHB;ZEB2;CTSC;LIMS1
Integrin cell surface interactions	5/85	1.0397554880981023E-5	5.822630733349373E-4	0	0	19.694444444444443	225.9728716645402	ITGB5;CDH1;PECAM1;ITGA5;ICAM1
Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling	4/42	1.2408288722730247E-5	5.967638936721295E-4	0	0	32.7203947368421	369.64707204626717	TGFB1;ITGB5;SERPINE1;ITGA5
Interleukin-6 regulation of target genes	3/14	1.3320622626610035E-5	5.967638936721295E-4	0	0	83.58461538461539	938.3373710317499	ABCC4;ITGA5;ICAM1
RAGE pathway	4/60	5.1628209344767325E-5	0.002063391348720989	0	0	22.183035714285715	218.97855802699834	TGFB1;SERPINE1;ITGA5;ICAM1
Smooth muscle contraction	3/22	5.5269411126455066E-5	0.002063391348720989	0	0	48.37165991902834	474.20145575930775	ITGB5;TPM1;MYL9
Interleukin-11 pathway	3/23	6.340531681497786E-5	0.002185044764085391	0	0	45.95076923076923	444.1584277898047	TGFB1;STX11;ICAM1
Signaling by TGF-beta receptor complex	4/66	7.514602847357856E-5	0.002404672911154514	0	0	20.030241935483872	190.20872557981755	SMAD2;TGFB1;SERPINE1;FURIN
Disease	10/674	8.802364857966062E-5	0.002587427024094621	0	0	5.003115911923556	46.71862131831684	LDHB;CDKN1A;TGFB1;AP1S2;ELMO1;IGF2BP3;TGFBI;STX11;PAG1;SNCA
Fibroblast growth factor 1	3/26	9.240810800337933E-5	0.002587427024094621	0	0	39.95117056856187	371.118242334436	CDKN1A;SERPINE1;TCF4
Bacterial invasion of epithelial cells	4/71	1.0002318281220824E-4	0.002635905052933488	0	0	18.53078358208955	170.6705286915991	CDH1;ELMO1;ILK;ITGA5
Myc repressed pathway	4/73	1.1147609987585177E-4	0.0027320710422038454	0	0	17.991847826086957	163.756407492652	SMAD2;CDKN1A;CLU;DKK1
TGF-beta receptor activation of SMADs	3/28	1.1586908437918095E-4	0.0027320710422038454	0	0	36.751384615384616	333.0796211647444	SMAD2;TGFB1;FURIN
EGFR1 pathway	5/152	1.6828032755886337E-4	0.003734868014427387	0	0	10.681891804340784	92.82435103866771	CDKN1A;ITGB5;CA2;COTL1;LCN2
SMAD2/3 nuclear pathway	4/82	1.7507193817628376E-4	0.003734868014427387	0	0	15.908653846153847	137.61484461515278	SMAD2;CDKN1A;ITGB5;SERPINE1
Cell junction organization	4/84	1.9215082283936542E-4	0.00391288948327435	0	0	15.509375	132.71728839050226	CDH3;CDH1;ILK;LIMS1
Interleukin-4 regulation of apoptosis	6/267	2.929345485677737E-4	0.005705855554711418	0	0	7.293659621802003	59.33801537482988	CDKN1A;CA2;TFPI;ARHGAP25;CTSC;CHST2
Senescence and autophagy	4/99	3.6082008372598565E-4	0.006718177411948781	0	0	13.050657894736842	103.45427616282636	CDKN1A;SPARC;TGFB1;SERPINE1
Dilated cardiomyopathy	4/100	3.7489829307749893E-4	0.006718177411948781	0	0	12.9140625	101.87717668990722	TGFB1;ITGB5;TPM1;ITGA5
Integrin-linked kinase signaling	3/45	4.815756056455739E-4	0.00829791812804681	0	0	21.857142857142858	166.9546342358889	ILK;MYL9;LIMS1
TGF-beta signaling in gastrointestinal stem cells	2/11	6.141796834823028E-4	0.009565986769889423	0	0	67.08080808080808	496.077536690995	SMAD2;TGFB1
Monocyte and its surface molecules	2/11	6.141796834823028E-4	0.009565986769889423	0	0	67.08080808080808	496.077536690995	PECAM1;ICAM1
Muscle contraction	3/49	6.192268221580207E-4	0.009565986769889423	0	0	19.952508361204014	147.38995579964336	ITGB5;TPM1;MYL9
TGF-beta regulation of extracellular matrix	8/565	6.431265412236962E-4	0.009604023015607198	0	0	4.6379413524835424	34.085015066197855	PDGFRA;TGFB1;SERPINE1;LCN2;TGFBI;TFPI;DKK1;CTSC
Malaria	3/51	6.965358969573248E-4	0.010066067156028435	0	0	19.119230769230768	138.98516842101785	TGFB1;PECAM1;ICAM1
Platelet endothelial cell adhesion molecule 1 (PECAM1) interactions	2/12	7.353984087050349E-4	0.010295577721870489	0	0	60.36969696969697	435.57328910015156	LYN;PECAM1
Cell-cell communication	4/129	9.777217473531951E-4	0.012961533123694436	0	0	9.9035	68.63408185820364	CDH3;CDH1;ILK;LIMS1
Adhesion and diapedesis of lymphocytes	2/14	0.0010095147214072258	0.012961533123694436	0	0	50.303030303030305	347.00466642918985	PECAM1;ICAM1
Adaptive immune system	8/606	0.0010126197752886278	0.012961533123694436	0	0	4.310813823857302	29.72398585314484	LYN;CDKN1A;ITGB5;CDH1;AP1S2;CTSC;PAG1;ICAM1
Adipogenesis	4/133	0.0010951352831900742	0.013215426989101761	0	0	9.594476744186046	65.40437146209898	CDKN1A;MBNL1;TGFB1;SERPINE1
Cell adhesion molecules (CAMs)	4/133	0.0010951352831900742	0.013215426989101761	0	0	9.594476744186046	65.40437146209898	CDH3;CDH1;PECAM1;ICAM1
Adhesion and diapedesis of granulocytes	2/15	0.0011622701959248627	0.013215426989101761	0	0	46.43123543123543	313.75350729506465	PECAM1;ICAM1
Glycosaminoglycan biosynthesis: keratan sulfate	2/15	0.0011622701959248627	0.013215426989101761	0	0	46.43123543123543	313.75350729506465	FUT8;CHST2
Focal adhesion	5/233	0.0011799488383126572	0.013215426989101761	0	0	6.858813700918964	46.24407123826467	PDGFRA;ITGB5;ILK;ITGA5;MYL9
Signaling events mediated by focal adhesion kinase	3/62	0.001231683462639758	0.013458394908844186	0	0	15.546023468057367	104.14861573325584	ITGB5;ELMO1;ITGA5
Cell-extracellular matrix interactions	2/16	0.0013253963875063156	0.014137561466734033	0	0	43.112554112554115	285.66566773659633	ILK;LIMS1
Beta-1 integrin cell surface interactions	3/66	0.00147589814034224	0.01526074437004367	0	0	14.556043956043956	94.8834060906592	ITGA5;TGFBI;NID1
Cell to cell adhesion signaling	2/17	0.0014988231077721463	0.01526074437004367	0	0	40.236363636363635	261.66009341787907	CDH1;PECAM1
PPAR signaling pathway	3/69	0.0016776367727337677	0.016385897172157066	0	0	13.892307692307693	88.77697462107645	FADS2;ILK;ACSL4
Pre-NOTCH processing in Golgi	2/18	0.0016824805132125557	0.016385897172157066	0	0	37.71969696969697	240.93403928127228	FURIN;ST3GAL6
Melanoma	3/71	0.0018212460905116374	0.01735996273508965	0	0	13.48235294117647	85.0498419026256	PDGFRA;CDKN1A;CDH1
