Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PARVA	2/11	6.141796834823028E-4	0.08808015944278046	0	0	67.08080808080808	496.077536690995	ILK;LIMS1
INSL5	3/52	7.373900840415971E-4	0.08808015944278046	0	0	18.728100470957614	135.0744304682555	ITGB5;SMPD1;ADAM9
ZDHHC6	2/13	8.672004982370924E-4	0.08808015944278046	0	0	54.878787878787875	386.90864481269017	TSPAN2;LRRC32
EXOC4	2/14	0.0010095147214072258	0.08808015944278046	0	0	50.303030303030305	347.00466642918985	TPM1;STX11
ADAM32	2/21	0.0022941435449256925	0.12050442978821022	0	0	31.759170653907496	193.0130467915525	ADAM9;ITGA5
HOMER1	2/23	0.0027518072427276065	0.12050442978821022	0	0	28.73160173160173	169.38708342077788	TPM1;EMILIN1
CTNNA3	2/24	0.0029954011693546405	0.12050442978821022	0	0	27.424242424242426	159.35341771425578	CDH3;CDH1
CDK15	3/86	0.003144941129811433	0.12050442978821022	0	0	11.037442075996292	63.59730093256308	SERPINB1;ZNF185;TMEM40
PTPRS	2/27	0.0037844226149154597	0.12050442978821022	0	0	24.12969696969697	134.56798887906896	CLU;STX11
STX8	2/28	0.004066620301312766	0.12050442978821022	0	0	23.2004662004662	127.71724440818856	AP1S2;STX11
HOXB5	2/31	0.004969858929348448	0.12050442978821022	0	0	20.79728317659352	110.31635651344551	LYN;PAG1
PCDHGC3	2/32	0.0052896020248526365	0.12050442978821022	0	0	20.1030303030303	105.38033146318955	CDH1;PAG1
ZIC1	2/41	0.008574669019154274	0.12050442978821022	0	0	15.456876456876456	73.55839223915375	SERPINB1;LCN2
SLAMF1	2/52	0.01353746515222633	0.12050442978821022	0	0	12.049696969696969	51.84134187640708	ADAM9;ST3GAL6
DEFA5	2/61	0.018320990439463565	0.12050442978821022	0	0	10.20698510529019	40.824958531179334	NID1;LTBP1
HLA-DPA1	2/63	0.019467702440589405	0.12050442978821022	0	0	9.871336313959265	38.88317865399663	CLU;LTBP1
VTI1B	2/66	0.021242881358460763	0.12050442978821022	0	0	9.407196969696969	36.23401509434124	AP1S2;STX11
DDX19B	2/73	0.025634510282739602	0.12050442978821022	0	0	8.476739223218097	31.057210906859115	SERPINB1;LCN2
TBC1D22B	2/79	0.029665735246776792	0.12050442978821022	0	0	7.813852813852814	27.48727914818012	SERPINB1;LCN2
LGALS3	2/83	0.03248423594099619	0.12050442978821022	0	0	7.42648709315376	25.45057390679166	ABCC4;TSPAN2
TRMT61A	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	EMILIN1
NLGN2	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	CLU
TCF3	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	TCF4
SEL1L	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	SMPD1
TRAF6	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	EMILIN1
EID3	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	ACSL4
PDLIM5	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	EMILIN1
HSPA6	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	ILK
AP1M2	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	AP1S2
PMS1	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	PAG1
TGFB1	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	LRRC32
SERPINA5	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	FURIN
LRRC4	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	ITGB5
LRRC32	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	TGFB1
MAD1L1	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	TPM1
CCND1	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	CDKN1A
LRRC1	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	STX11
MTPAP	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	EMILIN1
TCF12	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	TCF4
MAN1A1	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	CLU
CCR1	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	PAG1
FKBP15	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	STX11
KCNIP4	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	TFPI
KIAA0182	1/10	0.03349171276321553	0.12050442978821022	0	0	33.039800995024876	112.21827165973407	TCF4
MYF6	1/11	0.036779474955290804	0.12050442978821022	0	0	29.734328358208955	98.20699568293153	TCF4
MSTO1	1/11	0.036779474955290804	0.12050442978821022	0	0	29.734328358208955	98.20699568293153	ARHGAP25
TUBB4	1/11	0.036779474955290804	0.12050442978821022	0	0	29.734328358208955	98.20699568293153	ICAM1
OCIAD1	1/11	0.036779474955290804	0.12050442978821022	0	0	29.734328358208955	98.20699568293153	CLU
SIKE1	1/11	0.036779474955290804	0.12050442978821022	0	0	29.734328358208955	98.20699568293153	STX11
VAMP8	1/11	0.036779474955290804	0.12050442978821022	0	0	29.734328358208955	98.20699568293153	STX11
FGL2	1/11	0.036779474955290804	0.12050442978821022	0	0	29.734328358208955	98.20699568293153	FUT8
UBA6	1/11	0.036779474955290804	0.12050442978821022	0	0	29.734328358208955	98.20699568293153	ARHGAP25
ACBD7	1/11	0.036779474955290804	0.12050442978821022	0	0	29.734328358208955	98.20699568293153	PAG1
ST8SIA3	1/11	0.036779474955290804	0.12050442978821022	0	0	29.734328358208955	98.20699568293153	ITGB5
JUND	1/11	0.036779474955290804	0.12050442978821022	0	0	29.734328358208955	98.20699568293153	TPM1
PCYOX1	1/11	0.036779474955290804	0.12050442978821022	0	0	29.734328358208955	98.20699568293153	CLU
RECQL4	1/11	0.036779474955290804	0.12050442978821022	0	0	29.734328358208955	98.20699568293153	ARHGAP25
LOXL3	1/11	0.036779474955290804	0.12050442978821022	0	0	29.734328358208955	98.20699568293153	LTBP1
DDX31	2/90	0.03765782513635873	0.12050442978821022	0	0	6.833333333333333	22.40796580046174	LCN2;CLU
LGALS8	2/93	0.039965618840663186	0.12050442978821022	0	0	6.6070596070596075	21.272985843869264	ABCC4;ITGA5
DDHD2	1/12	0.040056217631282115	0.12050442978821022	0	0	27.029850746268657	86.96777093294467	EMILIN1
STX10	1/12	0.040056217631282115	0.12050442978821022	0	0	27.029850746268657	86.96777093294467	STX11
UBR5	1/12	0.040056217631282115	0.12050442978821022	0	0	27.029850746268657	86.96777093294467	STX11
GPR141	1/12	0.040056217631282115	0.12050442978821022	0	0	27.029850746268657	86.96777093294467	PAG1
