Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ITGAV-ITGB5-ADAM9 complex (human)	2/3	3.4094799344218043E-5	0.0026252995495047895	0	0	603.969696969697	6212.653173060806	ITGB5;ADAM9
ITGAV-ITGB5 complex (human)	1/2	0.006788528124029238	0.015322642965883008	0	0	297.4776119402985	1485.1632639205873	ITGB5
Cell-cell junction complex (CDH1-CTNNB1) (human)	1/2	0.006788528124029238	0.015322642965883008	0	0	297.4776119402985	1485.1632639205873	CDH1
CDH1-CKS1B complex (human)	1/2	0.006788528124029238	0.015322642965883008	0	0	297.4776119402985	1485.1632639205873	CDH1
PCNA-p21 complex (human)	1/2	0.006788528124029238	0.015322642965883008	0	0	297.4776119402985	1485.1632639205873	CDKN1A
CDH1-SKP2 complex (human)	1/2	0.006788528124029238	0.015322642965883008	0	0	297.4776119402985	1485.1632639205873	CDH1
ITGA5-ITGB4 complex (human)	1/2	0.006788528124029238	0.015322642965883008	0	0	297.4776119402985	1485.1632639205873	ITGA5
ELMO1-DOCK1 complex (human)	1/2	0.006788528124029238	0.015322642965883008	0	0	297.4776119402985	1485.1632639205873	ELMO1
ELMO1-DOCK2 complex (human)	1/2	0.006788528124029238	0.015322642965883008	0	0	297.4776119402985	1485.1632639205873	ELMO1
PDGFRA-SHP-2 complex, PDGF stimulated (human)	1/2	0.006788528124029238	0.015322642965883008	0	0	297.4776119402985	1485.1632639205873	PDGFRA
FHL4/STX11-ACT complex (human)	1/2	0.006788528124029238	0.015322642965883008	0	0	297.4776119402985	1485.1632639205873	STX11
SMAD2-SKI complex (human)	1/2	0.006788528124029238	0.015322642965883008	0	0	297.4776119402985	1485.1632639205873	SMAD2
SMAD2-FAST1 complex (human)	1/2	0.006788528124029238	0.015322642965883008	0	0	297.4776119402985	1485.1632639205873	SMAD2
DJ-1-SNCA complex, high molecular weight complex (human)	1/2	0.006788528124029238	0.015322642965883008	0	0	297.4776119402985	1485.1632639205873	SNCA
Smad2-Smad4 complex (mouse)	1/2	0.006788528124029238	0.015322642965883008	0	0	297.4776119402985	1485.1632639205873	SMAD2
CREBBP-SMAD2 hexameric complex (human)	1/2	0.006788528124029238	0.015322642965883008	0	0	297.4776119402985	1485.1632639205873	SMAD2
TCF4-CTNNB1 complex (human)	1/2	0.006788528124029238	0.015322642965883008	0	0	297.4776119402985	1485.1632639205873	TCF4
ITGAV-ITGB5-SPP1 complex (human)	1/3	0.010165762283446787	0.015322642965883008	0	0	148.73134328358208	682.4879536219702	ITGB5
ITGAV-ITGB5-CYR61 complex (human)	1/3	0.010165762283446787	0.015322642965883008	0	0	148.73134328358208	682.4879536219702	ITGB5
PLC-gamma-2-Lyn-FcR-gamma complex (human)	1/3	0.010165762283446787	0.015322642965883008	0	0	148.73134328358208	682.4879536219702	LYN
PXN-ITGB5-PTK2 complex (human)	1/3	0.010165762283446787	0.015322642965883008	0	0	148.73134328358208	682.4879536219702	ITGB5
PIP complex (mouse)	1/3	0.010165762283446787	0.015322642965883008	0	0	148.73134328358208	682.4879536219702	LIMS1
SNARE complex (STX11, VAMP2, SNAP23) (human)	1/3	0.010165762283446787	0.015322642965883008	0	0	148.73134328358208	682.4879536219702	STX11
