Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
QL-XI-92	1/22	0.07222550672020589	0.6263322972441896	0	0	14.15138592750533	37.18930470253887	LYN
Bosutinib	1/27	0.08790945005341633	0.6263322972441896	0	0	11.427095292766934	27.784387663217135	LYN
WZ-7043	1/27	0.08790945005341633	0.6263322972441896	0	0	11.427095292766934	27.784387663217135	LYN
ALW-II-49-7	1/29	0.09410962188270577	0.6263322972441896	0	0	10.609808102345415	25.074106290081968	LYN
ALW-II-38-3	1/37	0.11849772752169252	0.6263322972441896	0	0	8.248756218905474	17.593454526083946	LYN
Dasatinib	1/38	0.12150038545334585	0.6263322972441896	0	0	8.025413473174668	16.916270230507074	LYN
BGJ398	1/44	0.13930585746579122	0.6263322972441896	0	0	6.9035057271780635	13.607385194038667	LYN
Foretinib	1/45	0.14223866533448712	0.6263322972441896	0	0	6.746268656716418	13.156902962469523	LYN
Ibrutinib	1/57	0.17667353092857396	0.6263322972441896	0	0	5.297441364605544	9.182858779101382	LYN
Neratinib	1/60	0.18506718705735814	0.6263322972441896	0	0	5.027321022008601	8.48127328991471	LYN
WZ-4-145	1/64	0.19612769936328775	0.6263322972441896	0	0	4.707178393745558	7.667943257971954	LYN
AZ-628	1/72	0.21780685791269314	0.6263322972441896	0	0	4.175110363674585	6.363480189334428	LYN
JW-7-24-1	1/81	0.2415078280197289	0.6263322972441896	0	0	3.703731343283582	5.262459243103678	LYN
Barasertib	1/85	0.2518131090886944	0.6263322972441896	0	0	3.526652452025586	4.863493886554074	LYN
CH5424802	1/86	0.2543677981624342	0.6263322972441896	0	0	3.4849868305531166	4.770856483616748	LYN
Vemurafenib	1/89	0.26198040836352127	0.6263322972441896	0	0	3.3656716417910446	4.508268547912052	LYN
ZM-447439	1/91	0.267012884576819	0.6263322972441896	0	0	3.2905472636815922	4.345030659440961	LYN
WH-4-025	1/95	0.2769766167917756	0.6263322972441896	0	0	3.149888853604319	4.043897213448032	LYN
MLN8054	1/96	0.2794466250915336	0.6263322972441896	0	0	3.116575019638649	3.973458529296138	LYN
Sorafenib	1/106	0.30369393396631833	0.6263322972441896	0	0	2.8183368869936034	3.3587103743546707	LYN
PLX-4720	1/106	0.30369393396631833	0.6263322972441896	0	0	2.8183368869936034	3.3587103743546707	LYN
WZ3105	1/110	0.3131661486220948	0.6263322972441896	0	0	2.7143639600164318	3.151434653142769	LYN
KIN001-111	1/121	0.33856499921632244	0.6289845846166432	0	0	2.464179104477612	2.668802525914945	LYN
AG1478	1/123	0.3430825006999872	0.6289845846166432	0	0	2.4235380474675803	2.5926630358302263	LYN
NG25	1/131	0.3608504834564241	0.6290300824594267	0	0	2.2734787600459243	2.3173377567270332	LYN
HG-5-113-01	1/157	0.41538886552144966	0.6290300824594267	0	0	1.892078071182549	1.6622665943453283	LYN
BMS-536924	1/184	0.46717077320465406	0.6290300824594267	0	0	1.610716907266944	1.2258528646487257	LYN
KIN001-220	1/190	0.47804906969457045	0.6290300824594267	0	0	1.5591092158256337	1.1506879209311798	LYN
Dabrafenib	1/195	0.48694692171103104	0.6290300824594267	0	0	1.518541314048315	1.0927425606592966	LYN
WH-4-023	1/198	0.4922137176728752	0.6290300824594267	0	0	1.4951890294719297	1.059853187664649	LYN
Crizotinib	1/200	0.4956952821636893	0.6290300824594267	0	0	1.4800120003000075	1.0386633811930914	LYN
AZD4547	1/209	0.511073485461755	0.6290300824594267	0	0	1.4153272101033294	0.9500269142406652	LYN
HG-6-64-01	1/210	0.5127533865729584	0.6290300824594267	0	0	1.408483896307934	0.9408112939871083	LYN
Torkinib	1/210	0.5127533865729584	0.6290300824594267	0	0	1.408483896307934	0.9408112939871083	LYN
HG-9-91-01	1/213	0.5177590413021834	0.6290300824594267	0	0	1.3883413123063926	0.9138691660844068	LYN
CP466722	1/228	0.5420372037279935	0.6290300824594267	0	0	1.2956144388191202	0.7934610216559015	LYN
CGP74514A	1/233	0.5498591305820598	0.6290300824594267	0	0	1.2673700463201236	0.75800535560903	LYN
R406	1/234	0.5514076456144852	0.6290300824594267	0	0	1.2618666325027224	0.7511651231829091	LYN
NVP-TAE684	1/238	0.5575493912708555	0.6290300824594267	0	0	1.2403174003400719	0.7245986164588204	LYN
HG-14-10-04	1/268	0.6010457941833067	0.6452631761223918	0	0	1.0992788864665437	0.5596254583050985	LYN
BX-912	1/285	0.6237940381666848	0.6452631761223918	0	0	1.0325835610679	0.48731235607712364	LYN
THZ1	1/289	0.6289579832835994	0.6452631761223918	0	0	1.0180348258706469	0.47205340700806636	LYN
OTSSP167	1/298	0.6403228721433722	0.6452631761223918	0	0	0.9867330016583747	0.43986854321517754	LYN
AZD7762	1/302	0.6452631761223918	0.6452631761223918	0	0	0.973421926910299	0.42645324578113414	LYN
