Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LYN	4/82	1.7507193817628376E-4	0.009714279382031668	0	0	15.908653846153847	137.61484461515278	LYN;PECAM1;PAG1;SNCA
PTK2B	2/8	3.1474126366608674E-4	0.009714279382031668	0	0	100.63636363636364	811.5074475931799	TGFB1I1;SNCA
CSNK2A1	6/286	4.2235997313181165E-4	0.009714279382031668	0	0	6.792165898617512	52.772769370252846	HHEX;CDH1;FURIN;TCF4;TFPI;SNCA
FYN	4/115	6.362079878229694E-4	0.010974587789946222	0	0	11.160472972972974	82.14091393297922	LDHB;TGFB1I1;PECAM1;SNCA
DAPK3	2/14	0.0010095147214072258	0.01336610725313592	0	0	50.303030303030305	347.00466642918985	CDKN1A;MYL9
CSK	2/15	0.0011622701959248627	0.01336610725313592	0	0	46.43123543123543	313.75350729506465	LYN;PECAM1
ADRBK1	2/25	0.003248746409899887	0.023459638589170648	0	0	26.23056653491436	150.2876657557229	SMAD2;SNCA
MYLK4	1/1	0.0033999476216189342	0.023459638589170648	0	0	19932.0	113293.39338050145	MYL9
MYLK3	1/1	0.0033999476216189342	0.023459638589170648	0	0	19932.0	113293.39338050145	MYL9
CIT	1/1	0.0033999476216189342	0.023459638589170648	0	0	19932.0	113293.39338050145	MYL9
MAPK1	5/326	0.005029588522927145	0.03154923709836118	0	0	4.848687138406764	25.661274737448363	SMAD2;CDKN1A;TGFB1I1;NID1;TFPI
ACVR1B	1/2	0.006788528124029238	0.039034036713168116	0	0	297.4776119402985	1485.1632639205873	SMAD2
HCK	2/41	0.008574669019154274	0.04551170479397268	0	0	15.456876456876456	73.55839223915375	ELMO1;PECAM1
BMPR1B	1/3	0.010165762283446787	0.04676250650385522	0	0	148.73134328358208	682.4879536219702	SMAD2
PIM2	1/3	0.010165762283446787	0.04676250650385522	0	0	148.73134328358208	682.4879536219702	CDKN1A
PAK1	2/48	0.011616759783040167	0.0475340077458192	0	0	13.100131752305666	58.36510102971351	ILK;MYL9
SRC	4/259	0.01171127727070908	0.0475340077458192	0	0	4.822794117647059	21.447944623246038	LYN;TNS3;PAG1;SNCA
MYLK	1/4	0.013531684697143435	0.04914138126857353	0	0	99.14925373134328	426.61160877153185	MYL9
PIK3CA	1/4	0.013531684697143435	0.04914138126857353	0	0	99.14925373134328	426.61160877153185	TPM1
TGFBR1	1/5	0.016886331477543003	0.055483660569069865	0	0	74.35820895522389	303.4744977483959	SMAD2
MATK	1/5	0.016886331477543003	0.055483660569069865	0	0	74.35820895522389	303.4744977483959	LYN
FES	1/6	0.02022973917450602	0.05806336316908597	0	0	59.483582089552236	232.02175076653654	PECAM1
GRK6	1/6	0.02022973917450602	0.05806336316908597	0	0	59.483582089552236	232.02175076653654	SNCA
GRK5	1/7	0.023561944474411695	0.05806336316908597	0	0	49.56716417910448	185.78379790492124	SNCA
PAK4	1/7	0.023561944474411695	0.05806336316908597	0	0	49.56716417910448	185.78379790492124	ITGB5
FGR	1/7	0.023561944474411695	0.05806336316908597	0	0	49.56716417910448	185.78379790492124	SNCA
PDGFRA	1/7	0.023561944474411695	0.05806336316908597	0	0	49.56716417910448	185.78379790492124	PDGFRA
PLK2	1/7	0.023561944474411695	0.05806336316908597	0	0	49.56716417910448	185.78379790492124	SNCA
CSNK1D	2/72	0.02498622942542931	0.05944999415015939	0	0	8.598268398268399	31.722713064037848	CDH1;SNCA
FER	1/8	0.026882984076400464	0.059836319395859094	0	0	42.48400852878465	153.63329523076956	PECAM1
DYRK1B	1/8	0.026882984076400464	0.059836319395859094	0	0	42.48400852878465	153.63329523076956	CDKN1A
MELK	1/9	0.030192894641305958	0.06419244946282977	0	0	37.17164179104478	130.10627217002806	SMAD2
CSNK1A1	2/84	0.033204772723483	0.06419244946282977	0	0	7.335550628233555	24.978002174688363	CDH1;SNCA
ILK	1/10	0.03349171276321553	0.06419244946282977	0	0	33.039800995024876	112.21827165973407	ILK
CDK6	1/10	0.03349171276321553	0.06419244946282977	0	0	33.039800995024876	112.21827165973407	CDKN1A
CDC42BPA	1/10	0.03349171276321553	0.06419244946282977	0	0	33.039800995024876	112.21827165973407	MYL9
MAP3K5	1/11	0.036779474955290804	0.06837868248444086	0	0	29.734328358208955	98.20699568293153	CDKN1A
CAMK2A	2/90	0.03765782513635873	0.06837868248444086	0	0	6.833333333333333	22.40796580046174	SMAD2;SNCA
