Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Bacterial invasion of epithelial cells	4/77	1.3719418568415212E-4	0.015089656296369332	0	0	17.002568493150687	151.22276924231187	CDH1;ELMO1;ILK;ITGA5
Hypertrophic cardiomyopathy	4/90	2.505985293132387E-4	0.015089656296369332	0	0	14.42296511627907	119.59029963115674	TGFB1;ITGB5;TPM1;ITGA5
Dilated cardiomyopathy	4/96	3.208563224514985E-4	0.015089656296369332	0	0	13.478260869565217	108.42610042953902	TGFB1;ITGB5;TPM1;ITGA5
AGE-RAGE signaling pathway in diabetic complications	4/100	3.7489829307749893E-4	0.015089656296369332	0	0	12.9140625	101.87717668990722	SMAD2;TGFB1;SERPINE1;ICAM1
Focal adhesion	5/201	6.085479705230058E-4	0.015300540406437088	0	0	7.991577583414318	59.1731152821144	PDGFRA;ITGB5;ILK;ITGA5;MYL9
Malaria	3/50	6.571555344566322E-4	0.015300540406437088	0	0	19.527004909983635	143.08588265054038	TGFB1;PECAM1;ICAM1
Proteoglycans in cancer	5/205	6.652408872363951E-4	0.015300540406437088	0	0	7.83015873015873	57.28044051120638	SMAD2;CDKN1A;TGFB1;ITGB5;ITGA5
Endometrial cancer	3/58	0.001014674119633013	0.020420316657614387	0	0	16.68	114.97837221112536	CDKN1A;CDH1;ILK
Apelin signaling pathway	4/137	0.0012221180270729339	0.02186233359541582	0	0	9.30404135338346	62.40378553441278	SMAD2;CDH1;SERPINE1;GNG11
Cell adhesion molecules	4/148	0.0016240064024725686	0.021867174733140413	0	0	8.588541666666666	55.16299295517263	CDH3;CDH1;PECAM1;ICAM1
Gastric cancer	4/149	0.0016645775441272138	0.021867174733140413	0	0	8.528879310344827	54.5693384163807	SMAD2;CDKN1A;TGFB1;CDH1
Melanoma	3/72	0.0018958381322750845	0.021867174733140413	0	0	13.28628762541806	83.2797030961845	PDGFRA;CDKN1A;CDH1
Cellular senescence	4/156	0.001968533879959307	0.021867174733140413	0	0	8.133223684210526	50.67377555979783	SMAD2;CDKN1A;TGFB1;SERPINE1
PPAR signaling pathway	3/74	0.002050681854072419	0.021867174733140413	0	0	12.910725893824486	79.9120085984779	FADS2;ILK;ACSL4
Pancreatic cancer	3/76	0.0022131822580850643	0.021867174733140413	0	0	12.555742887249737	76.75732261509744	SMAD2;CDKN1A;TGFB1
