Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CDK9 knockdown 71 GSE21751	7/300	7.060594440414772E-5	0.015250883991295906	0	0	7.691657807866615	73.51991290586605	SOCS2;SERPINE1;ALDH1A1;FURIN;ITGA5;DKK1;LTBP1
ROCK1 knockdown 156 GSE34769	6/300	5.43487820899723E-4	0.039131123104780056	0	0	6.464121132323897	48.59405168723358	ITGB5;FHL1;ALDH1A1;LCN2;LRRC32;ICAM1
ROCK2 knockdown 157 GSE34769	6/300	5.43487820899723E-4	0.039131123104780056	0	0	6.464121132323897	48.59405168723358	PHTF2;ITGB5;FHL1;ALDH1A1;LRRC32;GNG11
SYK druginhibition 287 GSE43510	5/300	0.0035415715733515337	0.10928277997770447	0	0	5.2830239440408935	29.81307990700344	SRGN;ABCC4;HHEX;CTSC;ICAM1
TGFBR2 knockout 294 GSE36778	5/300	0.0035415715733515337	0.10928277997770447	0	0	5.2830239440408935	29.81307990700344	MBNL1;ITGB5;SMPD1;EMILIN1;LTBP1
EGFR drugactivation 20 GDS2146	5/300	0.0035415715733515337	0.10928277997770447	0	0	5.2830239440408935	29.81307990700344	PDGFRA;FUT8;SMPD1;ST3GAL6;ICAM1
ERBB3 drugactivation 31 GDS4361	5/300	0.0035415715733515337	0.10928277997770447	0	0	5.2830239440408935	29.81307990700344	SERPINB1;ITGB5;SMPD1;TNS3;LTBP1
BRAF druginhibition 175 GSE42872	4/300	0.019080483989019452	0.17172435590117507	0	0	4.146114864864865	16.41483877824247	ITGB5;TPM1;COTL1;ITGA5
BRAF druginhibition 38 GDS5085	4/300	0.019080483989019452	0.17172435590117507	0	0	4.146114864864865	16.41483877824247	ITGB5;TPM1;COTL1;ITGA5
MET knockout 251 GDS3148	4/300	0.019080483989019452	0.17172435590117507	0	0	4.146114864864865	16.41483877824247	AP1S2;FURIN;PAG1;ELK3
BTK mutant 1 GDS1346	4/300	0.019080483989019452	0.17172435590117507	0	0	4.146114864864865	16.41483877824247	PHTF2;SERPINB1;ST3GAL6;TCF4
PLK2 knockdown 87 GSE27869	4/300	0.019080483989019452	0.17172435590117507	0	0	4.146114864864865	16.41483877824247	SRGN;CDKN1A;CTSC;LIMS1
AKT1 activemutant 9 GDS2304	4/300	0.019080483989019452	0.17172435590117507	0	0	4.146114864864865	16.41483877824247	SMPD1;TFPI;CLU;LIMS1
CDK2 knockdown 90 GSE27869	4/300	0.019080483989019452	0.17172435590117507	0	0	4.146114864864865	16.41483877824247	SRGN;SMAD2;LDHB;LIMS1
RAGE knockout 267 GDS3755	4/300	0.019080483989019452	0.17172435590117507	0	0	4.146114864864865	16.41483877824247	SMAD2;TMEM158;LYST;CHST2
CDK19 knockdown 162 GSE38061	4/300	0.019080483989019452	0.17172435590117507	0	0	4.146114864864865	16.41483877824247	SRGN;FADS2;IGF2BP3;DKK1
SCYL1 knockdown 194 GSE57646	4/300	0.019080483989019452	0.17172435590117507	0	0	4.146114864864865	16.41483877824247	MBNL1;COTL1;TFPI;DKK1
FGFR1 mutant 25 GDS4046	4/300	0.019080483989019452	0.17172435590117507	0	0	4.146114864864865	16.41483877824247	SERPINB1;ALDH1A1;NEXN;TNS3
EGFR drugactivation 30 GDS4361	4/300	0.019080483989019452	0.17172435590117507	0	0	4.146114864864865	16.41483877824247	SMAD2;SERPINE1;TNS3;LTBP1
TNIK knockdown 297 GSE17623	4/300	0.019080483989019452	0.17172435590117507	0	0	4.146114864864865	16.41483877824247	TMEM158;ITGB5;CA2;ACSL4
ATM knockout 74 GSE23116	4/300	0.019080483989019452	0.17172435590117507	0	0	4.146114864864865	16.41483877824247	PDGFRA;CDH3;NID1;SNCA
ATM knockout 75 GSE23116	4/300	0.019080483989019452	0.17172435590117507	0	0	4.146114864864865	16.41483877824247	CDH3;CDH1;ARHGAP25;SNCA
RAGE knockout 268 GDS3755	4/300	0.019080483989019452	0.17172435590117507	0	0	4.146114864864865	16.41483877824247	SERPINB1;COTL1;TCF4;ELK3
TIE1 knockdown 107 GSE27869	4/300	0.019080483989019452	0.17172435590117507	0	0	4.146114864864865	16.41483877824247	SERPINE1;AP1S2;FAM214B;CTSC
RAF1 activemutant 219 GSE42964	3/300	0.08230213603096934	0.29143051447031765	0	0	3.051282051282051	7.6201443044724835	SERPINE1;TPM1;STX11
IRAK4 defectivemutant 200 GSE6789	3/300	0.08230213603096934	0.29143051447031765	0	0	3.051282051282051	7.6201443044724835	FADS2;PDGFRA;ELK3
