Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GRK6 knockdown 96h A375	6/300	5.43487820899723E-4	0.09841658623459151	0	0	6.464121132323897	48.59405168723358	LDHB;MBNL1;TGFB1;COTL1;AP1S2;TGFBI
MAST4 knockdown 96h A375	6/300	5.43487820899723E-4	0.09841658623459151	0	0	6.464121132323897	48.59405168723358	LYN;ITGB5;SMPD1;ALDH1A1;STX11;LIMS1
OPN3 knockdown 96h A375	6/300	5.43487820899723E-4	0.09841658623459151	0	0	6.464121132323897	48.59405168723358	LYN;TGFB1;ITGB5;SMPD1;ALDH1A1;STX11
PDPK1 knockdown 96h A375	6/300	5.43487820899723E-4	0.09841658623459151	0	0	6.464121132323897	48.59405168723358	LDHB;TGFB1;ITGB5;SMPD1;ILK;GNG11
TAAR8 knockdown 96h A375	6/300	5.43487820899723E-4	0.09841658623459151	0	0	6.464121132323897	48.59405168723358	LYN;PHTF2;TGFB1;ITGB5;SMPD1;STX11
MRGPRX2 knockdown 96h HA1E	6/300	5.43487820899723E-4	0.09841658623459151	0	0	6.464121132323897	48.59405168723358	SPARC;ZNF185;CDH1;FHL1;ALDH1A1;IGF2BP3
NOX1 knockdown 96h HA1E	6/300	5.43487820899723E-4	0.09841658623459151	0	0	6.464121132323897	48.59405168723358	SMAD2;ABCC4;TPM1;COTL1;ADAM9;EMILIN1
OXGR1 knockdown 96h HA1E	6/300	5.43487820899723E-4	0.09841658623459151	0	0	6.464121132323897	48.59405168723358	SMAD2;ABCC4;TPM1;COTL1;ADAM9;EMILIN1
RET knockdown 96h HA1E	6/300	5.43487820899723E-4	0.09841658623459151	0	0	6.464121132323897	48.59405168723358	MBNL1;SPARC;ZNF185;TGFB1;TGFBI;LIMS1
GPR141 knockdown 96h HCC515	6/300	5.43487820899723E-4	0.09841658623459151	0	0	6.464121132323897	48.59405168723358	PHTF2;SMPD1;TMEM40;ITGA5;SNCA;LIMS1
GPR146 knockdown 96h MCF7	6/300	5.43487820899723E-4	0.09841658623459151	0	0	6.464121132323897	48.59405168723358	ITGB5;SMPD1;ILK;ICAM1;ELK3;LIMS1
IRAK2 knockdown 96h MCF7	6/300	5.43487820899723E-4	0.09841658623459151	0	0	6.464121132323897	48.59405168723358	SMAD2;ITGB5;CDH1;SMPD1;EMILIN1;ICAM1
AKT1 knockdown 96h A375	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	SRGN;PHTF2;LDHB;COTL1;ILK
CXCR7 knockdown 96h A375	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	LDHB;TGFB1;COTL1;AP1S2;TGFBI
GPR4 knockdown 96h A375	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	LYN;PHTF2;ITGB5;SMPD1;STX11
GSK3B knockdown 96h A375	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	PHTF2;LDHB;TMEM158;CA2;ADAM9
HIPK1 knockdown 96h A375	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	LYN;ITGB5;ALDH1A1;ACSL4;LIMS1
MRGPRX1 knockdown 96h A375	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	LYN;ITGB5;ALDH1A1;ACSL4;STX11
MRGPRX3 knockdown 96h A375	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	TGFB1;ITGB5;SMPD1;GNG11;STX11
NR4A2 knockdown 96h A375	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	PDGFRA;MBNL1;TMEM158;SMPD1;STX11
PXK knockdown 96h A375	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	LDHB;SERPINB1;COTL1;AP1S2;TGFBI
RXFP1 knockdown 96h A375	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	PHTF2;LDHB;SMPD1;EMILIN1;FURIN
SRPK1 knockdown 96h A375	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	LYN;PHTF2;SMPD1;ALDH1A1;STX11
STK16 knockdown 96h A375	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	PHTF2;FUT8;SMPD1;EMILIN1;FURIN
ADRA2A knockdown 96h HA1E	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	MBNL1;SMPD1;TPM1;COTL1;TSPAN2
CXCR2 knockdown 96h HA1E	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	SPARC;ZNF185;CDH1;FHL1;IGF2BP3
GABRG1 knockdown 96h HA1E	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	SPARC;ZNF185;TGFB1;TGFBI;LIMS1
IKBKE knockdown 96h HA1E	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	SERPINE1;TPM1;TSPAN2;TGFBI;MYL9
PLK4 knockdown 96h HA1E	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	ZNF185;TGFB1;ILK;TGFBI;LIMS1
CAMK2G knockdown 96h HCC515	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	CDH1;SMPD1;ELMO1;ITGA5;SNCA
KISS1R knockdown 96h HCC515	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	PHTF2;PDGFRA;SMPD1;TMEM40;LIMS1
NMUR2 knockdown 96h HEPG2	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	MBNL1;ITGB5;ST3GAL6;CHST2;ICAM1
PXK knockdown 96h HEPG2	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	MBNL1;ITGB5;SMPD1;CHST2;ICAM1
ANO1 knockdown 96h MCF7	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	ITGB5;SMPD1;IGF2BP3;ICAM1;ELK3
CAMK2G knockdown 96h MCF7	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	SMAD2;ITGB5;SMPD1;EMILIN1;ICAM1
ELTD1 knockdown 96h MCF7	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	LYN;ITGB5;TGFB1I1;AP1S2;ILK
GABRA5 knockdown 96h MCF7	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	LYN;ITGB5;TGFB1I1;AP1S2;ILK
GPR19 knockdown 96h MCF7	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	ITGB5;SMPD1;IGF2BP3;ICAM1;ELK3
LPAR1 knockdown 96h MCF7	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	ITGB5;CDH1;SMPD1;EMILIN1;ICAM1
MAPK12 knockdown 96h MCF7	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	ITGB5;ILK;IGF2BP3;ICAM1;ELK3
OXER1 knockdown 96h MCF7	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	LYN;MBNL1;ITGB5;AP1S2;ILK
TAAR1 knockdown 96h MCF7	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	ITGB5;CDH1;SMPD1;EMILIN1;ICAM1
GABBR2 knockdown 96h PC3	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	ABCC4;LDHB;SPARC;ITGB5;ILK
GPR148 knockdown 96h PC3	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	ITGB5;TGFB1I1;TPM1;TMEM40;CTSC
MRGPRD knockdown 96h PC3	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	PHTF2;LDHB;CDH3;SMPD1;CTSC
TAAR6 knockdown 96h PC3	5/300	0.0035415715733515337	0.16730076149767137	0	0	5.2830239440408935	29.81307990700344	LDHB;TGFB1;AP1S2;EMILIN1;ICAM1
ACVR1 knockdown 96h A375	4/300	0.019080483989019452	0.28014791694688695	0	0	4.146114864864865	16.41483877824247	TGFB1;SMPD1;STX11;LIMS1
GABRA5 knockdown 96h A375	4/300	0.019080483989019452	0.28014791694688695	0	0	4.146114864864865	16.41483877824247	PDGFRA;MBNL1;TMEM158;SMPD1
GPR128 knockdown 96h A375	4/300	0.019080483989019452	0.28014791694688695	0	0	4.146114864864865	16.41483877824247	LDHB;TGFB1;COTL1;TGFBI
GPR26 knockdown 96h A375	4/300	0.019080483989019452	0.28014791694688695	0	0	4.146114864864865	16.41483877824247	LDHB;TGFB1;COTL1;TGFBI
JAK1 knockdown 96h A375	4/300	0.019080483989019452	0.28014791694688695	0	0	4.146114864864865	16.41483877824247	MBNL1;TGFB1;ITGB5;GNG11
LPHN1 knockdown 96h A375	4/300	0.019080483989019452	0.28014791694688695	0	0	4.146114864864865	16.41483877824247	PHTF2;LDHB;EMILIN1;FURIN
MAP2K6 knockdown 96h A375	4/300	0.019080483989019452	0.28014791694688695	0	0	4.146114864864865	16.41483877824247	LDHB;COTL1;AP1S2;TGFBI
NEK9 knockdown 96h A375	4/300	0.019080483989019452	0.28014791694688695	0	0	4.146114864864865	16.41483877824247	LYN;ACSL4;STX11;LIMS1
NMUR2 knockdown 96h A375	4/300	0.019080483989019452	0.28014791694688695	0	0	4.146114864864865	16.41483877824247	LDHB;COTL1;AP1S2;TGFBI
NR1H3 knockdown 96h A375	4/300	0.019080483989019452	0.28014791694688695	0	0	4.146114864864865	16.41483877824247	PHTF2;SMPD1;EMILIN1;FURIN
O3FAR1 knockdown 96h A375	4/300	0.019080483989019452	0.28014791694688695	0	0	4.146114864864865	16.41483877824247	LYN;SMPD1;ST3GAL6;GNG11
OXER1 knockdown 96h A375	4/300	0.019080483989019452	0.28014791694688695	0	0	4.146114864864865	16.41483877824247	MBNL1;ZNF185;TMEM158;SMPD1
PHKG2 knockdown 96h A375	4/300	0.019080483989019452	0.28014791694688695	0	0	4.146114864864865	16.41483877824247	PDGFRA;TGFB1;ITGB5;GNG11
PIK3CG knockdown 96h A375	4/300	0.019080483989019452	0.28014791694688695	0	0	4.146114864864865	16.41483877824247	LYN;SMPD1;ST3GAL6;GNG11
