Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
FZD8 knockdown 96h HEPG2	5/300	0.0035415715733515337	0.6428014394460059	0	0	5.2830239440408935	29.81307990700344	SMAD2;CDH3;LCN2;ACSL4;ITGA5
MRGPRX4 knockdown 96h HEPG2	4/300	0.019080483989019452	0.6428014394460059	0	0	4.146114864864865	16.41483877824247	SMAD2;CDH3;TPM1;ITGA5
MAP2K4 knockdown 96h A375	4/300	0.019080483989019452	0.6428014394460059	0	0	4.146114864864865	16.41483877824247	CDKN1A;SMPD1;ACSL4;FURIN
GPR82 knockdown 96h HT29	4/300	0.019080483989019452	0.6428014394460059	0	0	4.146114864864865	16.41483877824247	LYN;HHEX;TMEM158;TMEM40
MERTK knockdown 96h HT29	4/300	0.019080483989019452	0.6428014394460059	0	0	4.146114864864865	16.41483877824247	LYN;HHEX;TMEM40;NID1
NR1H3 knockdown 96h HT29	4/300	0.019080483989019452	0.6428014394460059	0	0	4.146114864864865	16.41483877824247	LYN;ST3GAL6;IGF2BP3;STX11
P2RY12 knockdown 96h HT29	4/300	0.019080483989019452	0.6428014394460059	0	0	4.146114864864865	16.41483877824247	HHEX;TMEM158;TGFB1I1;TMEM40
GPR142 knockdown 96h HA1E	4/300	0.019080483989019452	0.6428014394460059	0	0	4.146114864864865	16.41483877824247	CDKN1A;CDH3;TSPAN2;LYST
KSR2 knockdown 96h PC3	4/300	0.019080483989019452	0.6428014394460059	0	0	4.146114864864865	16.41483877824247	SOCS2;LYN;CDKN1A;MYL9
GPR119 knockdown 96h HEPG2	4/300	0.019080483989019452	0.6428014394460059	0	0	4.146114864864865	16.41483877824247	SMAD2;CDH3;LCN2;ITGA5
ADORA2A knockdown 96h A375	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	CDH3;ST3GAL6;GNG11
MRGPRF knockdown 96h HEPG2	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	SMAD2;LCN2;ITGA5
NMUR2 knockdown 96h HEPG2	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	SOCS2;FHL1;TPM1
OXER1 knockdown 96h HEPG2	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	ELMO1;LTBP1;SNCA
GPR142 knockdown 96h A375	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	SMPD1;ACSL4;FURIN
JAK3 knockdown 96h A375	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	PHTF2;SMPD1;ICAM1
MAPKAPK2 knockdown 96h A375	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	LDHB;SERPINE1;TSPAN2
CCRL2 knockdown 96h HT29	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	HHEX;TMEM40;IGF2BP3
CIT knockdown 96h HT29	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	LYN;TMEM158;TMEM40
GPR62 knockdown 96h HT29	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	LYN;ITGB5;TGFB1I1
GRIN3A knockdown 96h HT29	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	TMEM158;TGFB1I1;TMEM40
STK3 knockdown 96h A375	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	LDHB;SMPD1;ILK
ADRBK1 knockdown 96h A549	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	ST3GAL6;TCF4;MYL9
BDKRB2 knockdown 96h A549	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	SLC2A3;MYL9;ICAM1
NR2F1 knockdown 96h HT29	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	CDKN1A;ITGB5;TSPAN2
OXSR1 knockdown 96h HT29	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	PDGFRA;ST3GAL6;TSPAN2
PRLHR knockdown 96h HT29	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	HHEX;ZNF185;IGF2BP3
STK38L knockdown 96h HT29	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	CDKN1A;CDH3;ITGB5
OR52B2 knockdown 96h A549	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	TGFB1I1;TPM1;TFPI
GPR179 knockdown 96h MCF7	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	SOCS2;SMAD2;TSPAN2
GPR34 knockdown 96h MCF7	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	PHTF2;FUT8;TNS3
MAST4 knockdown 96h MCF7	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	SMAD2;TSPAN2;STX11
NEK9 knockdown 96h MCF7	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	SOCS2;SMAD2;TSPAN2
ESR1 knockdown 96h HA1E	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	PHTF2;SMPD1;STX11
FLT4 knockdown 96h HA1E	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	CDKN1A;TSPAN2;LYST
FZD8 knockdown 96h HA1E	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	LCN2;ITGA5;LRRC32
GPR174 knockdown 96h HA1E	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	CDH3;LCN2;LYST
GPR4 knockdown 96h HA1E	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	TSPAN2;LYST;ICAM1
GPR62 knockdown 96h HA1E	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	LCN2;LRRC32;LIMS1
ADORA2B knockdown 96h PC3	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	SOCS2;CDKN1A;LRRC32
BCKDK knockdown 96h PC3	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	SOCS2;LYN;CDKN1A
CHRM1 knockdown 96h PC3	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	TMEM158;TSPAN2;MYL9
NEK9 knockdown 96h HA1E	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	ST3GAL6;LYST;ICAM1
P2RY6 knockdown 96h HA1E	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	CDKN1A;TSPAN2;LYST
FZD6 knockdown 96h PC3	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	SOCS2;TMEM158;TSPAN2
PAK2 knockdown 96h HA1E	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	SOCS2;TSPAN2;LRRC32
PIM3 knockdown 96h HA1E	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	LCN2;ITGA5;LRRC32
GPR26 knockdown 96h PC3	3/300	0.08230213603096934	0.6428014394460059	0	0	3.051282051282051	7.6201443044724835	CDKN1A;MYL9;LIMS1
