Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Epithelial Mesenchymal Transition	9/200	2.4722172684661926E-8	9.64164734701815E-7	0	0	15.76617268613009	276.15342747426	SPARC;TGFB1;ITGB5;SERPINE1;TPM1;ITGA5;TGFBI;DKK1;MYL9
Apical Junction	8/200	3.84399036008612E-7	7.495781202167934E-6	0	0	13.708333333333334	202.49380648550172	CDH3;CDH1;PECAM1;ADAM9;NEXN;TGFBI;MYL9;ICAM1
Coagulation	6/138	7.453036126831674E-6	9.688946964881177E-5	0	0	14.516129032258064	171.39032527919866	SPARC;SERPINE1;PECAM1;ADAM9;FURIN;CLU
TGF-beta Signaling	4/54	3.400003748412858E-5	3.3150036547025365E-4	0	0	24.8525	255.7110738045548	TGFB1;CDH1;SERPINE1;FURIN
Myogenesis	6/200	6.063573890742817E-5	3.3782768819852835E-4	0	0	9.84602593947456	95.61107634878178	CDKN1A;SPARC;TGFB1;ITGB5;FHL1;CLU
Complement	6/200	6.063573890742817E-5	3.3782768819852835E-4	0	0	9.84602593947456	95.61107634878178	LYN;CA2;SERPINE1;ADAM9;CLU;CTSC
Inflammatory Response	6/200	6.063573890742817E-5	3.3782768819852835E-4	0	0	9.84602593947456	95.61107634878178	LYN;CDKN1A;SERPINE1;ITGA5;CHST2;ICAM1
IL-2/STAT5 Signaling	5/199	5.816023574254214E-4	0.0023203461076392066	0	0	8.074783177875961	60.1549026307567	SOCS2;PHTF2;CA2;SLC2A3;FURIN
Hypoxia	5/200	5.949605404203094E-4	0.0023203461076392066	0	0	8.032967032967033	59.66097044986614	CDKN1A;SERPINE1;SLC2A3;TGFBI;CHST2
KRAS Signaling Up	5/200	5.949605404203094E-4	0.0023203461076392066	0	0	8.032967032967033	59.66097044986614	TMEM158;CA2;PECAM1;TFPI;GNG11
UV Response Up	4/158	0.002061982582675937	0.007310665520396504	0	0	8.026785714285714	49.6383439184849	LYN;CA2;FURIN;ICAM1
TNF-alpha Signaling via NF-kB	4/200	0.004798605118984624	0.013367542831457167	0	0	6.293367346938775	33.6029944353692	CDKN1A;SERPINE1;SLC2A3;ICAM1
mTORC1 Signaling	4/200	0.004798605118984624	0.013367542831457167	0	0	6.293367346938775	33.6029944353692	FADS2;CDKN1A;SLC2A3;CTSC
Allograft Rejection	4/200	0.004798605118984624	0.013367542831457167	0	0	6.293367346938775	33.6029944353692	SRGN;LYN;TGFB1;ICAM1
UV Response Dn	3/144	0.013026058841074854	0.03386775298679462	0	0	6.478232405891981	28.120733264278865	SERPINE1;TFPI;LTBP1
Fatty Acid Metabolism	3/158	0.016670780089949634	0.04063502646925223	0	0	5.88893300248139	24.109867574878994	CA2;ALDH1A1;ACSL4
