Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BL6096 (MOV10)	5/435	0.016174081209388763	0.790627972341834	0	0	3.599483204134367	14.845511431444839	LDHB;SERPINB1;ZNF185;IGF2BP3;MYL9
SC-6243 (TP53)	4/308	0.020789046065890077	0.790627972341834	0	0	4.035361842105263	15.630284300493793	LDHB;ZNF185;TPM1;MYL9
BL4015 (PPP1R13B)	4/351	0.03156849012268451	0.790627972341834	0	0	3.5275576368876083	12.189813368003312	LDHB;IGF2BP3;CLU;MYL9
SC-8396 (CCND1)	5/524	0.0327603756021367	0.790627972341834	0	0	2.9686209744013214	10.148336349704973	LDHB;CDKN1A;ZNF185;ACSL4;IGF2BP3
a-CCND1 (Ab3) (CCND1)	3/208	0.033919376211903975	0.790627972341834	0	0	4.4413508442776735	15.028504675237174	CDKN1A;ZNF185;TPM1
SC-543 (ESR1)	4/362	0.034768343800844675	0.790627972341834	0	0	3.4172486033519553	11.47870197412892	LDHB;ZNF185;TPM1;MYL9
BL323 (MSH2)	2/107	0.05140852529837608	0.790627972341834	0	0	5.722077922077922	16.9828483697141	TPM1;MYL9
BL3602 (TP53BP2)	3/249	0.052938236527244255	0.790627972341834	0	0	3.6934333958724204	10.853631940116054	LDHB;SERPINB1;MYL9
BL1870 (TRIP4)	3/258	0.05767709038467742	0.790627972341834	0	0	3.561447963800905	10.160437912705177	LDHB;SERPINB1;LTBP1
a-ABIN1 (TNIP1)	4/431	0.05902775786811922	0.790627972341834	0	0	2.854947306791569	8.078779928005996	LDHB;TPM1;ACSL4;IGF2BP3
BL695 (CC2D1A)	2/117	0.060211953164582034	0.790627972341834	0	0	5.221870882740448	14.672853473877986	LDHB;TPM1
BL4857 (CIC)	2/132	0.07429682283037219	0.790627972341834	0	0	4.615850815850816	11.999767773212445	ILK;LIMS1
BL2418 (UBAP2L)	2/137	0.07920615196997925	0.790627972341834	0	0	4.443771043771044	11.26807604276484	TPM1;MYL9
CBC2032 (ZMYND8)	3/307	0.0867872660230652	0.790627972341834	0	0	2.9799595141700403	7.2839012518598265	ZNF185;TPM1;MYL9
a-AKT (BS) (AKT1)	2/150	0.09242290572153437	0.790627972341834	0	0	4.05077805077805	9.646443591128198	LDHB;TPM1
BL5345 (PTPN12)	2/160	0.10299574462384833	0.790627972341834	0	0	3.792481779823552	8.62056747982523	TPM1;IGF2BP3
BL444 (NRIP1)	1/33	0.10638564563751896	0.790627972341834	0	0	9.281716417910447	20.797399230359275	ZEB2
BL1689 (MAD1L1)	2/169	0.11278200072474157	0.790627972341834	0	0	3.586463436762838	7.826733852569171	FADS2;LDHB
BL2605 (PPARGC1B)	1/48	0.15097813695287216	0.790627972341834	0	0	6.314703080342966	11.938705459864398	NEXN
BL1100 (HIPK2)	2/203	0.15166282644565787	0.790627972341834	0	0	2.9746720940750793	5.610515558866865	LDHB;TPM1
BL1854 (RBM14)	2/211	0.16116834082045525	0.790627972341834	0	0	2.8596491228070176	5.219734315968971	LDHB;IGF2BP3
SC-22811 (PLAGL1)	1/52	0.16249442011804227	0.790627972341834	0	0	5.818261633011414	10.572430795578446	STX11
BL5697 (ARAP1)	1/53	0.16534935780163626	0.790627972341834	0	0	5.7060849598163035	10.269210993651246	ITGA5
SC-10771 (SYK)	1/54	0.16819470601465605	0.790627972341834	0	0	5.598141368628555	9.979431577576143	ZNF185
BL6439 (CCNL2)	1/55	0.17103049655945946	0.790627972341834	0	0	5.494195688225539	9.702273765685264	TNS3
BL2212 (LATS1)	2/220	0.1719903840210432	0.790627972341834	0	0	2.740339171531832	4.823864836320689	LDHB;MYL9
BL2502 (REST)	3/422	0.17322907211443597	0.790627972341834	0	0	2.149403341288783	3.7682059282643814	TPM1;IGF2BP3;MYL9
BL5495 (RAD18)	3/429	0.1791228845823529	0.790627972341834	0	0	2.113326110509209	3.6342514139267306	LDHB;SERPINB1;ZNF185
BL5990 (ZNF592)	3/435	0.18421924259229677	0.790627972341834	0	0	2.0833333333333335	3.524226447626817	ZNF185;TPM1;MYL9
BL173 (MDM2)	1/61	0.1878462919472579	0.790627972341834	0	0	4.943283582089553	8.265818938373865	ABCC4
a-PTEN (WG) (PTEN)	2/235	0.1902831753912756	0.790627972341834	0	0	2.5619716478085577	4.25093075477962	LDHB;TPM1
BL5201 (ROBO1)	1/62	0.19061605836126963	0.790627972341834	0	0	4.862001468069488	8.05873845423038	NEXN
SC-596 (CCNA2)	2/236	0.19151255635963496	0.790627972341834	0	0	2.550893550893551	4.216121717954221	LDHB;IGF2BP3
JQ006 (MSH2)	2/237	0.19274304590989338	0.790627972341834	0	0	2.5399097356544167	4.181700646535226	LDHB;IGF2BP3
BL1936 (SMG5)	2/238	0.19397462264890877	0.790627972341834	0	0	2.5290190035952747	4.1476618255831035	LDHB;MYL9
BL2441 (RNF4)	2/247	0.2051042830432349	0.790627972341834	0	0	2.435003092145949	3.8576213396859873	LDHB;MYL9
BL4285 (HGS)	1/68	0.2070402731221201	0.790627972341834	0	0	4.425261750946759	6.969087838460738	LDHB
BL697 (CC2D1A)	3/467	0.21202298891582488	0.790627972341834	0	0	1.936472148541114	3.0035855981980357	FADS2;ABCC4;ZNF185
MBNL1 (MBNL1)	1/71	0.21512879251579178	0.790627972341834	0	0	4.234968017057569	6.507106261492183	MBNL1
CS-2947B (CDKN1A)	1/71	0.21512879251579178	0.790627972341834	0	0	4.234968017057569	6.507106261492183	CDKN1A
BL1745 (CITED1)	1/74	0.2231360067399509	0.790627972341834	0	0	4.060314864035984	6.090365906619958	LDHB
BL2227 (FIGNL1)	2/263	0.22505758497847422	0.790627972341834	0	0	2.2838732149076977	3.406166174678935	TPM1;MYL9
BL1819 (IRF3)	1/76	0.22842937794204438	0.790627972341834	0	0	3.9516417910447763	5.834710479551735	LDHB
BL119 (ATR)	2/270	0.23383805421391282	0.790627972341834	0	0	2.223428312980552	3.2309225562584105	TPM1;MYL9
BL1020 (FAM184B)	2/271	0.23509435511808896	0.790627972341834	0	0	2.215050129548271	3.2068794364054622	ZNF185;LYST
BL844 (PRKD2)	2/273	0.23760824366902927	0.790627972341834	0	0	2.198479257519848	3.159504884664673	LDHB;TPM1
BL1774 (STK10)	1/81	0.2415078280197289	0.790627972341834	0	0	3.703731343283582	5.262459243103678	NID1
BL5499 (STC2)	1/82	0.24409718453445833	0.790627972341834	0	0	3.657822001105583	5.158219748994968	ACSL4
BL1026 (INTS7)	1/83	0.24667783096892745	0.790627972341834	0	0	3.6130323989807063	5.0570607239824845	ZEB2
SATB1 mouse (SATB1)	3/507	0.24797077434405113	0.790627972341834	0	0	1.779120879120879	2.4808851203903215	LDHB;TPM1;MYL9
BL2182 (TSC2)	1/84	0.24924979622193555	0.790627972341834	0	0	3.5693220643769106	4.958858029359107	ADAM9
BL5901 (MARVELD2)	1/85	0.2518131090886944	0.790627972341834	0	0	3.526652452025586	4.863493886554074	TPM1
CBC621 (ZNF687)	2/287	0.25524285477593733	0.790627972341834	0	0	2.0889952153110047	2.852606140627811	ZNF185;TPM1
a-FTO (78) (FTO)	3/516	0.25619831394079795	0.790627972341834	0	0	1.7470985155195682	2.3792048218596027	LDHB;ACSL4;IGF2BP3
BL2266 (TDP1)	1/90	0.26450088736254107	0.790627972341834	0	0	3.327687405668288	4.425526996612212	NEXN
BL521 (EGLN1)	1/91	0.267012884576819	0.790627972341834	0	0	3.2905472636815922	4.345030659440961	TPM1
BL2254 (PRKRIR)	1/92	0.26951642818117105	0.790627972341834	0	0	3.254223388551747	4.266696674846698	LDHB
BL5212 (DOCK10)	1/93	0.27201154612174716	0.790627972341834	0	0	3.2186891628812457	4.190446069088838	TGFB1I1
BL324 (PMS2)	2/302	0.27417385113381665	0.790627972341834	0	0	1.983030303030303	2.5660270941563996	LDHB;TPM1
BL663 (RFC3)	1/94	0.2744982663755415	0.790627972341834	0	0	3.1839191141068848	4.116203532141284	LDHB
BL2074 (RECQL)	1/94	0.2744982663755415	0.790627972341834	0	0	3.1839191141068848	4.116203532141284	LDHB
BL3041 (ERBB4)	1/95	0.2769766167917756	0.790627972341834	0	0	3.149888853604319	4.043897213448032	LDHB
BL1296 (IRS1)	1/97	0.28190831896599916	0.790627972341834	0	0	3.083955223880597	3.9048219816902465	IGF2BP3
BL6476 (EEF2K)	1/100	0.2892437892552286	0.790627972341834	0	0	2.990049751243781	3.7091130169332227	LDHB
BL6340 (ANKRD17)	1/101	0.2916725002039585	0.790627972341834	0	0	2.96	3.6470860951483375	LDHB
BL5941 (WNK1)	3/559	0.2959790051742	0.790627972341834	0	0	1.6084117321527394	1.958187813275957	LDHB;SERPINB1;MYL9
BL320 (BRCA2)	2/321	0.2981317025678703	0.790627972341834	0	0	1.8631138975966561	2.2547775803904053	LDHB;SERPINB1
BL1751 (MED14)	1/104	0.29890967659678974	0.790627972341834	0	0	2.873351688161136	3.4698992548600436	ZNF185
BL2853 (MED18)	1/104	0.29890967659678974	0.790627972341834	0	0	2.873351688161136	3.4698992548600436	ZEB2
SC-585 (EP300)	1/104	0.29890967659678974	0.790627972341834	0	0	2.873351688161136	3.4698992548600436	CLU
BL8409 (ASAP1)	1/105	0.3013058400434301	0.790627972341834	0	0	2.8455797933409874	3.4136413230271643	ZNF185
BL4557 (ATXN10)	1/106	0.30369393396631833	0.790627972341834	0	0	2.8183368869936034	3.3587103743546707	MBNL1
