Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ITGB1	6/129	5.053500057342767E-6	9.146835103790408E-4	0	0	15.585365853658537	190.07023009609833	SPARC;TMEM158;ITGB5;PECAM1;ILK;ITGA5
PTK2	6/163	1.9265276319946236E-5	0.0017435075069551344	0	0	12.189233614136018	132.34102321821587	SOCS2;LYN;PDGFRA;ITGB5;TGFB1I1;SNCA
CAV1	5/125	6.694733337908297E-5	0.0036492506890548376	0	0	13.103174603174603	125.94252957777593	SMAD2;PDGFRA;ITGB5;CDH1;ILK
CASP8	5/130	8.064642406751022E-5	0.0036492506890548376	0	0	12.575873015873016	118.53308742829785	LYN;SPARC;CDH3;CDH1;ILK
FYN	8/433	1.0734850813988754E-4	0.0038860159946639294	0	0	6.119843137254902	55.93187754101546	LYN;LDHB;CDH1;TGFB1I1;SERPINE1;PECAM1;PAG1;SNCA
CTNNB1	7/337	1.455003222386182E-4	0.004389259720864983	0	0	6.81639344262295	60.225100857670256	SMAD2;LDHB;CDH3;CDH1;PECAM1;TCF4;SNCA
SRC	8/513	3.397514795884583E-4	0.008785002543644423	0	0	5.129240924092409	40.96876628547492	LYN;PDGFRA;ITGB5;CDH1;PECAM1;TNS3;PAG1;SNCA
LYN	5/197	5.555636670827376E-4	0.012569627967746938	0	0	8.159722222222221	61.16142102992537	LYN;SERPINE1;PECAM1;PAG1;SNCA
CSNK2A1	8/564	6.357215401950996E-4	0.012785066530590337	0	0	4.64652278177458	34.20189219599835	LYN;CDKN1A;HHEX;CDH1;FURIN;TCF4;TFPI;SNCA
JUN	5/211	7.575920179677691E-4	0.01371241552521662	0	0	7.599784250269687	54.60722795522904	SMAD2;CDKN1A;HHEX;TPM1;TCF4
IL7R	4/127	9.224751608091223E-4	0.014299667421776685	0	0	10.065548780487806	70.34258546574587	SOCS2;LYN;LDHB;COTL1
RFC1	4/128	9.498154512117131E-4	0.014299667421776685	0	0	9.983870967741936	69.48018268874792	SPARC;TGFB1;SERPINE1;ICAM1
EGFR	7/467	0.0010270479363707011	0.014299667421776685	0	0	4.857590876692801	33.425406692725495	LYN;CDH1;TPM1;ITGA5;MYL9;PAG1;ICAM1
XRCC6	4/141	0.00135908006250068	0.017570963665187362	0	0	9.030565693430656	59.610287624167505	CDKN1A;PECAM1;TCF4;CLU
APP	5/247	0.0015268609585078028	0.01842412223266082	0	0	6.457431457431458	41.873481056566426	TGFB1;SERPINE1;NID1;CLU;SNCA
PTPN11	4/168	0.0025756241010343357	0.029136747642950923	0	0	7.533536585365853	44.91240937044652	LYN;PDGFRA;PECAM1;PAG1
PRKCD	4/173	0.0028627531927632325	0.03000079116518564	0	0	7.308801775147929	42.80013461955393	LYN;PDGFRA;SMPD1;ADAM9
ERBB2	4/175	0.0029835040937753673	0.03000079116518564	0	0	7.222587719298246	41.996868787412986	LYN;CDH1;ITGA5;TNS3
INSR	4/202	0.004969770136177642	0.04734359971832386	0	0	6.229166666666667	33.04187761192841	SOCS2;LYN;SMAD2;PAG1
HDAC2	4/214	0.0060835461512987	0.05416238932810224	0	0	5.869642857142857	29.947901048491435	SMAD2;CDKN1A;ZEB2;CDH1
TGFBR1	4/216	0.006284034120940039	0.05416238932810224	0	0	5.813679245283019	29.47386040677004	SMAD2;TGFB1;CLU;LIMS1
EP300	5/357	0.007329198061084311	0.057775324804907546	0	0	4.4146825396825395	21.702090103935728	SMAD2;CDKN1A;CDH1;TGFB1I1;TCF4
PLCG2	3/121	0.008134084290679876	0.057775324804907546	0	0	7.7499348109517605	37.29030017350918	LYN;PDGFRA;ICAM1
SMAD2	5/370	0.00848278241204162	0.057775324804907546	0	0	4.254620569689063	20.293335074291928	SMAD2;ZEB2;TGFB1;FHL1;TCF4
PIK3CA	3/125	0.008889101045073762	0.057775324804907546	0	0	7.494325346784363	35.39516917144083	PDGFRA;TPM1;PECAM1
CDH1	3/127	0.009281521071888538	0.057775324804907546	0	0	7.372704714640198	34.502266232543164	CDH3;CDH1;ADAM9
PLCG1	4/244	0.009565994450061578	0.057775324804907546	0	0	5.128125	23.843425973455957	LYN;PDGFRA;PECAM1;ICAM1
SMAD9	3/129	0.009683953640508893	0.057775324804907546	0	0	7.254945054945055	33.64324807604344	SMAD2;ZEB2;DKK1
ACTG1	4/246	0.00983586016182588	0.057775324804907546	0	0	5.0852272727272725	23.50249848111384	CDH1;TPM1;MYL9;SNCA
UBC	6/540	0.010034820713362	0.057775324804907546	0	0	3.5154041319318594	16.176814674587522	SMAD2;CDKN1A;CDH1;TCF4;ITGA5;SNCA
SMURF1	3/131	0.010096449268684683	0.057775324804907546	0	0	7.140865384615385	32.81635726479536	SMAD2;GNG11;LIMS1
PRKCA	6/547	0.010647195927831109	0.057775324804907546	0	0	3.468666149901616	15.756272780852285	LYN;CDKN1A;ITGB5;ILK;MYL9;PAG1
CDK4	3/135	0.010951819779618215	0.057775324804907546	0	0	6.923076923076923	31.252497553441177	LYN;SMAD2;CDKN1A
FLNA	3/135	0.010951819779618215	0.057775324804907546	0	0	6.923076923076923	31.252497553441177	SMAD2;ITGB5;FURIN
SYK	3/136	0.011172024133545658	0.057775324804907546	0	0	6.870676691729323	30.87917405822662	LYN;PAG1;SNCA
MAPK1	5/406	0.012324996699962346	0.061967344519255126	0	0	3.8655345762577684	16.993376385094315	SMAD2;CDKN1A;FHL1;PECAM1;SNCA
HSPA1A	3/145	0.013269431877824341	0.0649126262131407	0	0	6.43228602383532	27.80221999250932	SMAD2;CDH1;SNCA
IRS1	3/157	0.016393397240387637	0.07808433948710954	0	0	5.927472527472528	24.367108303052532	SOCS2;LYN;CDH1
UBQLN4	3/171	0.020517310400763916	0.09336445888507608	0	0	5.42967032967033	21.102339563480065	SRGN;TGFB1I1;SERPINE1
CALM3	3/172	0.020831754652839284	0.09336445888507608	0	0	5.397269003186163	20.89432222381095	TCF4;LYST;SNCA
PTPN6	3/173	0.02114885532755867	0.09336445888507608	0	0	5.365248868778281	20.689309029358768	LYN;PECAM1;PAG1
PAK1	3/176	0.02211610178581235	0.09530986721981036	0	0	5.271409515340151	20.091710361107616	SMAD2;ILK;MYL9
CBL	3/180	0.023442980776582335	0.09867859350142798	0	0	5.151238591916558	19.333547067584487	LYN;PDGFRA;ITGA5
PPP1CA	3/184	0.024812396689066294	0.1020691772891136	0	0	5.036379090522737	18.616531523586083	CDH1;MYL9;SNCA
SMAD3	4/328	0.025463915319772663	0.10220243031097383	0	0	3.7824074074074074	13.883299588625736	SMAD2;ZEB2;TGFB1;FHL1
CREBBP	4/334	0.02698055965136802	0.10220243031097383	0	0	3.7125	13.411921118893693	LYN;SMAD2;CDKN1A;CDH1
STAT3	3/192	0.027678734085723217	0.10220243031097383	0	0	4.821245421245421	17.29424549610241	LYN;PDGFRA;CDKN1A
CASP3	3/193	0.028048964064617463	0.10220243031097383	0	0	4.7956275303643725	17.138630833668177	LYN;CDKN1A;CDH1
PRKCE	3/193	0.028048964064617463	0.10220243031097383	0	0	4.7956275303643725	17.138630833668177	TPM1;PECAM1;SNCA
ACTB	4/339	0.028285177291279134	0.10220243031097383	0	0	3.6561567164179105	13.035724708671829	LYN;TPM1;MYL9;SNCA
SHC1	3/195	0.028797369866627984	0.10220243031097383	0	0	4.7451923076923075	16.8334331453117	LYN;PDGFRA;PAG1
MDM2	3/197	0.029556360505353877	0.1028788702205587	0	0	4.695796986518636	16.5360439416341	CDKN1A;CDH1;CLU
HDAC1	4/346	0.030174236553460878	0.10304786445615885	0	0	3.580043859649123	12.53289873276352	SMAD2;CDKN1A;ZEB2;CDH1
MAPK8	4/352	0.031851848102313965	0.10676267604664495	0	0	3.5172413793103448	12.12273472733141	SMAD2;CDKN1A;ELK3;SNCA
CALM1	4/359	0.03387754136282432	0.11148790884856732	0	0	3.446654929577465	11.666937210462065	SMAD2;TCF4;LYST;SNCA
YWHAE	3/215	0.03686105534646928	0.11914019674483821	0	0	4.293178519593614	14.170063716380218	LDHB;TGFB1;SNCA
GRB2	6/767	0.045868059476224854	0.14565120640695964	0	0	2.4379212411512867	7.513639807500906	PDGFRA;TPM1;NEXN;CLU;PAG1;ELK3
DLG4	4/409	0.05050863300112887	0.15762176850352286	0	0	3.013425925925926	8.996917612602225	LYN;LDHB;CLU;SNCA
YWHAB	6/812	0.05750657786168243	0.17641848462651727	0	0	2.2964059873529177	6.5582046799256375	LDHB;TPM1;ALDH1A1;CLU;LYST;SNCA
HSPA5	2/121	0.0638689379780881	0.1891589233982054	0	0	5.04532722179781	13.87930235503482	SPARC;SNCA
VCL	2/121	0.0638689379780881	0.1891589233982054	0	0	5.04532722179781	13.87930235503482	CDH1;TGFB1I1
HGS	2/122	0.06479476934082173	0.1891589233982054	0	0	5.003030303030303	13.690944511015365	SMAD2;LYST
ATN1	2/124	0.06666004783675228	0.19151537553098671	0	0	4.920516641828117	13.325494626622934	LYST;LTBP1
CSNK2A2	3/289	0.07546714648440257	0.21343052365120102	0	0	3.1704142011834318	8.192533746589273	CDH1;COTL1;SNCA
UBB	2/135	0.07723025902097096	0.21450201377115335	0	0	4.511050353155617	11.552637297305557	LYN;SNCA
JAK1	2/136	0.07821620391655316	0.21450201377115335	0	0	4.477159656264134	11.409049432048803	SOCS2;PDGFRA
PARP1	2/140	0.08219963952975794	0.21755805519293697	0	0	4.346508563899868	10.860205258153627	CDKN1A;TCF4
PDGFRB	2/140	0.08219963952975794	0.21755805519293697	0	0	4.346508563899868	10.860205258153627	LYN;PDGFRA
PIK3R1	3/301	0.08293649617852293	0.21755805519293697	0	0	3.0408879710893135	7.570838177671303	PDGFRA;PECAM1;ELK3
PIN1	2/145	0.08726537392079035	0.22379726942404587	0	0	4.193473193473194	10.227048831978788	SMAD2;SNCA
GSK3B	5/696	0.08778787916633843	0.22379726942404587	0	0	2.2099326947373257	5.376394620407792	SMAD2;CDKN1A;CDH1;ILK;ELK3
YWHAZ	4/500	0.09037481756509516	0.2271922497122531	0	0	2.449092741935484	5.88710370449883	LDHB;ACSL4;LYST;SNCA
MAPK3	3/326	0.09947101343532193	0.24663360865470232	0	0	2.8019528459156944	6.466596150257638	LYN;SMAD2;SNCA
JAK2	2/159	0.1019237151090067	0.24836531227719957	0	0	3.816830727658753	8.715849901310131	SOCS2;LYN
CAMK2A	2/160	0.10299574462384833	0.24836531227719957	0	0	3.792481779823552	8.62056747982523	SMAD2;SNCA
SMAD1	2/162	0.10514923169450556	0.24836531227719957	0	0	3.7446969696969696	8.434460652363063	SMAD2;ZEB2
ALB	2/164	0.1073150701434955	0.24836531227719957	0	0	3.698092031425365	8.254090345436586	SRGN;ITGB5
ACTA1	2/165	0.10840253961270035	0.24836531227719957	0	0	3.6752184420896077	8.16598168297992	COTL1;NEXN
SQSTM1	2/165	0.10840253961270035	0.24836531227719957	0	0	3.6752184420896077	8.16598168297992	SMAD2;SNCA
H2AFX	2/172	0.11609676934984665	0.2555965812914921	0	0	3.5226381461675578	7.585406686723329	LDHB;CLU
EPB41	2/172	0.11609676934984665	0.2555965812914921	0	0	3.5226381461675578	7.585406686723329	FHL1;TPM1
FOS	2/173	0.11720727208394388	0.2555965812914921	0	0	3.5018607123870282	7.507328759776381	SMAD2;CLU
RPS27A	2/173	0.11720727208394388	0.2555965812914921	0	0	3.5018607123870282	7.507328759776381	SMAD2;ICAM1
AKT1	3/355	0.12017158402702716	0.25894115129633233	0	0	2.5673076923076925	5.439700599891502	SMAD2;CDKN1A;ILK
DYNLL1	2/183	0.12845789260168228	0.27353974777534695	0	0	3.306713544282605	6.785885798364203	CA2;SNCA
EEF1A1	2/185	0.13073822671967983	0.27515836088676804	0	0	3.2702434177844015	6.653500641117103	SMAD2;SNCA
RPS6KA3	3/375	0.13530604760151166	0.2814987886882024	0	0	2.4267990074441688	4.854122317738175	SMAD2;CDKN1A;MYL9
CSNK1E	2/195	0.1422782026803828	0.29172361838774996	0	0	3.0992306484534464	6.043409776008359	CDH1;MYL9
LCK	2/196	0.1434442101464627	0.29172361838774996	0	0	3.08309903155264	5.9867897521058895	PECAM1;PAG1
NR3C1	2/209	0.15878134992923662	0.3193269370799092	0	0	2.8875713658322355	5.313787314010268	TGFB1I1;CLU
CRK	2/215	0.1659623462835603	0.3301009305200485	0	0	2.8053777208706787	5.038442525000758	PDGFRA;ELMO1
SMAD4	2/221	0.17320048920955083	0.33817155945428495	0	0	2.7276878372768785	4.782469973696842	SMAD2;FHL1
MAPK9	2/222	0.1744120385778482	0.33817155945428495	0	0	2.7151515151515153	4.741563418929793	SMAD2;ELK3
PRKAB1	2/223	0.17562500877736345	0.33817155945428495	0	0	2.7027286439051146	4.701137524712514	FHL1;COTL1
