Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Integrin signalling pathway Homo sapiens P00034	5/156	1.8995184487474617E-4	0.0030809222728817548	0	0	10.396825396825397	89.08769329683186	ITGB5;ELMO1;ILK;ITGA5;LIMS1
CCKR signaling map ST Homo sapiens P06959	5/165	2.464737818305404E-4	0.0030809222728817548	0	0	9.807539682539682	81.48353993707472	LYN;CDH1;SERPINE1;TCF4;CLU
Alzheimer disease-presenilin pathway Homo sapiens P00004	3/99	0.004671179559045147	0.03892649632537623	0	0	9.536538461538461	51.176342682414884	CDH3;CDH1;FURIN
Blood coagulation Homo sapiens P00011	2/38	0.007399505712787607	0.046246910704922546	0	0	16.747474747474747	82.16884002986536	SERPINE1;TFPI
Alzheimer disease-amyloid secretase pathway Homo sapiens P00003	2/56	0.015586055257174922	0.07793027628587461	0	0	11.154882154882156	46.41968853471818	ADAM9;FURIN
p53 pathway Homo sapiens P00059	2/71	0.0243448282404302	0.10143678433512583	0	0	8.723320158102768	32.41093639935573	CDKN1A;SERPINE1
Parkinson disease Homo sapiens P00049	2/81	0.03106215577215819	0.10832684570806093	0	0	7.615266589950134	26.438416446487178	LYN;SNCA
Interleukin signaling pathway Homo sapiens P00036	2/86	0.0346645906265795	0.10832684570806093	0	0	7.16017316017316	24.07276391232094	CDKN1A;ELK3
Plasminogen activating cascade Homo sapiens P00050	1/15	0.049820691179205345	0.13839080883112595	0	0	21.23454157782516	63.6892892034775	SERPINE1
Endogenous cannabinoid signaling Homo sapiens P05730	1/23	0.07538340752257526	0.18845851880643816	0	0	13.507462686567164	34.919061481317286	GNG11
Interferon-gamma signaling pathway Homo sapiens P00035	1/28	0.09101474458249931	0.19254772025319664	0	0	11.003316749585407	26.372020695020453	SOCS2
Cadherin signaling pathway Homo sapiens P00012	2/150	0.09242290572153437	0.19254772025319664	0	0	4.05077805077805	9.646443591128198	CDH3;CDH1
Angiotensin II-stimulated signaling through G proteins and beta-arrestin Homo sapiens P05911	1/34	0.10942895092205149	0.20082507830216334	0	0	9.0	19.912318113121092	GNG11
GABA-B receptor II signaling Homo sapiens P05731	1/35	0.11246204384921146	0.20082507830216334	0	0	8.734855136084285	19.08687700448831	GNG11
Muscarinic acetylcholine receptor 2 and 4 signaling pathway Homo sapiens P00043	1/39	0.1244929653895161	0.2074882756491935	0	0	7.813825608798115	16.280153066858286	STX11
p53 pathway feedback loops 2 Homo sapiens P04398	1/45	0.14223866533448712	0.20917450784483402	0	0	6.746268656716418	13.156902962469523	CDKN1A
Ionotropic glutamate receptor pathway Homo sapiens P00037	1/45	0.14223866533448712	0.20917450784483402	0	0	6.746268656716418	13.156902962469523	STX11
Dopamine receptor mediated signaling pathway Homo sapiens P05912	1/52	0.16249442011804227	0.22568669460839202	0	0	5.818261633011414	10.572430795578446	GNG11
B cell activation Homo sapiens P00010	1/57	0.17667353092857396	0.23246517227443944	0	0	5.297441364605544	9.182858779101382	LYN
Nicotinic acetylcholine receptor signaling pathway Homo sapiens P00044	1/68	0.2070402731221201	0.2588003414026501	0	0	4.425261750946759	6.969087838460738	STX11
Endothelin signaling pathway Homo sapiens P00019	1/75	0.225787149721638	0.26879422585909285	0	0	4.00524405002017	5.960454154342527	FURIN
Wnt signaling pathway Homo sapiens P00057	2/278	0.24389967721993638	0.27715872411356407	0	0	2.158102766798419	3.0450793290761173	CDH3;CDH1
TGF-beta signaling pathway Homo sapiens P00052	1/88	0.2594514193818487	0.28201241237157465	0	0	3.40452907874421	4.593342297068813	SMAD2
PDGF signaling pathway Homo sapiens P00047	1/112	0.31785453081757564	0.3310984696016413	0	0	2.6651875756353367	3.0547352592063763	PDGFRA
Angiogenesis Homo sapiens P00005	1/142	0.3845105435747704	0.3845105435747704	0	0	2.09495077802477	2.0023205787480167	PDGFRA
