Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
up PDGF PTP1B KO vs wt MEF (Mouse) [18515860]	2/63	0.019467702440589405	0.353981195445874	0	0	9.871336313959265	38.88317865399663	TGFB1I1;TNS3
up 5min cross-link ZAP-70 null vs reconstituted Jurkat (Human) [19605366]	2/75	0.02695150041056095	0.353981195445874	0	0	8.243669572436696	29.79028318252327	LDHB;ADAM9
up PTP1B KO PDGF vs basal MEF (Mouse) [18515860]	2/75	0.02695150041056095	0.353981195445874	0	0	8.243669572436696	29.79028318252327	TGFB1I1;TNS3
up 7min cross-link ZAP-70 null vs reconstituted Jurkat (Human) [19605366]	2/83	0.03248423594099619	0.353981195445874	0	0	7.42648709315376	25.45057390679166	LDHB;ADAM9
up 2min cross-link ZAP-70 null vs reconstituted Jurkat (Human) [19605366]	2/90	0.03765782513635873	0.353981195445874	0	0	6.833333333333333	22.40796580046174	LDHB;ADAM9
up 3min cross-link ZAP-70 null vs reconstituted Jurkat (Human) [19605366]	2/91	0.03842118256658261	0.353981195445874	0	0	6.756213823629554	22.019489570010805	LDHB;ADAM9
up 0min cross-link ZAP-70 null vs reconstituted Jurkat (Human) [19605366]	2/93	0.039965618840663186	0.353981195445874	0	0	6.6070596070596075	21.272985843869264	LDHB;ADAM9
down G1-phase HeLa (Human) [18669648]	9/1439	0.053974022929156484	0.41829867770096274	0	0	1.9736636245110821	5.761622282574819	LYN;ABCC4;ADAM9;NEXN;ACSL4;LYST;TNS3;MYL9;ICAM1
down 10uM erlotinib vs ctrl KG-1 (Human) [22115753]	1/26	0.08479370378776746	0.49548962757380116	0	0	11.884776119402986	29.326088999262875	PAG1
down 10uM gefitinib vs ctrl KG-1 (Human) [22115753]	1/26	0.08479370378776746	0.49548962757380116	0	0	11.884776119402986	29.326088999262875	PAG1
down PTP1B KO EGF vs basal MEF (Mouse) [18515860]	1/27	0.08790945005341633	0.49548962757380116	0	0	11.427095292766934	27.784387663217135	TGFB1I1
down 5nM dasatinib vs ctrl K562 (Human) [19651622]	3/352	0.11795948722622823	0.5153977782436474	0	0	2.5897729777385936	5.535417128362158	LYN;ABCC4;TCF4
up 60min BMP4 vs ctrl hESC (Human) [19664995]	2/179	0.12392672340534963	0.5153977782436474	0	0	3.3821263482280433	7.062099072705064	ZNF185;MYL9
up starvation PTP1B KO vs wt MEF (Mouse) [18515860]	1/43	0.1363631698897331	0.5153977782436474	0	0	7.068230277185501	14.082979394345454	TGFB1I1
up Rapamycin vs Ctrl Exp1 MEFs (Mouse) [21659605]	5/837	0.1552226660154329	0.5153977782436474	0	0	1.8219627594627594	3.3941246552070123	CDH3;TGFB1I1;TPM1;NEXN;TNS3
up basal PTP1B KO vs wt MEF (Mouse) [18515860]	1/52	0.16249442011804227	0.5153977782436474	0	0	5.818261633011414	10.572430795578446	TGFB1I1
up EGF PTP1B KO vs wt MEF (Mouse) [18515860]	1/55	0.17103049655945946	0.5153977782436474	0	0	5.494195688225539	9.702273765685264	TGFB1I1
down 10min cross-link ZAP-70 null vs reconstituted Jurkat (Human) [19605366]	1/56	0.17385676102800038	0.5153977782436474	0	0	5.394029850746269	9.436982152284866	ADAM9
up 240min BMP4 vs ctrl hESC (Human) [19664995]	2/229	0.1829313792497486	0.5153977782436474	0	0	2.6304899212388198	4.468266377477336	ZNF185;MYL9
down 50nM dasatinib vs ctrl K562 (Human) [19651622]	3/451	0.1979971553098328	0.5153977782436474	0	0	2.00728021978022	3.2507955660013077	LYN;ABCC4;ADAM9
