Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Yaba monkey tumor virus 66R	3/50	6.571555344566322E-4	0.24278172476989643	0	0	19.527004909983635	143.08588265054038	ZNF185;TGFB1I1;LIMS1
Yaba-like disease virus 66R protein (gene: 66R)	3/59	0.0010664439232001095	0.24278172476989643	0	0	16.38131868131868	112.10433565253699	ZNF185;TGFB1I1;LIMS1
Human betaherpesvirus 6 U85, OX-2 homologue (gene: U85)	6/439	0.003755360786922013	0.24278172476989643	0	0	4.35796766743649	24.337379491243787	PDGFRA;CDH1;LCN2;NEXN;NID1;ICAM1
Human betaherpesvirus 6A membrane glycoprotein UL119 (gene: U85)	6/439	0.003755360786922013	0.24278172476989643	0	0	4.35796766743649	24.337379491243787	PDGFRA;CDH1;LCN2;NEXN;NID1;ICAM1
Murray Valley encephalitis virus NS3	2/33	0.005618568554412981	0.24278172476989643	0	0	19.453567937438905	100.80213187276532	LYN;TFPI
Sabia mammarenavirus Z protein	2/33	0.005618568554412981	0.24278172476989643	0	0	19.453567937438905	100.80213187276532	SMAD2;TGFB1I1
Yaba-like disease virus 10L protein (gene: 10L)	2/35	0.006303914158519729	0.24278172476989643	0	0	18.272727272727273	92.58031756768875	SERPINB1;SERPINE1
Human alphaherpesvirus 2 tegument protein VP22 (gene: UL49)	3/116	0.007245637445176084	0.24278172476989643	0	0	8.094894486044929	39.886424672316494	TPM1;ILK;STX11
Human alphaherpesvirus 1 tegument protein VP22 (gene: UL49)	3/121	0.008134084290679876	0.24278172476989643	0	0	7.7499348109517605	37.29030017350918	TPM1;ILK;STX11
Monkeypox virus bifunctional hemagglutinin/type-I membrane glycoprotein	5/384	0.009860248254630095	0.24278172476989643	0	0	4.09452611299577	18.913614904861006	ITGB5;PECAM1;NEXN;LRRC32;ICAM1
Enterovirus A VP3 (1C)	1/5	0.016886331477543003	0.24278172476989643	0	0	74.35820895522389	303.4744977483959	ICAM1
Cowpox virus SPI3 or CPXV042 protein (gene: SPI3)	2/59	0.01720418936683292	0.24278172476989643	0	0	10.566188197767145	42.92622107655824	SERPINB1;SERPINE1
Cercopithecine alphaherpesvirus 2 tegument protein VP22 (gene: UL49)	2/64	0.020052135821447128	0.24278172476989643	0	0	9.711632453567937	37.966846321627926	ILK;STX11
Vaccinia virus Ankara Interleukin-1 beta receptor	3/170	0.020205521820055885	0.24278172476989643	0	0	5.46245969599263	21.313421715816162	PDGFRA;CDH1;NID1
Norovirus Hu/GII.6/CHDC4073/1984/USA RNA-directed RNA polymerase (gene: POL)	1/6	0.02022973917450602	0.24278172476989643	0	0	59.483582089552236	232.02175076653654	MYL9
Rhinovirus A81 2A	1/7	0.023561944474411695	0.24278172476989643	0	0	49.56716417910448	185.78379790492124	ICAM1
Rhinovirus B14 protease 3C	1/7	0.023561944474411695	0.24278172476989643	0	0	49.56716417910448	185.78379790492124	ICAM1
Macacine alphaherpesvirus 1 tegument protein VP22 (gene: UL49)	2/72	0.02498622942542931	0.24278172476989643	0	0	8.598268398268399	31.722713064037848	ILK;STX11
Enterovirus C protease 3C	1/8	0.026882984076400464	0.24278172476989643	0	0	42.48400852878465	153.63329523076956	ICAM1
Rhinovirus A81 3C	1/8	0.026882984076400464	0.24278172476989643	0	0	42.48400852878465	153.63329523076956	ICAM1
Japanese encephalitis virus hypothetical protein	2/82	0.03177001359875819	0.24278172476989643	0	0	7.5196969696969695	25.93718244608623	ILK;TFPI
Monkeypox virus Zaire-96-I-16 B2R (gene: B2R)	6/702	0.031885153642752025	0.24278172476989643	0	0	2.674638487208009	9.215773904214599	PDGFRA;ITGB5;CDH1;LCN2;NEXN;ICAM1
Coxsackievirus A5 full_polyprotein 1..2191	2/83	0.03248423594099619	0.24278172476989643	0	0	7.42648709315376	25.45057390679166	LYN;ICAM1
Norovirus Hu/GII.4/20199/2009/VNM RNA-directed RNA polymerase (gene: POL)	1/10	0.03349171276321553	0.24278172476989643	0	0	33.039800995024876	112.21827165973407	MYL9
Norovirus Hu/GII.4/CHDC5191/1974/USA RNA-directed RNA polymerase (gene: POL)	1/10	0.03349171276321553	0.24278172476989643	0	0	33.039800995024876	112.21827165973407	MYL9
Norovirus Hu/GII.4/HS66/2001/USA RNA-directed RNA polymerase (gene: POL)	1/10	0.03349171276321553	0.24278172476989643	0	0	33.039800995024876	112.21827165973407	MYL9
Norovirus Hu/GII.4/NIHIC1.13/2012/USA RNA-directed RNA polymerase (gene: POL)	1/10	0.03349171276321553	0.24278172476989643	0	0	33.039800995024876	112.21827165973407	MYL9
Norovirus Hu/GII.4/NIHIC1.16/2012/USA RNA-directed RNA polymerase (gene: POL)	1/10	0.03349171276321553	0.24278172476989643	0	0	33.039800995024876	112.21827165973407	MYL9
Norovirus Hu/GII.4/NIHIC17.1/2012/USA RNA-directed RNA polymerase (gene: POL)	1/10	0.03349171276321553	0.24278172476989643	0	0	33.039800995024876	112.21827165973407	MYL9
Norovirus Hu/GII.4/NIHIC17.5/2012/USA RNA-directed RNA polymerase (gene: POL)	1/10	0.03349171276321553	0.24278172476989643	0	0	33.039800995024876	112.21827165973407	MYL9
Norovirus Hu/GII.4/NIHIC17.6/2012/USA RNA-directed RNA polymerase (gene: POL)	1/10	0.03349171276321553	0.24278172476989643	0	0	33.039800995024876	112.21827165973407	MYL9
Norovirus Hu/GII.4/NIHIC17.8/2013/USA RNA-directed RNA polymerase (gene: POL)	1/10	0.03349171276321553	0.24278172476989643	0	0	33.039800995024876	112.21827165973407	MYL9
Norovirus Hu/GII.4/NIHIC17.9/2013/USA RNA-directed RNA polymerase (gene: POL)	1/10	0.03349171276321553	0.24278172476989643	0	0	33.039800995024876	112.21827165973407	MYL9
Norovirus Hu/GII.4/NIHIC28.4/2012/USA RNA-directed RNA polymerase (gene: POL)	1/10	0.03349171276321553	0.24278172476989643	0	0	33.039800995024876	112.21827165973407	MYL9
Norovirus Hu/GII.4/NIHIC28.5/2012/USA RNA-directed RNA polymerase (gene: POL)	1/10	0.03349171276321553	0.24278172476989643	0	0	33.039800995024876	112.21827165973407	MYL9
Norovirus Hu/GII.4/NIHIC35/2013/USA RNA-directed RNA polymerase (gene: POL)	1/10	0.03349171276321553	0.24278172476989643	0	0	33.039800995024876	112.21827165973407	MYL9
