Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TGF-beta Receptor Signaling WP560	5/54	1.0873674145613202E-6	1.7227224257659177E-4	0	0	32.20440557175251	442.22287838407476	SMAD2;ZEB2;TGFB1;SERPINE1;LTBP1
TGF-beta receptor signaling in skeletal dysplasias WP4816	5/58	1.559024819697663E-6	1.7227224257659177E-4	0	0	29.767894579215334	398.03991539259016	SMAD2;ZEB2;TGFB1;SERPINE1;LTBP1
Primary focal segmental glomerulosclerosis (FSGS) WP2572	5/72	4.588864737975069E-6	3.3804636903083014E-4	0	0	23.531153755034353	289.24206876202595	CDKN1A;TGFB1;ILK;DKK1;LIMS1
Mammary gland development pathway - Embryonic development (Stage 1 of 4) WP2813	3/15	1.6610279367976186E-5	7.664506327677825E-4	0	0	76.61538461538461	843.1897584581213	ZEB2;TGFB1;CDH1
Epithelial to mesenchymal transition in colorectal cancer WP4239	6/160	1.734051205356974E-5	7.664506327677825E-4	0	0	12.428571428571429	136.24777999232273	SMAD2;ZEB2;SPARC;TGFB1;CDH1;ITGA5
TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition WP3859	3/18	2.9572170641587585E-5	0.0010892416186318095	0	0	61.283076923076926	639.101403760399	SMAD2;TGFB1;CDH1
Hippo-Merlin Signaling Dysregulation WP4541	5/120	5.511754416481073E-5	0.0017401396086318816	0	0	13.676328502415458	134.1106583552597	PDGFRA;CDH3;ITGB5;CDH1;ITGA5
Hypothesized Pathways in Pathogenesis of Cardiovascular Disease WP3668	3/25	8.194477284226889E-5	0.0021287896937535185	0	0	41.76923076923077	393.026116651049	SMAD2;SERPINE1;LTBP1
TGF-beta Signaling Pathway WP366	5/132	8.669279295828808E-5	0.0021287896937535185	0	0	12.37657792775903	115.75986365138787	SMAD2;CDKN1A;ZEB2;TGFB1;TGFB1I1
Endoderm differentiation WP2853	5/141	1.1833947172032776E-4	0.0026153023250192436	0	0	11.552287581699346	104.45524349118106	SMAD2;HHEX;TGFB1;TCF4;DKK1
Pathways Regulating Hippo Signaling WP4540	4/98	3.471244461048481E-4	0.006974045689924675	0	0	13.190159574468085	105.07053201620452	SMAD2;PDGFRA;CDH3;CDH1
Senescence and Autophagy in Cancer WP615	4/105	4.512442209666195E-4	0.00831041440280191	0	0	12.271658415841584	94.53474337185133	CDKN1A;SPARC;TGFB1;SERPINE1
Focal Adhesion WP306	5/198	5.684709026083959E-4	0.009039626262552447	0	0	8.117032650711407	60.655016985230795	PDGFRA;ITGB5;ILK;ITGA5;MYL9
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932	6/303	5.72646007582508E-4	0.009039626262552447	0	0	6.397849462365591	47.761499762194	PDGFRA;CDKN1A;ITGB5;SLC2A3;ITGA5;GNG11
Gastrin signaling pathway WP4659	4/114	6.156431587140632E-4	0.00907047587172053	0	0	11.2625	83.26189485157786	CDKN1A;CDH1;SERPINE1;TCF4
Cardiac Progenitor Differentiation WP2406	3/53	7.797400050951919E-4	0.010678237163756947	0	0	18.352615384615383	131.341410009703	PDGFRA;TGFB1;DKK1
The Overlap Between Signal Transduction Pathways that Contribute to a Range of LMNA Laminopathies WP4879	3/55	8.690133722139896E-4	0.010678237163756947	0	0	17.644970414201183	124.36443430473982	SMAD2;CDKN1A;TGFB1
Adipogenesis WP236	4/130	0.001006200463759213	0.010678237163756947	0	0	9.824404761904763	67.80385606749192	CDKN1A;MBNL1;TGFB1;SERPINE1
Omega-3/Omega-6 FA synthesis WP4723	2/14	0.0010095147214072258	0.010678237163756947	0	0	50.303030303030305	347.00466642918985	FADS2;ACSL4
Omega-9 FA synthesis WP4724	2/14	0.0010095147214072258	0.010678237163756947	0	0	50.303030303030305	347.00466642918985	FADS2;ACSL4
Complement and Coagulation Cascades WP558	3/58	0.001014674119633013	0.010678237163756947	0	0	16.68	114.97837221112536	SERPINE1;TFPI;CLU
Endometrial cancer WP4155	3/63	0.0012901386995615906	0.012960029663777796	0	0	15.286153846153846	101.69886633608142	CDKN1A;CDH1;ILK
Canonical and non-canonical TGF-B signaling WP3874	2/17	0.0014988231077721463	0.013101429207494804	0	0	40.236363636363635	261.66009341787907	SMAD2;TGFB1
Platelet-mediated interactions with vascular and circulating cells WP4462	2/17	0.0014988231077721463	0.013101429207494804	0	0	40.236363636363635	261.66009341787907	TGFB1;ICAM1
p53 transcriptional gene network WP4963	3/67	0.0015413446126464475	0.013101429207494804	0	0	14.327884615384615	92.77448736969174	CDKN1A;SERPINE1;ICAM1
PPAR signaling pathway WP3942	3/67	0.0015413446126464475	0.013101429207494804	0	0	14.327884615384615	92.77448736969174	FADS2;ILK;ACSL4
Chromosomal and microsatellite instability in colorectal cancer  WP4216	3/73	0.0019723111385218984	0.016143731911605168	0	0	13.095824175824175	81.56798594134021	SMAD2;CDKN1A;TGFB1
Pathways in clear cell renal cell carcinoma WP4018	3/85	0.0030425730309443064	0.024014594279953276	0	0	11.172607879924954	64.74584062086394	PDGFRA;LDHB;TGFB1
Vitamin D Receptor Pathway WP2877	4/182	0.00343356039918066	0.025523080782599	0	0	6.936095505617978	39.35649860385638	CDKN1A;SERPINB1;TGFB1;TPM1
Pancreatic adenocarcinoma pathway WP4263	3/89	0.003464671599447828	0.025523080782599	0	0	10.650805008944543	60.338274087322745	SMAD2;CDKN1A;TGFB1
Dopaminergic Neurogenesis WP2855	2/30	0.004659404112925567	0.0321790096548922	0	0	21.541125541125542	115.65145339322929	TGFB1;ALDH1A1
Extracellular vesicle-mediated signaling in recipient cells WP2870	2/30	0.004659404112925567	0.0321790096548922	0	0	21.541125541125542	115.65145339322929	SMAD2;TGFB1
Integrin-mediated Cell Adhesion WP185	3/101	0.004939198741817737	0.03307766430126424	0	0	9.340973312401884	49.60572599087418	ITGB5;ILK;ITGA5
Hair Follicle Development: Organogenesis - Part 2 of 3 WP2839	2/32	0.0052896020248526365	0.034382413161542134	0	0	20.1030303030303	105.38033146318955	PDGFRA;CDH1
Regucalcin in proximal tubule epithelial kidney cells WP4838	2/33	0.005618568554412981	0.03547724715786482	0	0	19.453567937438905	100.80213187276532	SMAD2;TGFB1
Type 2 papillary renal cell carcinoma WP4241	2/34	0.005956693999774656	0.03579451643065884	0	0	18.84469696969697	96.54589870420406	CDKN1A;TGFB1
PI3K-Akt signaling pathway WP4172	5/340	0.005992747094725689	0.03579451643065884	0	0	4.642738687514807	23.75784728990807	PDGFRA;CDKN1A;ITGB5;ITGA5;GNG11
Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling WP3850	2/37	0.007025383419635565	0.037868530139986825	0	0	17.226839826839825	85.41455627171527	SMAD2;ILK
miRNAs involvement in the immune response in sepsis WP4329	2/37	0.007025383419635565	0.037868530139986825	0	0	17.226839826839825	85.41455627171527	LCN2;ICAM1
Neovascularisation processes WP4331	2/37	0.007025383419635565	0.037868530139986825	0	0	17.226839826839825	85.41455627171527	SMAD2;TGFB1
Photodynamic therapy-induced HIF-1 survival signaling WP3614	2/37	0.007025383419635565	0.037868530139986825	0	0	17.226839826839825	85.41455627171527	SERPINE1;SLC2A3
Striated Muscle Contraction Pathway WP383	2/38	0.007399505712787607	0.0389354943458586	0	0	16.747474747474747	82.16884002986536	TPM1;MYL9
Cell cycle WP179	3/120	0.007951502175907099	0.04086702281105742	0	0	7.816568047337278	37.788372914242	SMAD2;CDKN1A;TGFB1
Bladder cancer WP2828	2/40	0.008174210972500926	0.041056832384606924	0	0	15.864433811802233	76.25670171031994	CDKN1A;CDH1
Integrated Cancer Pathway WP1971	2/44	0.009827721837883104	0.047215794047220996	0	0	14.35064935064935	66.33656728780416	SMAD2;CDKN1A
Interleukin-11 Signaling Pathway WP2332	2/44	0.009827721837883104	0.047215794047220996	0	0	14.35064935064935	66.33656728780416	TGFB1;ICAM1
Glycolysis and Gluconeogenesis WP534	2/45	0.010262427755379562	0.04825524540295496	0	0	14.016208597603946	64.18394529197207	LDHB;SLC2A3
Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4718	2/46	0.010705542973315047	0.048284183614339296	0	0	13.696969696969697	62.14306435802923	FADS2;ACSL4
Envelope proteins and their potential roles in EDMD physiopathology WP4535	2/46	0.010705542973315047	0.048284183614339296	0	0	13.696969696969697	62.14306435802923	SMAD2;TGFB1
Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms WP4534	2/47	0.011157007032523043	0.04931397108375185	0	0	13.391919191919191	60.20588431539311	ITGB5;CDH1
Differentiation Pathway WP2848	2/48	0.011616759783040167	0.049385441552757876	0	0	13.100131752305666	58.36510102971351	TGFB1;DKK1
Ectoderm Differentiation WP2858	3/138	0.01162010389476656	0.049385441552757876	0	0	6.768205128205128	30.152479643862208	SOCS2;ABCC4;SNCA
Hepatitis C and Hepatocellular Carcinoma WP3646	2/49	0.012084741370869519	0.049457923017817845	0	0	12.820760799484203	56.61406510399833	CDKN1A;TGFB1
IL-3 signaling pathway WP286	2/49	0.012084741370869519	0.049457923017817845	0	0	12.820760799484203	56.61406510399833	LYN;TGFB1
Vitamin B12 metabolism WP1533	2/50	0.01256089224520355	0.04957066403910687	0	0	12.553030303030303	54.94671101969335	SERPINE1;ICAM1
Photodynamic therapy-induced AP-1 survival signaling. WP3611	2/50	0.01256089224520355	0.04957066403910687	0	0	12.553030303030303	54.94671101969335	PDGFRA;CDKN1A
NRF2 pathway WP2884	3/146	0.013515400863460725	0.05240181738289158	0	0	6.38698224852071	27.489095378234012	ABCC4;TGFB1;SLC2A3
Mesodermal commitment pathway WP2857	3/147	0.013763969636888189	0.052445470512970514	0	0	6.342307692307692	27.181234400391325	SMAD2;TCF4;DKK1
Hepatitis B infection WP4666	3/152	0.01504593547710305	0.05456932922343787	0	0	6.127929788332473	25.716760565966336	SMAD2;CDKN1A;TGFB1
Integrated breast cancer pathway WP1984	3/152	0.01504593547710305	0.05456932922343787	0	0	6.127929788332473	25.716760565966336	SMAD2;CDH1;TFPI
RANKL/RANK signaling pathway WP2018	2/55	0.015062122545835794	0.05456932922343787	0	0	11.365923384791309	47.686551353608394	LYN;ICAM1
VEGFA-VEGFR2 Signaling Pathway WP3888	5/432	0.01574279771471475	0.05611545637019289	0	0	3.6253299133861194	15.05009420346222	ITGB5;ADAM9;NEXN;DKK1;ICAM1
Proximal tubule transport WP4917	2/57	0.016117748711230444	0.05654003912987187	0	0	10.951515151515151	45.20603889122791	ABCC4;CA2
Linoleic acid metabolism known to be affected by coronavirus infection WP4853	1/5	0.016886331477543003	0.05654362509904551	0	0	74.35820895522389	303.4744977483959	FADS2
miR-517 relationship with ARCN1 and USP1 WP3596	1/5	0.016886331477543003	0.05654362509904551	0	0	74.35820895522389	303.4744977483959	CDKN1A
SARS-CoV-2 altering angiogenesis via NRP1 WP5065	1/5	0.016886331477543003	0.05654362509904551	0	0	74.35820895522389	303.4744977483959	FURIN
Notch Signaling Pathway Netpath WP61	2/61	0.018320990439463565	0.05976913774389282	0	0	10.20698510529019	40.824958531179334	CDKN1A;FHL1
Chemokine signaling pathway WP3929	3/164	0.01839050392119779	0.05976913774389282	0	0	5.667749641662685	22.64787890237628	LYN;ELMO1;GNG11
LncRNA-mediated mechanisms of therapeutic resistance WP3672	1/6	0.02022973917450602	0.06386817653665472	0	0	59.483582089552236	232.02175076653654	CDKN1A
Metabolism of alpha-linolenic acid WP4586	1/6	0.02022973917450602	0.06386817653665472	0	0	59.483582089552236	232.02175076653654	FADS2
Melanoma WP4685	2/68	0.022462433902490052	0.06991828017535635	0	0	9.121212121212121	34.623309145572826	CDKN1A;CDH1
Folate Metabolism WP176	2/69	0.023082877082696136	0.07036742876817546	0	0	8.984622342831297	33.86002446746899	SERPINE1;ICAM1
Nuclear Receptors Meta-Pathway WP2882	4/319	0.023288226407969563	0.07036742876817546	0	0	3.892261904761905	14.634154919590083	SRGN;ABCC4;TGFB1;SLC2A3
LDLRAD4 and what we know about it WP4904	1/7	0.023561944474411695	0.07036742876817546	0	0	49.56716417910448	185.78379790492124	SMAD2
Arrhythmogenic Right Ventricular Cardiomyopathy WP2118	2/74	0.026289618089577572	0.07746674130395524	0	0	8.358585858585858	30.41339308929262	ITGB5;ITGA5
TFs regulate miRNAs related to cardiac hypertrophy WP1559	1/8	0.026882984076400464	0.07817288790637504	0	0	42.48400852878465	153.63329523076956	TGFB1
Tgif disruption of Shh signaling WP3674	1/9	0.030192894641305958	0.08554653481703355	0	0	37.17164179104478	130.10627217002806	SMAD2
Folate-Alcohol and Cancer Pathway Hypotheses WP1589	1/9	0.030192894641305958	0.08554653481703355	0	0	37.17164179104478	130.10627217002806	ALDH1A1
Glioblastoma signaling pathways WP2261	2/82	0.03177001359875819	0.08887560766234885	0	0	7.5196969696969695	25.93718244608623	PDGFRA;CDKN1A
Aspirin and miRNAs WP4707	1/10	0.03349171276321553	0.09026425025208089	0	0	33.039800995024876	112.21827165973407	ABCC4
Mammary gland development pathway - Involution (Stage 4 of 4) WP2815	1/10	0.03349171276321553	0.09026425025208089	0	0	33.039800995024876	112.21827165973407	CDH1
