Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MISP	1/5	0.016886331477543003	0.13187361900516115	0	0	74.35820895522389	303.4744977483959	NEXN
ZFP41	1/5	0.016886331477543003	0.13187361900516115	0	0	74.35820895522389	303.4744977483959	LTBP1
PPP1CB	1/6	0.02022973917450602	0.13187361900516115	0	0	59.483582089552236	232.02175076653654	NEXN
CDKN1B	1/6	0.02022973917450602	0.13187361900516115	0	0	59.483582089552236	232.02175076653654	CDKN1A
TPRN	1/6	0.02022973917450602	0.13187361900516115	0	0	59.483582089552236	232.02175076653654	NEXN
SPECC1	1/7	0.023561944474411695	0.13187361900516115	0	0	49.56716417910448	185.78379790492124	NEXN
TWF1	1/7	0.023561944474411695	0.13187361900516115	0	0	49.56716417910448	185.78379790492124	NEXN
SVIL	1/7	0.023561944474411695	0.13187361900516115	0	0	49.56716417910448	185.78379790492124	NEXN
GNAI1	1/7	0.023561944474411695	0.13187361900516115	0	0	49.56716417910448	185.78379790492124	GNG11
SORBS2	1/7	0.023561944474411695	0.13187361900516115	0	0	49.56716417910448	185.78379790492124	NEXN
GNA11	1/7	0.023561944474411695	0.13187361900516115	0	0	49.56716417910448	185.78379790492124	LYN
MYO19	1/8	0.026882984076400464	0.13187361900516115	0	0	42.48400852878465	153.63329523076956	NEXN
COBL	1/9	0.030192894641305958	0.13187361900516115	0	0	37.17164179104478	130.10627217002806	NEXN
MYO5A	1/10	0.03349171276321553	0.13187361900516115	0	0	33.039800995024876	112.21827165973407	NEXN
AKAP2	1/10	0.03349171276321553	0.13187361900516115	0	0	33.039800995024876	112.21827165973407	NEXN
GUSB	1/10	0.03349171276321553	0.13187361900516115	0	0	33.039800995024876	112.21827165973407	NID1
FLII	1/11	0.036779474955290804	0.1328179847774091	0	0	29.734328358208955	98.20699568293153	NEXN
AFAP1	1/12	0.040056217631282115	0.1328179847774091	0	0	27.029850746268657	86.96777093294467	NEXN
LGALS8	1/12	0.040056217631282115	0.1328179847774091	0	0	27.029850746268657	86.96777093294467	ABCC4
DBN1	1/13	0.0433219771034119	0.1364642278757475	0	0	24.776119402985074	77.77459794803441	NEXN
ACTN4	1/14	0.046576789586793774	0.1397303687603813	0	0	22.869115958668196	70.13164167770657	NEXN
PABPC4	1/18	0.05948728998273248	0.17034996676873393	0	0	17.484635645302898	49.34151245692923	IGF2BP3
RAI14	1/20	0.06587779162640937	0.18044786402016483	0	0	15.642576590730558	42.547087131862945	NEXN
PABPC1	1/30	0.09719411637551117	0.2526760212173074	0	0	10.243437982501286	23.87791592101611	IGF2BP3
MRTO4	1/31	0.1002682623878204	0.2526760212173074	0	0	9.901492537313432	22.772502698810975	IGF2BP3
RPS15	1/34	0.10942895092205149	0.25469290606941947	0	0	9.0	19.912318113121092	IGF2BP3
DDX24	1/34	0.10942895092205149	0.25469290606941947	0	0	9.0	19.912318113121092	IGF2BP3
MOV10	1/37	0.11849772752169252	0.25469290606941947	0	0	8.248756218905474	17.593454526083946	IGF2BP3
ACTB	1/39	0.1244929653895161	0.25469290606941947	0	0	7.813825608798115	16.280153066858286	NEXN
LARP1	1/41	0.1304480244280874	0.25469290606941947	0	0	7.422388059701492	15.117774608767613	IGF2BP3
GTPBP4	1/41	0.1304480244280874	0.25469290606941947	0	0	7.422388059701492	15.117774608767613	IGF2BP3
XRN2	1/41	0.1304480244280874	0.25469290606941947	0	0	7.422388059701492	15.117774608767613	IGF2BP3
CALML3	1/42	0.13341056984588637	0.25469290606941947	0	0	7.240990171095741	14.585699665663613	NEXN
RPL17	1/48	0.15097813695287216	0.25884726624418974	0	0	6.314703080342966	11.938705459864398	IGF2BP3
RPL6	1/49	0.15387175170898196	0.25884726624418974	0	0	6.182835820895522	11.572016896560731	IGF2BP3
RPL7	1/50	0.15675564908065587	0.25884726624418974	0	0	6.0563508985683825	11.222824361971771	IGF2BP3
LIN28B	1/52	0.16249442011804227	0.25884726624418974	0	0	5.818261633011414	10.572430795578446	IGF2BP3
DDX31	1/53	0.16534935780163626	0.25884726624418974	0	0	5.7060849598163035	10.269210993651246	IGF2BP3
RPS24	1/54	0.16819470601465605	0.25884726624418974	0	0	5.598141368628555	9.979431577576143	IGF2BP3
PURA	1/55	0.17103049655945946	0.25884726624418974	0	0	5.494195688225539	9.702273765685264	IGF2BP3
SRP72	1/56	0.17385676102800038	0.25884726624418974	0	0	5.394029850746269	9.436982152284866	IGF2BP3
RPL23A	1/56	0.17385676102800038	0.25884726624418974	0	0	5.394029850746269	9.436982152284866	IGF2BP3
RPL26	1/57	0.17667353092857396	0.25884726624418974	0	0	5.297441364605544	9.182858779101382	IGF2BP3
PA2G4	1/60	0.18506718705735814	0.26298480872616103	0	0	5.027321022008601	8.48127328991471	IGF2BP3
NKRF	1/61	0.1878462919472579	0.26298480872616103	0	0	4.943283582089553	8.265818938373865	IGF2BP3
GLYR1	1/66	0.20160235613355587	0.2661946368712973	0	0	4.561882893226177	7.305664108438629	IGF2BP3
KRI1	1/67	0.20432589185632896	0.2661946368712973	0	0	4.492537313432836	7.134324690451876	IGF2BP3
ZNF512	1/68	0.2070402731221201	0.2661946368712973	0	0	4.425261750946759	6.969087838460738	IGF2BP3
DDX50	1/68	0.2070402731221201	0.2661946368712973	0	0	4.425261750946759	6.969087838460738	IGF2BP3
NVL	1/72	0.21780685791269314	0.2690555303627386	0	0	4.175110363674585	6.363480189334428	IGF2BP3
RPL18	1/72	0.21780685791269314	0.2690555303627386	0	0	4.175110363674585	6.363480189334428	IGF2BP3
POP1	1/81	0.2415078280197289	0.2925960224085177	0	0	3.703731343283582	5.262459243103678	IGF2BP3
RSL1D1	1/86	0.2543677981624342	0.2967624311895066	0	0	3.4849868305531166	4.770856483616748	IGF2BP3
RBM34	1/86	0.2543677981624342	0.2967624311895066	0	0	3.4849868305531166	4.770856483616748	IGF2BP3
HP1BP3	1/90	0.26450088736254107	0.3029737437061834	0	0	3.327687405668288	4.425526996612212	IGF2BP3
GNL2	1/92	0.26951642818117105	0.3032059817038174	0	0	3.254223388551747	4.266696674846698	IGF2BP3
RPL18A	1/97	0.28190831896599916	0.30879768539066	0	0	3.083955223880597	3.9048219816902465	IGF2BP3
RPL8	1/98	0.28436172598783416	0.30879768539066	0	0	3.0520080012309587	3.837924990994313	IGF2BP3
NOP2	1/102	0.29409303370539047	0.30879768539066	0	0	2.9305452933353036	3.5865745853618005	IGF2BP3
RPL32	1/102	0.29409303370539047	0.30879768539066	0	0	2.9305452933353036	3.5865745853618005	IGF2BP3
RPL15	1/108	0.30844602025895007	0.31855900452973535	0	0	2.7653787139071	3.2526617438144703	IGF2BP3
RPL5	1/137	0.37386491738573735	0.37989499669841054	0	0	2.1725197541703247	2.137456871865443	IGF2BP3
RPL13A	1/150	0.4011737390521622	0.4011737390521622	0	0	1.981668837022939	1.8099783985756157	IGF2BP3
