Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Extracellular matrix organization Homo sapiens R-HSA-1474244	12/283	1.8362936613447015E-10	6.298487258412327E-8	0	0	15.546389035318924	348.5205305278658	SPARC;TGFB1;ITGB5;CDH1;SERPINE1;PECAM1;ADAM9;FURIN;ITGA5;NID1;LTBP1;ICAM1
Platelet degranulation Homo sapiens R-HSA-114608	7/105	6.691838572351222E-8	1.0554892549440856E-5	0	0	23.224824355971897	383.6692695387995	SRGN;ABCC4;SPARC;TGFB1;SERPINE1;PECAM1;CLU
Response to elevated platelet cytosolic Ca2+ Homo sapiens R-HSA-76005	7/110	9.231684445575093E-8	1.0554892549440856E-5	0	0	22.091835110615946	357.8444114591702	SRGN;ABCC4;SPARC;TGFB1;SERPINE1;PECAM1;CLU
Platelet activation, signaling and aggregation Homo sapiens R-HSA-76002	9/253	1.8504249461442453E-7	1.5867393913186902E-5	0	0	12.308419005279244	190.81348530041362	SRGN;LYN;ABCC4;SPARC;TGFB1;SERPINE1;PECAM1;CLU;GNG11
Elastic fibre formation Homo sapiens R-HSA-1566948	5/41	2.6660681685483234E-7	1.82892276362415E-5	0	0	43.86243386243386	663.9671916869065	TGFB1;ITGB5;FURIN;ITGA5;LTBP1
Hemostasis Homo sapiens R-HSA-109582	11/552	2.3648649617268215E-6	1.3519144697871663E-4	0	0	6.9170477024353865	89.60889788920694	SRGN;LYN;ABCC4;SPARC;TGFB1;SERPINE1;PECAM1;ITGA5;TFPI;CLU;GNG11
Integrin cell surface interactions Homo sapiens R-HSA-216083	5/67	3.2092662434013013E-6	1.5725404592666377E-4	0	0	25.435227854582692	321.74210670908417	ITGB5;CDH1;PECAM1;ITGA5;ICAM1
ECM proteoglycans Homo sapiens R-HSA-3000178	4/55	3.657316276695458E-5	0.0015680743536331777	0	0	24.363970588235293	248.9070950730896	SPARC;TGFB1;ITGB5;SERPINE1
Signaling by TGF-beta Receptor Complex Homo sapiens R-HSA-170834	4/73	1.1147609987585177E-4	0.004248478028601906	0	0	17.991847826086957	163.756407492652	SMAD2;TGFB1;SERPINE1;FURIN
Molecules associated with elastic fibres Homo sapiens R-HSA-2129379	3/30	1.4290160952272447E-4	0.004508074296145304	0	0	34.02564102564103	301.24105221590395	TGFB1;ITGB5;LTBP1
SMAD2/3 Phosphorylation Motif Mutants in Cancer Homo sapiens R-HSA-3304356	2/6	1.6935418711549392E-4	0.004508074296145304	0	0	150.96969696969697	1310.9481194945301	SMAD2;TGFB1
TGF-beta receptor signaling activates SMADs Homo sapiens R-HSA-2173789	3/32	1.7373232605679561E-4	0.004508074296145304	0	0	31.675862068965518	274.24944905422035	SMAD2;TGFB1;FURIN
Smooth Muscle Contraction Homo sapiens R-HSA-445355	3/33	1.906414942440443E-4	0.004508074296145304	0	0	30.61846153846154	262.25067136359644	ITGB5;TPM1;MYL9
Cell junction organization Homo sapiens R-HSA-446728	4/86	2.1040035618593377E-4	0.004508074296145304	0	0	15.129573170731707	128.09450680368448	CDH3;CDH1;ILK;LIMS1
Loss of Function of TGFBR1 in Cancer Homo sapiens R-HSA-3656534	2/7	2.3657532749450573E-4	0.004508074296145304	0	0	120.76969696969697	1008.3356546729788	SMAD2;TGFB1
TGFBR1 KD Mutants in Cancer Homo sapiens R-HSA-3656532	2/7	2.3657532749450573E-4	0.004508074296145304	0	0	120.76969696969697	1008.3356546729788	SMAD2;TGFB1
Loss of Function of SMAD2/3 in Cancer Homo sapiens R-HSA-3304349	2/7	2.3657532749450573E-4	0.004508074296145304	0	0	120.76969696969697	1008.3356546729788	SMAD2;TGFB1
SMAD2/3 MH2 Domain Mutants in Cancer Homo sapiens R-HSA-3315487	2/7	2.3657532749450573E-4	0.004508074296145304	0	0	120.76969696969697	1008.3356546729788	SMAD2;TGFB1
Developmental Biology Homo sapiens R-HSA-1266738	10/786	3.06277602263666E-4	0.005397812671873387	0	0	4.256132243156772	34.436445442758966	LYN;SMAD2;PDGFRA;HHEX;TGFB1;FURIN;TCF4;ITGA5;DKK1;MYL9
Signaling by TGF-beta Receptor Complex in Cancer Homo sapiens R-HSA-3304351	2/8	3.1474126366608674E-4	0.005397812671873387	0	0	100.63636363636364	811.5074475931799	SMAD2;TGFB1
Transcriptional regulation of pluripotent stem cells Homo sapiens R-HSA-452723	3/42	3.9245287555226676E-4	0.006410063634020357	0	0	23.542011834319528	184.64221389004294	SMAD2;HHEX;DKK1
Degradation of the extracellular matrix Homo sapiens R-HSA-1474228	4/106	4.6774786962740575E-4	0.007292614512827281	0	0	12.150735294117647	93.16674886739321	CDH1;ADAM9;FURIN;NID1
POU5F1 (OCT4), SOX2, NANOG repress genes related to differentiation Homo sapiens R-HSA-2892245	2/10	5.036159037475685E-4	0.00751044586893113	0	0	75.46969696969697	573.09398703068	HHEX;DKK1
PECAM1 interactions Homo sapiens R-HSA-210990	2/12	7.353984087050349E-4	0.010510068924409458	0	0	60.36969696969697	435.57328910015156	LYN;PECAM1
Cell-Cell communication Homo sapiens R-HSA-1500931	4/131	0.001035258015484082	0.014024439461897997	0	0	9.746555118110237	66.98909274830557	CDH3;CDH1;ILK;LIMS1
Adaptive Immune System Homo sapiens R-HSA-1280218	9/762	0.001063077043759032	0.014024439461897997	0	0	3.885272469444257	26.60085871825046	LYN;PDGFRA;CDKN1A;ITGB5;CDH1;AP1S2;CTSC;PAG1;ICAM1
Cell-extracellular matrix interactions Homo sapiens R-HSA-446353	2/16	0.0013253963875063156	0.01683744299683949	0	0	43.112554112554115	285.66566773659633	ILK;LIMS1
Amyloid fiber formation Homo sapiens R-HSA-977225	3/68	0.0016085848542601651	0.019705164464687022	0	0	14.106745562130177	90.74023662909386	FURIN;TGFBI;SNCA
Pre-NOTCH Processing in Golgi Homo sapiens R-HSA-1912420	2/18	0.0016824805132125557	0.019899683311445055	0	0	37.71969696969697	240.93403928127228	FURIN;ST3GAL6
Signaling by NODAL Homo sapiens R-HSA-1181150	2/19	0.001876299103172985	0.02145235307961113	0	0	35.49910873440285	222.8795213878254	SMAD2;FURIN
Syndecan interactions Homo sapiens R-HSA-3000170	2/20	0.002080209719608933	0.02301651399438271	0	0	33.525252525252526	207.02804146104273	TGFB1;ITGB5
Diseases of signal transduction Homo sapiens R-HSA-5663202	5/288	0.0029749788961394683	0.03051169725536976	0	0	5.510404397330192	32.05687860781381	SMAD2;PDGFRA;CDKN1A;TGFB1;DKK1
Growth hormone receptor signaling Homo sapiens R-HSA-982772	2/24	0.0029954011693546405	0.03051169725536976	0	0	27.424242424242426	159.35341771425578	LYN;SOCS2
