Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NEK7 human kinase ARCHS4 coexpression	2/299	0.005876954897996975	0.0705234587759637	0	0	22.104377104377104	113.54391916247398	COL5A1;IGFBP3
ALPK2 human kinase ARCHS4 coexpression	2/299	0.005876954897996975	0.0705234587759637	0	0	22.104377104377104	113.54391916247398	TGFB2;COL5A1
DDR2 human kinase ARCHS4 coexpression	2/299	0.005876954897996975	0.0705234587759637	0	0	22.104377104377104	113.54391916247398	NNMT;COL5A1
MAPK15 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	AGR2
TEK human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	COL5A1
STK32B human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	COL5A1
MAPK6 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	UGDH
TNK1 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	AGR2
CDC42BPG human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	AGR2
DAPK3 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	COL5A1
ERBB3 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	AGR2
ACVR1 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	COL5A1
LATS2 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	COL5A1
FGFR1 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	COL5A1
MYLK human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	COL5A1
ERN2 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	AGR2
RIPK4 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	ALDH1A3
MET human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	ALDH1A3
MST1R human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	AGR2
RPS6KA2 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	COL5A1
MUSK human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	NNMT
PLK2 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	TGFB2
ABL1 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	COL5A1
PDGFRA human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	COL5A1
MAP4K4 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	COL5A1
ABL2 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	TGFB2
PDGFRB human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	COL5A1
AXL human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	UGDH
PTK6 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	AGR2
RNASEL human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	COL5A1
PTK7 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	COL5A1
NRK human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	COL5A1
ROR2 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	COL5A1
TRIO human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	COL5A1
SRMS human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	AGR2
STYK1 human kinase ARCHS4 coexpression	1/299	0.11354409711364633	0.11354409711364633	0	0	9.441035474592521	20.53957686999917	AGR2
