Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MMP9	1/12	0.00479070309341298	0.022877482074931663	0	0	259.4935064935065	1385.975083259077	COL5A1
COL8A2	1/13	0.005189022379499861	0.022877482074931663	0	0	237.85714285714286	1251.416370420653	COL5A1
ITGA9	1/15	0.0059852428364459065	0.022877482074931663	0	0	203.85714285714286	1043.434298452164	ALDH1A3
MMP2	1/17	0.00678090602009761	0.022877482074931663	0	0	178.35714285714286	890.6521752159383	COL5A1
C1QTNF2	1/22	0.008767627745742801	0.022877482074931663	0	0	135.85714285714286	643.5130349149837	COL5A1
FAS	1/30	0.01193915316674268	0.022877482074931663	0	0	98.33990147783251	435.442406227662	UGDH
NAAA	1/36	0.014311968554805366	0.022877482074931663	0	0	81.45714285714286	345.92071940977723	UGDH
PLOD1	1/36	0.014311968554805366	0.022877482074931663	0	0	81.45714285714286	345.92071940977723	COL5A1
GORASP1	1/37	0.014706952762456068	0.022877482074931663	0	0	79.19047619047619	334.1390605677817	ALDH1A3
FAM174A	1/47	0.01864918566892	0.025737359168023024	0	0	61.94409937888199	246.6584798233955	UGDH
PDE4DIP	1/51	0.020222210774875234	0.025737359168023024	0	0	56.97714285714286	222.26633779925106	ALDH1A3
LAMP3	1/63	0.02492805820599394	0.029082734573659598	0	0	45.92165898617512	169.5318022982446	UGDH
DKKL1	1/72	0.02844445487658815	0.03063248986709493	0	0	40.08249496981891	142.68574756562285	UGDH
CDK15	1/86	0.03389235304552857	0.03389235304552857	0	0	33.457142857142856	113.23790361856584	ALDH1A3
