Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Proteins Involved in Osteoarthritis	2/86	5.031802927902886E-4	0.016420830556120085	0	0	79.0	599.9703993521838	TGFB2;IGFBP3
Proteins Involved in Osteoporosis	2/100	6.795551666861537E-4	0.016420830556120085	0	0	67.66666666666667	493.5655481733249	TGFB2;IGFBP3
Prostate Cancer	2/123	0.0010253090751746587	0.016420830556120085	0	0	54.74104683195592	376.7695518187188	TGFB2;IGFBP3
Proteins Involved in Prostate Cancer	2/138	0.0012879082789113792	0.016420830556120085	0	0	48.666666666666664	323.86381213856856	TGFB2;IGFBP3
TGFBR3 -> ARRB2 Signaling	1/9	0.003594908666217628	0.02033561171165862	0	0	356.85714285714283	2008.4764659134423	TGFB2
Proteins Involved in Melanoma	2/238	0.0037662213824331088	0.02033561171165862	0	0	27.903954802259886	155.7510319934582	TGFB2;IGFBP3
Retinoic Acid Signaling Inhibition in Pre-Puberty Block of Meiosis	1/10	0.0039936462613403625	0.02033561171165862	0	0	317.1904761904762	1751.8590547314027	ALDH1A3
Proteins Involved in Ependymoma	1/11	0.004392244396163033	0.02033561171165862	0	0	285.45714285714286	1549.43708775113	TGFB2
Androgen Receptor/NKX3-1 Signaling	1/12	0.00479070309341298	0.02033561171165862	0	0	259.4935064935065	1385.975083259077	IGFBP3
Androgen Receptor/Prostate Specific Antigen Signaling in Prostate Cancer	1/12	0.00479070309341298	0.02033561171165862	0	0	259.4935064935065	1385.975083259077	IGFBP3
Proteins Involved in Glioma	2/290	0.005537902151401884	0.02033561171165862	0	0	22.805555555555557	118.50084856550649	TGFB2;IFITM1
TGFBR/BMPR -> SMAD2/3 Signaling	1/14	0.0055872022837974	0.02033561171165862	0	0	219.54945054945054	1138.8637280375192	TGFB2
ADAM33 Role in Asthma	1/15	0.0059852428364459065	0.02033561171165862	0	0	203.85714285714286	1043.434298452164	TGFB2
TGFBR -> AP-1 Signaling	1/16	0.006383144070851652	0.02033561171165862	0	0	190.25714285714287	961.5775796687342	TGFB2
Proteins Involved in Androgenetic Alopecia	1/16	0.006383144070851652	0.02033561171165862	0	0	190.25714285714287	961.5775796687342	TGFB2
TGFBR -> ATF/GADD/MAX/TP53 Signaling	1/17	0.00678090602009761	0.02033561171165862	0	0	178.35714285714286	890.6521752159383	TGFB2
TGFBR -> CREB/ELK-SRF Signaling	1/18	0.007178528720410204	0.02033561171165862	0	0	167.85714285714286	828.6537822644398	TGFB2
