Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
IRAK4 defectivemutant 200 GSE6789	3/300	1.769566107888553E-4	0.0028313057726216846	0	0	39.78787878787879	343.7515959937793	UGDH;TGFB2;COL5A1
EGFR drugactivation 30 GDS4361	3/300	1.769566107888553E-4	0.0028313057726216846	0	0	39.78787878787879	343.7515959937793	ALDH1A3;IGFBP3;AGR2
SCYL1 knockdown 194 GSE57646	2/300	0.0059152100733935575	0.04732168058714846	0	0	22.02908277404922	113.01422313945281	UGDH;AGR2
ATM knockout 74 GSE23116	2/300	0.0059152100733935575	0.04732168058714846	0	0	22.02908277404922	113.01422313945281	UGDH;IGFBP3
CHEK1 knockdown 136 GSE31534	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	TGFB2
BRD4 druginhibition 224 GSE50865	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
AKT2 knockout 221 GSE19079	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	NNMT
ROCK1 knockdown 156 GSE34769	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
ROCK2 knockdown 157 GSE34769	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
TBK1 druginhibition 188 GSE53658	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	ALDH1A3
FGFR1 mutant 25 GDS4046	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	COL5A1
SYK knockdown 189 GSE54065	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	IFITM1
SYK knockdown 191 GSE54065	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	AGR2
MET knockout 262 GSE8747	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
ABL1 druginhibition 77 GSE24493	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	AGR2
CDK9 knockdown 104 GSE27869	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	NNMT
SYK druginhibition 153 GSE34176	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	IGFBP3
SYK druginhibition 154 GSE34176	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	IGFBP3
SYK druginhibition 286 GSE43510	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
CDK6 knockdown 93 GSE27869	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	NNMT
EPHA4 knockout 226 GSE34430	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
BTK mutant 1 GDS1346	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
TRPM7 overexpression 305 GSE23102	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	TGFB2
MAP2K1 druginhibition 172 GSE39984	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	IGFBP3
LRRK2 activemutant 159 GSE36321	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	IFITM1
KSR1 knockout 126 GSE28228	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
MAP3K7 knockdown 37 GDS5023	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	IGFBP3
LRRK2 mutant 33 GDS4401	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	IFITM1
CDK8 knockdown 63 GSE19199	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
CDK8 knockdown 163 GSE38061	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	IFITM1
ATM knockout 75 GSE23116	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	IGFBP3
GSK3A knockdown 205 GDS4305	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	ALDH1A3
