Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GPR34 knockdown 96h A549	2/300	0.0059152100733935575	0.1139040603715798	0	0	22.02908277404922	113.01422313945281	TGFB2;AGR2
CDK9 knockdown 96h MCF7	2/300	0.0059152100733935575	0.1139040603715798	0	0	22.02908277404922	113.01422313945281	UGDH;TGFB2
ATR knockdown 96h HCC515	2/300	0.0059152100733935575	0.1139040603715798	0	0	22.02908277404922	113.01422313945281	IFITM1;IGFBP3
KSR2 knockdown 96h HEPG2	2/300	0.0059152100733935575	0.1139040603715798	0	0	22.02908277404922	113.01422313945281	NNMT;IGFBP3
CDKL4 knockdown 96h A549	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	TGFB2
ABL1 knockdown 96h A375	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	AGR2
FGFR1 knockdown 96h HA1E	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	AGR2
NR3C1 knockdown 96h HT29	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
MAP2K4 knockdown 96h HEPG2	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	IGFBP3
MAP2K6 knockdown 96h HEPG2	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	TGFB2
GPR55 knockdown 96h HCC515	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	NNMT
MAP3K5 knockdown 96h HEPG2	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
GPR56 knockdown 96h HCC515	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	AGR2
FZD7 knockdown 96h HA1E	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
OR10Z1 knockdown 96h HT29	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
ATM knockdown 96h A375	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	TGFB2
GABBR1 knockdown 96h HA1E	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
GPR87 knockdown 96h HCC515	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	NNMT
P2RX4 knockdown 96h HT29	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
MAS1L knockdown 96h HEPG2	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	AGR2
EMR1 knockdown 96h A549	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	TGFB2
EPHA3 knockdown 96h A549	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	TGFB2
RXRG knockdown 96h MCF7	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	TGFB2
TP53RK knockdown 96h PC3	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	IGFBP3
TRPM5 knockdown 96h PC3	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	IGFBP3
CDK4 knockdown 96h A375	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	NNMT
PKN2 knockdown 96h HT29	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
ULK2 knockdown 96h PC3	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	TGFB2
CDK7 knockdown 96h A375	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	TGFB2
JAK2 knockdown 96h HCC515	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	AGR2
GPR160 knockdown 96h HA1E	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	IGFBP3
NMUR2 knockdown 96h HEPG2	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	TGFB2
PRKAA1 knockdown 96h HT29	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
FLT3 knockdown 96h A549	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
NPBWR1 knockdown 96h HEPG2	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	TGFB2
LCK knockdown 96h HCC515	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	IFITM1
NR1D2 knockdown 96h HEPG2	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	IGFBP3
PRKCZ knockdown 96h HT29	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	UGDH
GPR39 knockdown 96h HA1E	1/300	0.1139040603715798	0.1139040603715798	0	0	9.4089823220258	20.4400615348683	IGFBP3
