Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Epithelial Mesenchymal Transition	3/200	5.3162099096467675E-5	7.442693873505475E-4	0	0	60.28934010152284	593.3776232841345	NNMT;COL5A1;IGFBP3
Xenobiotic Metabolism	2/200	0.0026777674677022855	0.006248124091305333	0	0	33.323232323232325	197.36590289038227	UGDH;TGFB2
Hypoxia	2/200	0.0026777674677022855	0.006248124091305333	0	0	33.323232323232325	197.36590289038227	COL5A1;IGFBP3
Glycolysis	2/200	0.0026777674677022855	0.006248124091305333	0	0	33.323232323232325	197.36590289038227	COL5A1;IGFBP3
Estrogen Response Late	2/200	0.0026777674677022855	0.006248124091305333	0	0	33.323232323232325	197.36590289038227	UGDH;AGR2
KRAS Signaling Up	2/200	0.0026777674677022855	0.006248124091305333	0	0	33.323232323232325	197.36590289038227	ALDH1A3;IGFBP3
Interferon Alpha Response	1/97	0.03815407494862228	0.06879863226609895	0	0	29.607142857142858	96.7005617556944	IFITM1
Androgen Response	1/100	0.03931350415205654	0.06879863226609895	0	0	28.705627705627705	92.89678500716381	ALDH1A3
Fatty Acid Metabolism	1/158	0.06149006445754368	0.07726807133802915	0	0	18.048225659690626	50.334329635540946	UGDH
Apoptosis	1/161	0.06262484148102337	0.07726807133802915	0	0	17.707142857142856	49.05929049133134	TGFB2
Allograft Rejection	1/200	0.07726807133802915	0.07726807133802915	0	0	14.208901651112706	36.38152974515558	TGFB2
Myogenesis	1/200	0.07726807133802915	0.07726807133802915	0	0	14.208901651112706	36.38152974515558	IGFBP3
KRAS Signaling Dn	1/200	0.07726807133802915	0.07726807133802915	0	0	14.208901651112706	36.38152974515558	TGFB2
Inflammatory Response	1/200	0.07726807133802915	0.07726807133802915	0	0	14.208901651112706	36.38152974515558	IFITM1
