Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Validated transcriptional targets of deltaNp63 isoforms Homo sapiens 7d7360a8-6196-11e5-8ac5-06603eb7f303	2/45	1.374142536235155E-4	0.0015115567898586705	0	0	154.64341085271317	1375.1681463191144	COL5A1;IGFBP3
Signaling events mediated by the Hedgehog family Homo sapiens d3a49cee-6195-11e5-8ac5-06603eb7f303	1/22	0.008767627745742801	0.03128890036424697	0	0	135.85714285714286	643.5130349149837	TGFB2
Glypican 1 network Homo sapiens fb91e48c-6192-11e5-8ac5-06603eb7f303	1/27	0.010750872860949598	0.03128890036424697	0	0	109.7032967032967	497.25962914000377	TGFB2
Syndecan-1-mediated signaling events Homo sapiens f957cc16-6195-11e5-8ac5-06603eb7f303	1/46	0.018255584335152574	0.03128890036424697	0	0	63.32380952380952	253.50320962011816	COL5A1
Validated transcriptional targets of TAp63 isoforms Homo sapiens 82e8ee19-6196-11e5-8ac5-06603eb7f303	1/53	0.02100789576309119	0.03128890036424697	0	0	54.78021978021978	211.60815123277547	IGFBP3
TGF-beta receptor signaling Homo sapiens 1f188fcc-6196-11e5-8ac5-06603eb7f303	1/54	0.021400531511072123	0.03128890036424697	0	0	53.74393530997305	206.60993448840276	TGFB2
ATF-2 transcription factor network Homo sapiens c76c900a-618a-11e5-8ac5-06603eb7f303	1/58	0.0229696971452446	0.03128890036424697	0	0	49.962406015037594	188.53710846919242	TGFB2
Regulation of retinoblastoma protein Homo sapiens 407a3468-6195-11e5-8ac5-06603eb7f303	1/64	0.025319318033677134	0.03128890036424697	0	0	45.19047619047619	166.12866893112047	TGFB2
Beta1 integrin cell surface interactions Homo sapiens 2fd0bc63-618d-11e5-8ac5-06603eb7f303	1/66	0.026101425623281816	0.03128890036424697	0	0	43.79560439560439	159.66849674970803	COL5A1
Integrins in angiogenesis Homo sapiens 2ddeac89-6194-11e5-8ac5-06603eb7f303	1/72	0.02844445487658815	0.03128890036424697	0	0	40.08249496981891	142.68574756562285	COL5A1
Direct p53 effectors Homo sapiens 67c3b75d-6191-11e5-8ac5-06603eb7f303	1/136	0.053131573605237785	0.053131573605237785	0	0	21.012698412698413	61.67193197685215	IGFBP3
