Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BL6925 (FGFR1OP)	2/71	3.4313561284053304E-4	0.10431322630352205	0	0	96.2463768115942	767.7943849934436	UGDH;IGFBP3
CBC184 (BICD2)	2/244	0.003954157612809979	0.1363588182907671	0	0	27.203856749311296	150.5186046074223	UGDH;IGFBP3
BL4808 (TRRAP)	2/255	0.004309962067550851	0.1363588182907671	0	0	26.006587615283266	141.65336216973677	UGDH;IGFBP3
BL1657 (SMG1)	2/284	0.005317128857107703	0.1363588182907671	0	0	23.29787234042553	122.00680599489253	NNMT;IGFBP3
CBC32 (POLDIP3)	2/292	0.005612430097495759	0.1363588182907671	0	0	22.645977011494253	117.36892380958324	UGDH;IGFBP3
BL435 (NCOA1)	2/306	0.006147179841764833	0.1363588182907671	0	0	21.587719298245613	109.91952586758069	UGDH;IGFBP3
CBC31 (POLDIP3)	2/309	0.006264729105093805	0.1363588182907671	0	0	21.373507057546146	108.42395259644815	UGDH;IGFBP3
BL2255 (PRKRIR)	2/374	0.009063672573732386	0.1363588182907671	0	0	17.580645161290324	82.69022836935615	UGDH;IGFBP3
BL2458 (UBE2L3)	2/381	0.00939337238064589	0.1363588182907671	0	0	17.249780123131046	80.51767676821677	NNMT;IGFBP3
BL3118 (PPP4R2)	2/431	0.011904038387389689	0.1363588182907671	0	0	15.2004662004662	67.35140483466381	UGDH;IGFBP3
BL4148 (USP36)	1/31	0.012334969042911155	0.1363588182907671	0	0	95.05714285714286	417.8062796500496	IGFBP3
NB120-3333 (PSME3)	2/440	0.01238454146524258	0.1363588182907671	0	0	14.881278538812785	65.34825130848266	UGDH;IGFBP3
BL7352 (WDR70)	1/34	0.013521584565055974	0.1363588182907671	0	0	86.40259740259741	371.8308142207318	UGDH
BL2789 (PTEN)	1/35	0.013916845835577172	0.1363588182907671	0	0	83.85714285714286	358.4603752954014	IGFBP3
BL2158 (USP34)	2/469	0.013990997070023764	0.1363588182907671	0	0	13.936473947180586	59.499562721081	ALDH1A3;IGFBP3
BL1857 (RBM14)	1/41	0.01628550529596983	0.1363588182907671	0	0	71.25714285714285	293.399847205648	IGFBP3
a-FTO (78) (FTO)	2/516	0.01677954932063661	0.1363588182907671	0	0	12.631647211413748	51.63305086432523	UGDH;IGFBP3
BL1824 (TAOK3)	1/46	0.018255584335152574	0.1363588182907671	0	0	63.32380952380952	253.50320962011816	IGFBP3
BL6840 (AGFG1)	1/47	0.01864918566892	0.1363588182907671	0	0	61.94409937888199	246.6584798233955	IGFBP3
BL7583 (WDR21A)	1/51	0.020222210774875234	0.1363588182907671	0	0	56.97714285714286	222.26633779925106	IGFBP3
BL4978 (USP48)	1/52	0.020615122198689464	0.1363588182907671	0	0	55.857142857142854	216.82236865801656	IGFBP3
BL780 (MCM5)	1/52	0.020615122198689464	0.1363588182907671	0	0	55.857142857142854	216.82236865801656	IGFBP3
BL2604 (PPARGC1B)	1/52	0.020615122198689464	0.1363588182907671	0	0	55.857142857142854	216.82236865801656	IGFBP3
BL2455 (CALCOCO1)	1/55	0.02179302948367254	0.1363588182907671	0	0	52.74603174603175	201.8150262928954	IGFBP3
SC-28241 (MGMT)	1/56	0.022185389719098877	0.1363588182907671	0	0	51.784415584415584	197.21169430337935	IGFBP3
BL4144 (USP35)	1/57	0.022577612257970867	0.1363588182907671	0	0	50.857142857142854	192.78907770536534	IGFBP3
BL1124 (RNF41)	1/58	0.0229696971452446	0.1363588182907671	0	0	49.962406015037594	188.53710846919242	IGFBP3
BL4974 (USP20)	1/63	0.02492805820599394	0.1363588182907671	0	0	45.92165898617512	169.5318022982446	IGFBP3
BL1484 (MLST8)	1/66	0.026101425623281816	0.1363588182907671	0	0	43.79560439560439	159.66849674970803	UGDH
BL671 (HUWE1)	1/66	0.026101425623281816	0.1363588182907671	0	0	43.79560439560439	159.66849674970803	IGFBP3
EPI-1114-1 (EGFR)	1/66	0.026101425623281816	0.1363588182907671	0	0	43.79560439560439	159.66849674970803	IGFBP3
BL1316 (GSK3B)	1/66	0.026101425623281816	0.1363588182907671	0	0	43.79560439560439	159.66849674970803	IGFBP3
BL6028 (WDR20)	1/68	0.026882984076400464	0.1363588182907671	0	0	42.48400852878465	153.63329523076956	IGFBP3
BL6638 (GNL1)	1/68	0.026882984076400464	0.1363588182907671	0	0	42.48400852878465	153.63329523076956	IGFBP3
BL7746 (OBFC2A)	1/69	0.027273557473830964	0.1363588182907671	0	0	41.857142857142854	150.7626325151401	IGFBP3
BL7408 (ZC3H3)	1/69	0.027273557473830964	0.1363588182907671	0	0	41.857142857142854	150.7626325151401	UGDH
BL755 (CSNK2A2)	1/69	0.027273557473830964	0.1363588182907671	0	0	41.857142857142854	150.7626325151401	ALDH1A3
BL3967 (USP3)	1/70	0.02766399371512237	0.1363588182907671	0	0	41.24844720496895	147.9839017165653	IGFBP3
BL6033 (WDR42A)	1/71	0.028054292838003377	0.1363588182907671	0	0	40.65714285714286	145.29291931699237	IGFBP3
BL3259 (HMGB3)	1/71	0.028054292838003377	0.1363588182907671	0	0	40.65714285714286	145.29291931699237	IGFBP3
BL2154 (NEK7)	1/72	0.02844445487658815	0.1363588182907671	0	0	40.08249496981891	142.68574756562285	IGFBP3
BL5675 (ANKRD26)	1/75	0.029614118926114725	0.1363588182907671	0	0	38.45173745173745	135.33104533059262	IGFBP3
BL2268 (TDP1)	1/77	0.03039321031347104	0.1363588182907671	0	0	37.43609022556391	130.78433041717327	IGFBP3
BL956 (NF1)	1/79	0.031171754372239124	0.1363588182907671	0	0	36.472527472527474	126.49558455333695	IGFBP3
BL2256 (PRKRIR)	1/80	0.0315608212516243	0.1363588182907671	0	0	36.00904159132007	124.44144169317283	IGFBP3
BL1859 (TRIP6)	1/81	0.03194975141989611	0.1363588182907671	0	0	35.55714285714286	122.44425280744703	IGFBP3
BL4054 (USP33)	1/84	0.03311572207601827	0.1363588182907671	0	0	34.26678141135972	116.772525740896	IGFBP3
UHRF2 (UHRF2)	1/86	0.03389235304552857	0.1363588182907671	0	0	33.457142857142856	113.23790361856584	IGFBP3
BL2266 (TDP1)	1/90	0.03544397773863309	0.1363588182907671	0	0	31.947030497592294	106.6967538219128	IGFBP3
BL3415 (RAD52)	1/93	0.03660626495698383	0.1363588182907671	0	0	30.900621118012424	102.2049130477516	IGFBP3
BL1872 (NCOA6)	1/95	0.037380442146754005	0.1363588182907671	0	0	30.24012158054711	99.3874148810262	IGFBP3
BL7841 (ARHGEF12)	1/96	0.03776732657425956	0.1363588182907671	0	0	29.9203007518797	98.02820827717792	IGFBP3
BL1000 (FANCI)	1/96	0.03776732657425956	0.1363588182907671	0	0	29.9203007518797	98.02820827717792	IGFBP3
BL2267 (TDP1)	1/96	0.03776732657425956	0.1363588182907671	0	0	29.9203007518797	98.02820827717792	IGFBP3
BL6024 (WDR4)	1/98	0.03854068730993136	0.1363588182907671	0	0	29.30044182621502	95.40343353076332	IGFBP3
BL4284 (HGS)	1/98	0.03854068730993136	0.1363588182907671	0	0	29.30044182621502	95.40343353076332	IGFBP3
SC-66857 (DCLK1)	1/100	0.03931350415205654	0.1363588182907671	0	0	28.705627705627705	92.89678500716381	IGFBP3
BL1756 (MED23)	1/100	0.03931350415205654	0.1363588182907671	0	0	28.705627705627705	92.89678500716381	IGFBP3
EPI-2367-1 (AMPH)	1/100	0.03931350415205654	0.1363588182907671	0	0	28.705627705627705	92.89678500716381	IGFBP3
BL2448 (SMARCA4)	1/101	0.039699708710484755	0.1363588182907671	0	0	28.417142857142856	91.68539448196991	IGFBP3
BL4146 (USP36)	1/103	0.04047171032468564	0.1363588182907671	0	0	27.857142857142858	89.34209308449353	IGFBP3
BL2970 (ASZ1)	1/103	0.04047171032468564	0.1363588182907671	0	0	27.857142857142858	89.34209308449353	IGFBP3
BL328 (RFXANK)	1/104	0.04085750745521912	0.1363588182907671	0	0	27.58529819694868	88.20853410483198	IGFBP3
BL963 (ROCK2)	1/104	0.04085750745521912	0.1363588182907671	0	0	27.58529819694868	88.20853410483198	IGFBP3
BL999 (FANCI)	1/104	0.04085750745521912	0.1363588182907671	0	0	27.58529819694868	88.20853410483198	IGFBP3
BL8187 (OXR1)	1/105	0.0412431688635261	0.1363588182907671	0	0	27.318681318681318	87.09932616586799	IGFBP3
BL1193 (SETD1A)	1/106	0.041628694578224525	0.1363588182907671	0	0	27.057142857142857	86.01372572734715	IGFBP3
BL265 (MCM7)	1/110	0.04316944138193159	0.1363588182907671	0	0	26.05897771952818	81.8935273489654	IGFBP3
BL5039 (CHD9)	1/110	0.04316944138193159	0.1363588182907671	0	0	26.05897771952818	81.8935273489654	IGFBP3
SC-6233 (ATF2)	1/111	0.043554289278712535	0.1363588182907671	0	0	25.820779220779222	80.91579173517657	IGFBP3
EPI-2418-1 (KIF22)	1/111	0.043554289278712535	0.1363588182907671	0	0	25.820779220779222	80.91579173517657	IGFBP3
BL2264 (DOCK9)	1/111	0.043554289278712535	0.1363588182907671	0	0	25.820779220779222	80.91579173517657	IGFBP3
BL1825 (TAOK3)	1/112	0.04393900172534527	0.1363588182907671	0	0	25.586872586872587	79.95777249377652	IGFBP3
BL3661 (CDCA7L)	1/113	0.044323578770219654	0.1363588182907671	0	0	25.357142857142858	79.01890460278796	IGFBP3
